ticker,episode_id,signal_date,last_observed_session,signal_price,extension_votes,weekly_rsi_14,high_52w_proximity,return_26w,close_to_sma200,path_label,mae_126d,mfe_126d,terminal_return_126d,low_before_high,recovered_after_low,time_to_low_sessions,time_to_high_sessions,outcome_end,SECTOR_RS_DELTA_4W,SECTOR_RS_DAMAGE_DELTA_4W,SPY_RS_DELTA_4W,HIGH_FAILURE_DELTA_4W,PARTICIPATION_WEAKENING_DELTA_4W,MARKET_STRESS_DELTA_4W,TREND_QUALITY_DELTA_4W,DECELERATION_DELTA_4W
AAPL,AAPL-R001,2012-08-17,2012-08-17,19.48475456,2,72.56916832535673,,0.2962896268730568,,STRUCTURAL_BREAK,-0.3181882297212779,0.0833032895026624,-0.3045798088821294,False,False,108,22,2013-02-21,0.03486286847807819,-0.0075099109554624,0.0653934658039714,,0.07708110037748721,,-0.1652009273865777,-1.4564737002686665
AAPL,AAPL-R002,2013-10-25,2013-10-25,16.18917465,2,63.97371449014668,0.9158742038735234,0.2774136963576434,1.1642187160637074,CONTINUATION,-0.0442274727081285,0.1429308454585112,0.1395451583444371,True,True,65,125,2014-04-29,-0.046678681027358906,-0.0497161716962633,-0.03383950779790859,-0.13630432666930326,-0.42662763709902407,0.0241533630735737,0.06320363747838625,0.06274664311539824
AAPL,AAPL-R003,2014-05-02,2014-05-02,18.45606995,2,67.19816346960731,1.0,0.1530249419422187,1.1523220361602025,CONTINUATION,-0.0063610086176553,0.2814054050548287,0.2771074797535648,True,True,5,125,2014-10-30,0.1765509213815688,-0.0557697104591309,0.1654556823480071,-0.4114304241429183,-0.07956018568460099,-0.041738384804972994,-0.056710197088664795,-0.7695391191742721
AAPL,AAPL-R004,2015-01-30,2015-01-30,25.92523193,3,62.94241532466709,0.9851171605374088,0.2301397770246618,1.1779554966161,CONTINUATION,0.0125468208299266,0.1404820145807659,0.0437640080930994,True,True,1,78,2015-07-31,0.0457630089803472,-0.0722732804674111,0.0474372437028589,-0.10877976864016409,-0.6470565294070237,0.01907510272621632,-0.11666675882167732,0.528592799222779
AAPL,AAPL-R005,2015-07-17,2015-07-17,28.91586113,2,59.61864317170192,0.9779688887743748,0.2329004047039318,1.0902816897358556,STRUCTURAL_BREAK,-0.2493341300674588,0.0189016148453193,-0.244041732953225,False,False,120,1,2016-01-15,-0.0141007097134597,-0.002716335620076997,0.0136382519775067,0.012097253217454723,-0.2583983786892279,0.044462280242992994,-0.3089516898811716,-0.20055726242156552
AAPL,AAPL-R006,2016-10-14,2016-10-14,26.9234848,2,65.08189355074663,0.9882116725161384,0.083179624478368,1.1573346232059345,TEMPORARY_PULLBACK,-0.0967205218545854,0.2424059522190826,0.2117684899393113,True,True,21,117,2017-04-18,0.024037351836145887,-0.0019627744893611,0.02127435376875919,-0.06014315589634445,-0.09529506956156228,-0.18353226370119963,0.6301408209928046,0.7626975795169055
AAPL,AAPL-R007,2016-12-16,2016-12-16,26.67983055,2,60.698625815308986,0.9909501221030644,0.2293811757103403,1.10731839760638,CONTINUATION,-0.001293616536856,0.3574537736335061,0.2610142398374417,True,True,9,100,2017-06-20,-0.0175574687103556,-0.023439698986899002,-0.049004988434662694,-0.06310839089419751,-0.44672570719459537,-0.055619534591066305,-0.0697349245660297,0.4337537406793174
AAPL,AAPL-R008,2017-07-14,2017-07-14,34.57863998,2,61.961478776737664,0.954772258523688,0.2626346580115939,1.1406738782287904,CONTINUATION,-0.0020796321093482,0.1971589869914833,0.1971589869914833,True,True,11,126,2018-01-12,-0.009603300340509397,-0.0192882342276193,0.0079092404192731,-0.05152139689756019,-0.42331130180653664,0.0053735029743674015,-0.221107471793476,0.08647056064125813
AAPL,AAPL-R009,2017-11-03,2017-11-03,40.17873764,3,71.72686407494788,1.0,0.1673749715547281,1.1668612181592084,TEMPORARY_PULLBACK,-0.097346480495349,0.08684130201558,0.08684130201558,True,True,65,126,2018-05-08,0.0021490768812322016,-0.050599326778900396,0.022534138749571896,-0.2331642888899023,-0.7488102305478673,0.0109110826436589,-0.0462519172309801,-0.08180057847538488
AAPL,AAPL-R010,2018-08-03,2018-08-03,49.00570297,4,71.3537340842725,1.0,0.3061886651850869,1.180883370150069,STRUCTURAL_BREAK,-0.3115700860233982,0.1196877668215601,-0.1566866467500853,False,False,104,42,2019-02-05,0.0492849293920914,-0.0296728429039852,0.009479215704920399,-0.1607021732982143,-0.7484454068998962,-0.040604319518383,0.20148337448964238,0.36798249295394225
