horizon_months,outcome,veto_events,pass_events,veto_folds,pass_folds,directional_folds,median_veto,median_pass,pass_minus_veto,raw_p_value,fold_gap_json,holm_p_value,outcome_pass
6,forward_return,76,53,4,4,3,0.036151072276256135,0.0926295156892547,0.05647844341299857,0.1370089219720526,"{""F01"":0.005275744969205243,""F02"":0.012964306846300344,""F03"":-0.036468747914874644,""F04"":0.12717900080472289}",0.5480356878882104,False
6,forward_trough_return,76,53,4,4,2,-0.08190433226686972,-0.06229489533719745,0.019609436929672264,0.23562047973059436,"{""F01"":0.015840917021616385,""F02"":-0.05810713894581476,""F03"":-0.01912885063398917,""F04"":0.09183804802207773}",0.7068614391917831,False
12,forward_return,51,23,4,4,2,0.17425793322253647,0.1193654925819807,-0.05489244064055576,0.8688981517829922,"{""F01"":-0.2409226731170978,""F02"":1.1290318523139404,""F03"":-0.16363177034703758,""F04"":0.07205613423736035}",1.0,False
12,forward_trough_return,51,23,4,4,1,-0.09179854710540947,-0.07416399031122856,0.01763455679418091,0.803053165946131,"{""F01"":-0.12374802400649898,""F02"":-0.41464058511240476,""F03"":-0.008684695250764873,""F04"":0.06883254384786708}",1.0,False
