event_id,policy_id,policy_role,fold_id,ticker,signal_date,last_observed_session,POSITION_ENTRY_DATE,POSITION_ENTRY_PRICE,POSITION_PRICE,POSITION_PEAK_PRICE,PEAK_GAIN,DRAWDOWN_FROM_PEAK,PROFIT_GIVEBACK_FRACTION,RECENT_RUSH_13W,HERD_STATE,HERD_STAGE,HERD_TRANSITION,research_action,trim_fraction
GIVEBACK_BASELINE-F01-BAC-2017-04-14,GIVEBACK_BASELINE,PERSONAL_RISK_BASELINE,F01,BAC,2017-04-14,2017-04-13,2016-08-02,11.3079443,18.08303833,20.59231758,0.8210487276630818,-0.12185511612530209,0.27026910425988376,True,70.5109126984127,DRIFT,BREAKING,TRIM_REVIEW_5_PERCENT,0.05
GIVEBACK_BASELINE-F01-COP-2017-03-10,GIVEBACK_BASELINE,PERSONAL_RISK_BASELINE,F01,COP,2017-03-10,2017-03-10,2016-08-02,29.4017849,34.12339783,38.60171127,0.31290366898779687,-0.11601333963347893,0.48677709580408296,True,59.581679894179885,CALM,BREAKING,TRIM_REVIEW_5_PERCENT,0.05
GIVEBACK_BASELINE-F01-COP-2017-05-26,GIVEBACK_BASELINE,PERSONAL_RISK_BASELINE,F01,COP,2017-05-26,2017-05-26,2016-08-02,29.4017849,34.07397079,38.60171127,0.31290366898779687,-0.11729377613159908,0.4921496431498075,False,49.56183862433864,CALM,NEUTRAL,TRIM_REVIEW_5_PERCENT,0.05
GIVEBACK_BASELINE-F01-EOG-2017-03-10,GIVEBACK_BASELINE,PERSONAL_RISK_BASELINE,F01,EOG,2017-03-10,2017-03-10,2016-08-02,57.84856033,68.86790466,77.2154007,0.3347851745924342,-0.10810662075603283,0.4310200260095399,True,47.89186507936508,CALM,NEUTRAL,TRIM_REVIEW_5_PERCENT,0.05
GIVEBACK_BASELINE-F01-EOG-2017-05-05,GIVEBACK_BASELINE,PERSONAL_RISK_BASELINE,F01,EOG,2017-05-05,2017-05-05,2016-08-02,57.84856033,66.13989258,77.2154007,0.3347851745924342,-0.14343651680357083,0.5718799715598629,False,38.54993386243386,SCATTER,NEUTRAL,TRIM_REVIEW_5_PERCENT,0.05
GIVEBACK_BASELINE-F01-FCX-2017-02-24,GIVEBACK_BASELINE,PERSONAL_RISK_BASELINE,F01,FCX,2017-02-24,2017-02-24,2016-08-02,11.16788197,11.93342304,14.7434063,0.3201613644919279,-0.19059254034123718,0.7858940397701057,True,61.3343253968254,DRIFT,NEUTRAL,TRIM_REVIEW_5_PERCENT,0.05
GIVEBACK_BASELINE-F01-FCX-2017-04-21,GIVEBACK_BASELINE,PERSONAL_RISK_BASELINE,F01,FCX,2017-04-21,2017-04-21,2016-08-02,11.16788197,11.01477432,14.7434063,0.3201613644919279,-0.2529016635728203,1.0428210343068758,True,55.12566137566138,CALM,NEUTRAL,TRIM_REVIEW_5_PERCENT,0.05
GIVEBACK_BASELINE-F01-GS-2017-04-14,GIVEBACK_BASELINE,PERSONAL_RISK_BASELINE,F01,GS,2017-04-14,2017-04-13,2016-08-02,127.0281219,183.5307312,207.8321228,0.6361111200527008,-0.11692798626411383,0.3007449053181724,True,63.78141534391534,DRIFT,NEUTRAL,TRIM_REVIEW_5_PERCENT,0.05
GIVEBACK_BASELINE-F01-GS-2017-06-09,GIVEBACK_BASELINE,PERSONAL_RISK_BASELINE,F01,GS,2017-06-09,2017-06-09,2016-08-02,127.0281219,183.4228821,207.8321228,0.6361111200527008,-0.11744691037722488,0.3020796053181569,True,36.135912698412696,SCATTER,BREAKING,TRIM_REVIEW_5_PERCENT,0.05
GIVEBACK_BASELINE-F01-JPM-2017-06-02,GIVEBACK_BASELINE,PERSONAL_RISK_BASELINE,F01,JPM,2017-06-02,2017-06-02,2016-08-02,48.94174957,64.72940063,72.27217102,0.47669774078327865,-0.10436617972791595,0.32330193460778656,True,33.482142857142854,SCATTER,BREAKING,TRIM_REVIEW_5_PERCENT,0.05
