ticker,episode_id,signal_date,last_observed_session,source_regime,SECTOR_RS_DAMAGE_DELTA_4W,TREND_QUALITY_DELTA_4W,PARTICIPATION_WEAKENING_DELTA_4W,MARKET_STRESS_DELTA_4W,path_label,mae_126d,mfe_126d,terminal_return_126d,low_before_high,recovered_after_low,time_to_low_sessions,time_to_high_sessions,outcome_end,sector_etf
BNY,BNY-V61-002,2021-11-03,2021-11-03,HEALTHY_RUSH,-0.03887211558019854,0.06025085906479266,-0.5074560008550075,-0.03897970713609143,STRUCTURAL_BREAK,-0.29037160090692005,0.06561789036615306,-0.25595316416331393,False,False,122,67,2022-05-05,XLF
BNY,BNY-V61-003,2022-01-18,2022-01-18,HEALTHY_RUSH,-0.005020172137315759,-0.005579131949715821,-0.23724838795593298,-9.88623196122862e-05,STRUCTURAL_BREAK,-0.3483919930879833,0.01768882595033805,-0.3050481286193697,False,False,122,16,2022-07-20,XLF
BNY,BNY-V61-004,2024-01-11,2024-01-11,HEALTHY_RUSH,0.0009787311609292804,0.29576490254742704,-0.44480128109140904,-0.006472554401030117,CONTINUATION,0.029915434342501435,0.264981006819071,0.264981006819071,True,True,22,126,2024-07-15,XLF
BNY,BNY-V61-005,2024-05-13,2024-05-13,HEALTHY_RUSH,-0.06471699197846115,-0.01854351920295727,-0.32630533376007265,0.00035317030730208643,CONTINUATION,-0.0015556606704560938,0.37879520880489537,0.37879520880489537,True,True,11,126,2024-11-11,XLF
BNY,BNY-V61-006,2025-02-13,2025-02-13,HEALTHY_RUSH,-0.016165749801303697,0.0037548033693707294,-0.30176208972330776,-0.020171260247955347,LARGE_PULLBACK,-0.15619246890226146,0.20634775801238736,0.17595908572877095,True,True,35,123,2025-08-15,XLF
BNY,BNY-V61-007,2025-06-04,2025-06-04,HEALTHY_RUSH,-0.036323517097883506,0.1108749047980837,-0.14944428471572446,-0.4643253814122882,CONTINUATION,0.002830242400664318,0.293484432013178,0.293484432013178,True,True,1,126,2025-12-03,XLF
BR,BR-V61-001,2017-10-31,2017-10-31,HEALTHY_RUSH,-0.022620370936422995,0.0033787682535026953,-0.09147834722325987,-0.005819262411040485,CONTINUATION,0.003957544172616068,0.31470759990094743,0.26416906030500176,True,True,2,114,2018-05-03,XLI
BR,BR-V61-002,2018-08-31,2018-08-31,HEALTHY_RUSH,-0.07344901857201291,0.0005840431663538537,-0.591163046727165,-0.013246341161478221,STRUCTURAL_BREAK,-0.31505571334331706,0.01909146739437273,-0.2623733825651191,False,False,78,9,2019-03-06,XLI
BRK-B,BRK-B-V61-001,2016-12-14,2016-12-14,NORMAL_RUSH,0.031896720196916695,0.2184984168261449,0.2579619639080022,-0.04164776755470313,UNRESOLVED,-0.037865019331613015,0.07403369306725338,0.03283653325340885,True,True,25,51,2017-06-16,XLF
BRK-B,BRK-B-V61-002,2017-10-27,2017-10-27,HEALTHY_RUSH,0.0068964093659857895,0.04702818666377573,-0.08948089145515636,-0.005819262411040485,CONTINUATION,-0.03992787978012169,0.15196990435488966,0.034572376201907895,True,True,15,65,2018-05-01,XLF
BRK-B,BRK-B-V61-003,2017-12-29,2017-12-29,HEALTHY_RUSH,-0.024953367295241557,0.022005101243239733,-0.16725324272747683,0.006622226301058385,UNRESOLVED,-0.06714760074373372,0.09600443287657479,-0.052416503567249584,False,False,123,22,2018-07-02,XLF
BRK-B,BRK-B-V61-004,2021-04-09,2021-04-09,HEALTHY_RUSH,-0.0247205746564656,0.07517619501443029,0.2280666679090525,0.004199089172910259,CONTINUATION,0.004097576255944313,0.09965782573344373,0.06368182314919801,True,True,2,39,2021-10-07,XLF
BRK-B,BRK-B-V61-005,2022-01-13,2022-01-13,HEALTHY_RUSH,-0.016393674421888216,0.17444514103283548,-0.6700132000527755,0.02218186492853913,STRUCTURAL_BREAK,-0.16727889921143857,0.11924919483084695,-0.1400734564753786,False,False,110,50,2022-07-18,XLF
BRK-B,BRK-B-V61-006,2022-03-16,2022-03-16,HEALTHY_RUSH,-0.012923883806488234,0.17880443921413103,0.1640481276872156,0.05741449302014612,STRUCTURAL_BREAK,-0.2040700942531415,0.06979864603570318,-0.17675753705828467,False,False,68,8,2022-09-15,XLF
BRK-B,BRK-B-V61-007,2023-08-07,2023-08-07,HEALTHY_RUSH,0.01242516989343212,0.20666096701888892,-0.4608605816385637,-0.02936442209948316,TEMPORARY_PULLBACK,-0.08513982084194827,0.08593966780184115,0.08593966780184115,True,True,58,126,2024-02-06,XLF
BRK-B,BRK-B-V61-008,2024-02-07,2024-02-07,HEALTHY_RUSH,-0.04572178564263907,0.1355840869537931,-0.10450566054592919,-0.0621429003368653,CONTINUATION,-0.007192113547727197,0.1205803481714347,0.08519842198050043,True,True,4,110,2024-08-08,XLF
BRK-B,BRK-B-V61-009,2025-03-17,2025-03-17,HEALTHY_RUSH,-0.02390178305849422,0.30084041076630574,-0.1461276286063451,0.553394115505509,LARGE_PULLBACK,-0.12217744058939806,0.032102593995133155,-0.06122257509420237,False,False,96,33,2025-09-16,XLF
BRO,BRO-V61-001,2016-06-13,2016-06-13,NORMAL_RUSH,-0.0241097821207239,0.26522345645314205,-0.25150322658888236,-0.14260348004886017,CONTINUATION,-0.03250880081981822,0.24299251547329082,0.24299251547329082,True,True,10,126,2016-12-09,XLF
BRO,BRO-V61-002,2016-11-14,2016-11-14,NORMAL_RUSH,0.06449308402654008,-0.23848884149787009,-0.15561511778121623,0.03320447616661025,CONTINUATION,0.011194055727550944,0.13333337402374723,0.04769423887161617,True,True,1,34,2017-05-17,XLF
BRO,BRO-V61-003,2017-09-27,2017-09-27,HEALTHY_RUSH,0.02499896802514323,0.3542118664777367,-0.23950567058438016,-0.009322757155146903,CONTINUATION,-0.013914682388487809,0.1039117367552389,0.04730604819795947,True,True,2,112,2018-03-29,XLF
BRO,BRO-V61-004,2018-05-16,2018-05-16,HEALTHY_RUSH,0.03442365118212498,0.016899792579077477,0.09997384467225282,-0.07751749840556454,CONTINUATION,0.0010987672603193221,0.15091694183828053,0.06402741985723814,True,True,8,83,2018-11-13,XLF
BRO,BRO-V61-005,2019-06-21,2019-06-21,HEALTHY_RUSH,0.007915105619040741,0.11316799021231205,-0.3142938411742209,-0.02174624953328627,CONTINUATION,-0.010942365739159632,0.2072731630768776,0.2066626223263821,True,True,3,124,2019-12-19,XLF
BRO,BRO-V61-006,2021-08-17,2021-08-17,HEALTHY_RUSH,0.03797059617270149,0.013750749363858228,0.15834652682570124,-0.061626500091570176,CONTINUATION,-0.019798431219398838,0.24442611579529183,0.18069776883668176,True,True,31,95,2022-02-15,XLF
BRO,BRO-V61-007,2024-03-07,2024-03-07,HEALTHY_RUSH,-0.08149340373467995,0.39913949805613835,-0.149651636844164,0.00015273836630451398,TEMPORARY_PULLBACK,-0.06092008501112489,0.2361695539522084,0.21420769120702543,True,True,28,124,2024-09-06,XLF
BRO,BRO-V61-008,2024-08-12,2024-08-12,HEALTHY_RUSH,-0.004769233371167525,-0.013837372419874261,0.1819479277961128,0.17005218044716006,CONTINUATION,0.00381678051179124,0.14080279756090652,0.10082143772234908,True,True,1,75,2025-02-12,XLF
BRO,BRO-V61-009,2025-03-17,2025-03-17,HEALTHY_RUSH,-0.03347205345803683,0.21320042911322412,-0.05793279832880616,0.553394115505509,STRUCTURAL_BREAK,-0.2409485271138757,0.03622585454237792,-0.2406144166377745,False,False,125,13,2025-09-16,XLF
BSX,BSX-V61-001,2016-05-26,2016-05-26,NORMAL_RUSH,-0.013062954171633612,0.3885459051235264,0.07185891334509781,-0.11874163104396737,UNRESOLVED,-0.07845738437865313,0.08510638808095683,-0.07003545953540746,False,False,119,72,2016-11-23,XLV
BSX,BSX-V61-002,2018-09-27,2018-09-27,HEALTHY_RUSH,-0.0643732937986774,0.029517883434686976,-0.25253591394146907,-0.01234406369216462,LARGE_PULLBACK,-0.17240481440112876,0.06285862912287965,0.008346366686177387,True,True,60,105,2019-04-01,XLV
