ticker,cik,month_end,corpus_status,guard_state,deterioration_flags,flag_count,latest_fact_accepted_at,reason,revenue_yoy,net_margin,net_margin_yoy_change,operating_cash_flow_yoy,operating_cash_flow_value,liabilities_to_assets,liabilities_to_assets_yoy_change,entity_type,revenue_growth_acceleration,margin_change_acceleration,operating_cash_flow_growth_change,share_dilution_yoy,adjusted_close,unadjusted_close,pit_shares,market_cap_to_operating_cash_flow,price_return_12m,price_revenue_expectation_gap,pocf_own_history_percentile,expectation_gap_own_history_percentile,residual_return_21d,residual_volatility_expansion_21_63,relative_strength_gap_21_126,relative_strength_gap_change_1m
AAPL,320193,2013-01-31,PIT_FACTS_READY,PASS,MARGIN_DIRECTION,1,2013-01-24T22:01:37+00:00,,0.1765264498305743,0.2399104784267684,-0.0420483845866345,0.3551120466838977,50856000000.0,0.3505670923258945,-7.214448376219318e-05,GENERAL,,,,0.0071731179681886,13.75637436,16.26749992,939058000.0,0.3003800129753688,,,,,-0.08165258158546486,1.7901409458603483,-0.12828459640483286,
AAPL,320193,2013-02-28,PIT_FACTS_READY,PASS,MARGIN_DIRECTION,1,2013-01-24T22:01:37+00:00,,0.1765264498305743,0.2399104784267684,-0.0420483845866345,0.3551120466838977,50856000000.0,0.3505670923258945,-7.214448376219318e-05,GENERAL,,,,0.0071731179681886,13.40853214,15.76428604,939058000.0,0.2910881492872094,,,,,-0.021285288988549495,0.8104844530387,0.024440296409673337,0.15272489281450619
AAPL,320193,2013-03-31,PIT_FACTS_READY,PASS,MARGIN_DIRECTION,1,2013-01-24T22:01:37+00:00,,0.1765264498305743,0.2399104784267684,-0.0420483845866345,0.3551120466838977,50856000000.0,0.3505670923258945,-7.214448376219318e-05,GENERAL,,,,0.0071731179681886,13.44681072,15.80928612,939058000.0,0.2919190774987211,,,,,0.018608445777162093,1.0795711120164957,0.0407173831905802,0.016277086780906863
AAPL,320193,2013-04-30,PIT_FACTS_READY,PASS,MARGIN_DIRECTION,1,2013-04-24T01:29:23+00:00,,0.1127188281529116,0.2189528243469486,-0.0776326908880843,0.3551120466838977,50856000000.0,0.3042625408872206,-0.0166459356654448,GENERAL,-0.0638076216776627,-0.0355843063014498,0.0,0.0038361092633429,13.45045185,15.81357098,938649000.0,0.2918710198758459,,,,,0.03772244858311788,0.6864260985276884,0.07303706701746131,0.03231968382688111
AAPL,320193,2013-05-31,PIT_FACTS_READY,PASS,MARGIN_DIRECTION,1,2013-04-24T01:29:23+00:00,,0.1127188281529116,0.2189528243469486,-0.0776326908880843,0.3551120466838977,50856000000.0,0.3042625408872206,-0.0166459356654448,GENERAL,-0.0638076216776627,-0.0355843063014498,0.0,0.0038361092633429,13.75200462,16.06178665,938649000.0,0.2964523355599309,,,,,0.009754971276202557,1.1243575894283304,0.05105976519526452,-0.021977301822196788
AAPL,320193,2013-06-30,PIT_FACTS_READY,PASS,MARGIN_DIRECTION,1,2013-04-24T01:29:23+00:00,,0.1127188281529116,0.2189528243469486,-0.0776326908880843,0.3551120466838977,50856000000.0,0.3042625408872206,-0.0166459356654448,GENERAL,-0.0638076216776627,-0.0355843063014498,0.0,0.0038361092633429,12.12523556,14.16178608,938649000.0,0.261384032212638,,,,,-0.027612017242169763,0.7206780285747683,-0.037440136012672674,-0.08849990120793719
AAPL,320193,2013-07-31,PIT_FACTS_READY,PASS,MARGIN_DIRECTION|LEVERAGE_DIRECTION,2,2013-07-24T21:02:02+00:00,,0.0085657996173942,0.1953401466466608,-0.0566085727662963,0.3551120466838977,50856000000.0,0.3827856056360579,0.0687815785267366,GENERAL,-0.1041530285355173,0.021024118121788,0.0,-0.0308393588263783,13.83762264,16.16178513,908497000.0,0.2887158507403179,,,,,0.09101675815732908,1.0607535191439292,0.08325129318049658,0.12069142919316925
AAPL,320193,2013-08-31,PIT_FACTS_READY,PASS,MARGIN_DIRECTION|LEVERAGE_DIRECTION,2,2013-07-24T21:02:02+00:00,,0.0085657996173942,0.1953401466466608,-0.0566085727662963,0.3551120466838977,50856000000.0,0.3827856056360579,0.0687815785267366,GENERAL,-0.1041530285355173,0.021024118121788,0.0,-0.0308393588263783,14.99675083,17.40071487,908497000.0,0.3108482235577,,,,,0.04352368522861029,0.9538012183060621,0.07591083187295422,-0.007340461307542359
AAPL,320193,2013-09-30,PIT_FACTS_READY,PASS,MARGIN_DIRECTION|LEVERAGE_DIRECTION,2,2013-07-24T21:02:02+00:00,,0.0085657996173942,0.1953401466466608,-0.0566085727662963,0.3551120466838977,50856000000.0,0.3827856056360579,0.0687815785267366,GENERAL,-0.1041530285355173,0.021024118121788,0.0,-0.0308393588263783,14.67448711,17.0267868,908497000.0,0.3041683326930863,,,,,-0.048799220623407955,1.2930992551649216,-0.059039353995379885,-0.1349501858683341
AAPL,320193,2013-10-31,PIT_FACTS_READY,PASS,MARGIN_DIRECTION|LEVERAGE_DIRECTION,2,2013-10-30T00:38:28+00:00,,0.0418728799421677,0.2004696840307429,-0.0281629134224072,0.0552540506528236,53666000000.0,0.4031449275362319,0.0745485080524078,GENERAL,0.0333070803247735,0.0284456593438891,-0.2998579960310741,-0.0435360351741058,16.08884048,18.66785622,899738000.0,0.3129761789526024,,,,,0.013943336992173677,0.9198570588420465,0.012509557254295256,0.07154891124967513
