evaluation_id,event_id,accession_number,cik,filing_date,matched_items,primary_document_url,collection_status
STRUCTURAL-EVAL-0000713676-23-000069,SEC8K-0000713676-23-000069,0000713676-23-000069,0000713676,2023-10-13,2.05,https://www.sec.gov/Archives/edgar/data/713676/000071367623000069/pnc-20231013.htm,PENDING
STRUCTURAL-EVAL-0001193125-23-258136,SEC8K-0001193125-23-258136,0001193125-23-258136,0000051434,2023-10-18,2.05|2.06,https://www.sec.gov/Archives/edgar/data/51434/000119312523258136/d489478d8k.htm,PENDING
STRUCTURAL-EVAL-0000217346-23-000041,SEC8K-0000217346-23-000041,0000217346-23-000041,0000217346,2023-11-28,2.05|2.06,https://www.sec.gov/Archives/edgar/data/217346/000021734623000041/txt-20231128.htm,PENDING
STRUCTURAL-EVAL-0000080424-23-000107,SEC8K-0000080424-23-000107,0000080424-23-000107,0000080424,2023-12-05,2.06,https://www.sec.gov/Archives/edgar/data/80424/000008042423000107/emrestructureannouncemnt.htm,PENDING
STRUCTURAL-EVAL-0001730168-23-000093,SEC8K-0001730168-23-000093,0001730168-23-000093,0001730168,2023-12-07,2.05,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000093/avgo-20231207.htm,PENDING
STRUCTURAL-EVAL-0000046080-23-000097,SEC8K-0000046080-23-000097,0000046080-23-000097,0000046080,2023-12-11,2.05,https://www.sec.gov/Archives/edgar/data/46080/000004608023000097/has-20231209.htm,PENDING
STRUCTURAL-EVAL-0000004904-23-000150,SEC8K-0000004904-23-000150,0000004904-23-000150,0000004904,2023-12-20,2.06,https://www.sec.gov/Archives/edgar/data/4904/000000490423000150/aep-20231214.htm,PENDING
STRUCTURAL-EVAL-0000320187-23-000054,SEC8K-0000320187-23-000054,0000320187-23-000054,0000320187,2023-12-21,2.05,https://www.sec.gov/Archives/edgar/data/320187/000032018723000054/nke-20231221.htm,PENDING
STRUCTURAL-EVAL-0000107815-24-000047,SEC8K-0000107815-24-000047,0000107815-24-000047,0000783325,2024-01-08,2.06,https://www.sec.gov/Archives/edgar/data/783325/000010781524000047/wec-20240103.htm,PENDING
STRUCTURAL-EVAL-0000004904-24-000003,SEC8K-0000004904-24-000003,0000004904-24-000003,0000004904,2024-01-11,2.06,https://www.sec.gov/Archives/edgar/data/4904/000000490424000003/aep-20240109.htm,PENDING
STRUCTURAL-EVAL-0001552781-24-000014,SEC8K-0001552781-24-000014,0001552781-24-000014,0001065088,2024-01-24,2.05,https://www.sec.gov/Archives/edgar/data/1065088/000155278124000014/e24018_ebay-8k.htm,PENDING
STRUCTURAL-EVAL-0001104659-24-009109,SEC8K-0001104659-24-009109,0001104659-24-009109,0000310158,2024-02-01,2.05,https://www.sec.gov/Archives/edgar/data/310158/000110465924009109/tm244517d1_8k.htm,PENDING
STRUCTURAL-EVAL-0001001250-24-000005,SEC8K-0001001250-24-000005,0001001250-24-000005,0001001250,2024-02-05,2.05,https://www.sec.gov/Archives/edgar/data/1001250/000100125024000005/el-20240201.htm,PENDING
STRUCTURAL-EVAL-0000047111-24-000004,SEC8K-0000047111-24-000004,0000047111-24-000004,0000047111,2024-02-08,2.05,https://www.sec.gov/Archives/edgar/data/47111/000004711124000004/hsy-20240202.htm,PENDING
