ticker,episode_id,signal_date,last_observed_session,source_regime,path_label,mae_126d,mfe_126d,terminal_return_126d,low_before_high,recovered_after_low,time_to_low_sessions,time_to_high_sessions,outcome_end,selector,sector,era,v61_episode_id,price_episode_id
AMZN,AMZN-V61-002,2016-07-29,2016-07-29,NORMAL_RUSH,TEMPORARY_PULLBACK,-0.052371465753295654,0.11274232906853743,0.09431881012706822,False,True,75,47,2017-01-30,V61_RUSH,consumer_discretionary,2016-2019,,
AMZN,AMZN-V61-003,2017-04-27,2017-04-27,HEALTHY_RUSH,CONTINUATION,0.007197490346322555,0.14636644651122754,0.05937632648798319,True,True,1,62,2017-10-25,V61_RUSH,consumer_discretionary,2016-2019,,
AMZN,AMZN-V61-004,2017-11-28,2017-11-28,HEALTHY_RUSH,CONTINUATION,-0.049974899036658416,0.36529829736524033,0.36529829736524033,True,True,4,126,2018-05-31,V61_RUSH,consumer_discretionary,2016-2019,,
AMZN,AMZN-V61-005,2018-05-01,2018-05-01,HEALTHY_RUSH,UNRESOLVED,-0.027416464405510155,0.28898541757416396,-0.027416464405510155,False,False,126,87,2018-10-29,V61_RUSH,consumer_discretionary,2016-2019,,
AMZN,AMZN-V61-006,2020-07-20,2020-07-20,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.07567783725962896,0.10466898438715178,-0.023798506739360348,False,True,43,32,2021-01-19,V61_RUSH,consumer_discretionary,2020-2022,,
APD,APD-V61-001,2017-10-31,2017-10-31,HEALTHY_RUSH,CONTINUATION,-0.03602250664643114,0.0977230651468608,0.019200399891552644,False,True,68,58,2018-05-03,V61_RUSH,materials,2016-2019,,
APD,APD-V61-002,2019-03-20,2019-03-20,HEALTHY_RUSH,CONTINUATION,0.006878012333327632,0.2696967661044214,0.2138829220327747,True,True,3,91,2019-09-18,V61_RUSH,materials,2016-2019,,
APD,APD-V61-003,2019-11-15,2019-11-15,HEALTHY_RUSH,LARGE_PULLBACK,-0.26280327558608607,0.06789865066507494,-0.009014448342045567,False,True,86,61,2020-05-19,V61_RUSH,materials,2016-2019,,
APD,APD-V61-004,2020-02-19,2020-02-19,HEALTHY_RUSH,LARGE_PULLBACK,-0.30916288969259464,0.1692582136031413,0.1330142848909992,True,True,23,107,2020-08-18,V61_RUSH,materials,2020-2022,,
APD,APD-V61-005,2020-08-04,2020-08-04,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.05186824334174933,0.12347901068219191,-0.0011899581678784799,False,True,72,68,2021-02-03,V61_RUSH,materials,2020-2022,,
AVGO,AVGO-V61-001,2017-05-31,2017-05-31,HEALTHY_RUSH,CONTINUATION,-0.03650227048804644,0.19843181349189631,0.16803104338531916,True,True,23,125,2017-11-28,V61_RUSH,technology,2016-2019,,
AVGO,AVGO-V61-002,2021-12-23,2021-12-23,HEALTHY_RUSH,STRUCTURAL_BREAK,-0.24707876809611118,0.014260087225993479,-0.2278118581239753,False,False,120,1,2022-06-27,V61_RUSH,technology,2020-2022,,
AVGO,AVGO-V61-003,2023-06-22,2023-06-22,HEALTHY_RUSH,CONTINUATION,-0.035216276841641636,0.3689528393356043,0.33134047570935987,True,True,63,124,2023-12-20,V61_RUSH,technology,2023-2026,,
AVGO,AVGO-V61-004,2024-02-09,2024-02-09,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.05734532375054069,0.43104397386697957,0.1666059175568737,True,True,48,88,2024-08-12,V61_RUSH,technology,2023-2026,,
AVGO,AVGO-V61-005,2024-06-11,2024-06-11,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.06434024120731874,0.2809729450574363,0.18356532168098583,True,True,39,83,2024-12-10,V61_RUSH,technology,2023-2026,,
AVGO,AVGO-V61-006,2024-10-14,2024-10-14,HEALTHY_RUSH,LARGE_PULLBACK,-0.19299099101421435,0.3712907806097556,-0.03676365712483387,False,True,118,44,2025-04-16,V61_RUSH,technology,2023-2026,,
AVGO,AVGO-V61-007,2025-01-15,2025-01-15,HEALTHY_RUSH,LARGE_PULLBACK,-0.3564356998709466,0.2631273160370655,0.249413652213768,True,True,55,125,2025-07-18,V61_RUSH,technology,2023-2026,,
AVGO,AVGO-V61-008,2025-06-27,2025-06-27,HEALTHY_RUSH,CONTINUATION,-0.01711531160146862,0.5358365607931306,0.31207807214073036,True,True,2,115,2025-12-26,V61_RUSH,technology,2023-2026,,
BA,BA-V61-001,2017-02-01,2017-02-01,NORMAL_RUSH,CONTINUATION,-0.010428660740972262,0.5028219346846814,0.47486787216446413,True,True,1,124,2017-08-02,V61_RUSH,industrials,2016-2019,,
BA,BA-V61-002,2017-05-03,2017-05-03,HEALTHY_RUSH,CONTINUATION,-0.025257543827534645,0.4702815950052863,0.42595227664893764,True,True,11,121,2017-10-31,V61_RUSH,industrials,2016-2019,,
BAC,BAC-V61-001,2016-11-22,2016-11-22,NORMAL_RUSH,CONTINUATION,-0.0004925760793976774,0.264661333878049,0.15307333166789583,True,True,4,66,2017-05-25,V61_RUSH,financials,2016-2019,,
BAC,BAC-V61-002,2017-10-26,2017-10-26,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.05407345804374131,0.19335647077437446,0.08724814169881445,True,True,13,92,2018-04-30,V61_RUSH,financials,2016-2019,,
BAC,BAC-V61-003,2017-12-27,2017-12-27,HEALTHY_RUSH,UNRESOLVED,-0.04265779816742299,0.10875323391310365,-0.028080632189407928,False,False,125,50,2018-06-28,V61_RUSH,financials,2016-2019,,
BAC,BAC-V61-004,2021-03-17,2021-03-17,HEALTHY_RUSH,CONTINUATION,-0.027667544971173186,0.1449842471300966,0.06760303860379802,True,True,4,55,2021-09-15,V61_RUSH,financials,2020-2022,,
BAC,BAC-V61-005,2021-10-26,2021-10-26,HEALTHY_RUSH,STRUCTURAL_BREAK,-0.2368104408280427,0.03456351432286642,-0.2368104408280427,False,False,126,72,2022-04-27,V61_RUSH,financials,2020-2022,,
BAC,BAC-V61-006,2025-09-29,2025-09-29,HEALTHY_RUSH,UNRESOLVED,-0.09904075389476241,0.09781606479267535,-0.059893741483588836,False,False,114,68,2026-03-31,V61_RUSH,financials,2023-2026,,
BAC,BAC-V61-007,2025-12-29,2025-12-29,HEALTHY_RUSH,LARGE_PULLBACK,-0.1511451399287288,0.06585112739765342,0.06585112739765342,True,True,51,126,2026-07-01,V61_RUSH,financials,2023-2026,,
