ticker,event_date,last_observed_session,event_type,entry_level,episode_start,weekly_rsi,adjusted_close,h4w_forward_return,h4w_maximum_advance,h4w_maximum_decline,h4w_maximum_interim_drawdown,h4w_weeks_below_event_close,h4w_decline_at_least_2pct,h4w_decline_at_least_5pct,h4w_decline_at_least_10pct,h8w_forward_return,h8w_maximum_advance,h8w_maximum_decline,h8w_maximum_interim_drawdown,h8w_weeks_below_event_close,h8w_decline_at_least_2pct,h8w_decline_at_least_5pct,h8w_decline_at_least_10pct,h13w_forward_return,h13w_maximum_advance,h13w_maximum_decline,h13w_maximum_interim_drawdown,h13w_weeks_below_event_close,h13w_decline_at_least_2pct,h13w_decline_at_least_5pct,h13w_decline_at_least_10pct,h26w_forward_return,h26w_maximum_advance,h26w_maximum_decline,h26w_maximum_interim_drawdown,h26w_weeks_below_event_close,h26w_decline_at_least_2pct,h26w_decline_at_least_5pct,h26w_decline_at_least_10pct
AAPL,2012-09-07,2012-09-07,EXTREME_ENTRY,75,2012-09-07,76.39974670264681,20.45671654,-0.04092954450255082,0.02887840621171378,-0.04092954450255082,-0.06784859152724798,2,True,False,False,-0.15231327392680383,0.02887840621171378,-0.15231327392680383,-0.1761060189859145,6,True,True,True,-0.2127366071427218,0.02887840621171378,-0.22095928939336995,-0.2428252882913301,11,True,True,True,-0.35891578277693625,0.02887840621171378,-0.36077173702676724,-0.3787135009210234,24,True,True,True
AAPL,2012-09-14,2012-09-14,EXTREME_PERSISTENCE,75,2012-09-07,77.6120962821391,20.78260994,-0.08906658380944421,0.012744499885465332,-0.08906658380944421,-0.1005298806425744,3,True,True,False,-0.2050129436245388,0.012744499885465332,-0.2050129436245388,-0.21501715737249727,7,True,True,True,-0.2591733735825482,0.012744499885465332,-0.2591733735825482,-0.26849602589672483,12,True,True,True,-0.3515162297272082,0.012744499885465332,-0.37079551520467025,-0.3787135009210234,25,True,True,True
AAPL,2012-09-28,2012-09-28,COOLING_EXIT,75,2012-09-07,66.95738139442966,20.05566406,-0.0945886156810708,-0.021751042932058318,-0.0945886156810708,-0.0945886156810708,4,True,True,False,-0.13939408496454453,-0.021751042932058318,-0.2053808369384903,-0.2053808369384903,8,True,True,True,-0.23262268434705735,-0.021751042932058318,-0.23262268434705735,-0.23262268434705735,13,True,True,True,-0.3295255305547834,-0.021751042932058318,-0.34798910966601027,-0.34798910966601027,26,True,True,True
AAPL,2014-06-06,2014-06-06,EXTREME_ENTRY,75,2014-06-06,75.39228066782564,20.21875954,0.019579823342614322,0.019579823342614322,-0.014250806011613548,-0.014250806011613548,3,False,False,False,0.042350265272505405,0.0590489855541354,-0.014250806011613548,-0.015767656179655032,3,False,False,False,0.07848268371067446,0.11694971866706316,-0.014250806011613548,-0.03443936133695813,3,False,False,False,0.2585966844136076,0.30160814801401026,-0.014250806011613548,-0.047122115444885426,3,False,False,False
AAPL,2014-06-20,2014-06-20,EXTREME_DECELERATION,75,2014-06-06,71.64151762532342,19.93062592,0.0387196836214565,0.047409474935346196,0.011770162710474485,-0.008296460478769307,0,False,False,False,0.08313003548661246,0.08313003548661246,0.011770162710474485,-0.025174323090233486,0,False,False,False,0.11607330493712853,0.13309726802599076,0.011770162710474485,-0.03443936133695813,0,False,False,False,0.24104167622649353,0.32042527242415875,0.011770162710474485,-0.0773567298165615,0,False,False,False
AAPL,2014-07-04,2014-07-03,EXTREME_PERSISTENCE,75,2014-06-06,75.1425617045096,20.61463928,0.02233316255243256,0.038711203682046724,0.004253975478730965,-0.015767656179655032,0,False,False,False,0.09550002176899608,0.09550002176899608,0.004253975478730965,-0.025174323090233486,0,False,False,False,0.06471867889021832,0.09550002176899608,0.004253975478730965,-0.03443936133695813,0,False,False,False,0.17356445346445093,0.27661230461268604,0.004253975478730965,-0.08071976964024252,0,False,False,False
AAPL,2014-08-08,2014-08-08,COOLING_EXIT,75,2014-06-06,69.54330522988568,20.87360764,0.044648458765415455,0.08190870354023772,0.03419878021622136,-0.03443936133695813,0,False,False,False,0.05150924931345502,0.08190870354023772,0.03419878021622136,-0.03443936133695813,0,False,False,False,0.15561183462007433,0.15561183462007433,0.030926876711188322,-0.047122115444885426,0,False,False,False,0.2657496282228673,0.2657496282228673,0.030926876711188322,-0.10880371111278242,0,False,False,False
AAPL,2014-08-22,2014-08-22,EXTREME_ENTRY,75,2014-08-22,76.7947031746547,22.323349,-0.0035527581457424073,0.011646495335444484,-0.023193963862680245,-0.03443936133695813,2,True,False,False,-0.036024427607165954,0.011646495335444484,-0.036024427607165954,-0.047122115444885426,6,True,False,False,0.15451119363855303,0.15451119363855303,-0.036024427607165954,-0.047122115444885426,6,True,False,False,0.2887369502667365,0.2887369502667365,-0.036024427607165954,-0.10880371111278242,6,True,False,False
AAPL,2014-08-29,2014-08-29,EXTREME_PERSISTENCE,75,2014-08-22,77.85031700523706,22.58333778,-0.017073483280291346,-0.008195234991521305,-0.03443936133695813,-0.03443936133695813,4,True,False,False,0.02653635241335861,0.02653635241335861,-0.047122115444885426,-0.047122115444885426,7,True,False,False,0.1653238514329125,0.1653238514329125,-0.047122115444885426,-0.047122115444885426,7,True,False,False,0.26366988077703013,0.2739004743345781,-0.047122115444885426,-0.10880371111278242,7,True,False,False
AAPL,2014-09-05,2014-09-05,COOLING_EXIT,75,2014-08-22,67.89951844633192,21.80558205,0.006567559153964231,0.027180194898764443,0.006567559153964231,-0.020067205196486082,0,False,False,False,0.09123959477155963,0.09123959477155963,-0.013135119225125336,-0.039248531391187,1,False,False,False,0.16700685455905995,0.2068883141782496,-0.013135119225125336,-0.039248531391187,1,False,False,False,0.28979256758706873,0.31933761933220195,-0.013135119225125336,-0.10880371111278242,1,False,False,False
