horizon_months,outcome,treatment_events,control_events,treatment_folds,control_folds,directional_folds,median_treatment,median_control,control_minus_treatment,raw_p_value,fold_gap_json,holm_p_value,outcome_pass
1,forward_return,161,295,5,5,1,0.00837429109667,0.00477101349578,-0.00360327760089,0.349509676852,"{""F01"":-0.03353516316402683,""F02"":0.022644521485290392,""F03"":-0.007661429227392436,""F04"":-0.007435972397077273,""F05"":-0.014522961315408534}",1,False
1,forward_trough_return,161,295,5,5,3,-0.0363098803102,-0.0268109114639,0.00949896884631,0.0163917733196,"{""F01"":-0.0022992171190256983,""F02"":0.0404599602342417,""F03"":-0.0051045842220641124,""F04"":0.0053496736872366,""F05"":0.010501808687037206}",0.0983506399179,False
3,forward_return,79,180,5,5,1,0.0464761301716,0.0061020652813,-0.0403740648903,0.991277404959,"{""F01"":-0.03893439787027331,""F02"":0.0640359741355957,""F03"":-0.0579263480583585,""F04"":-0.11990464880101481,""F05"":-0.05536345730490477}",1,False
3,forward_trough_return,79,180,5,5,3,-0.0642607891046,-0.0619764693903,0.00228431971431,0.362340623052,"{""F01"":0.009736702144658438,""F02"":0.10465204763388869,""F03"":-0.02640832497733514,""F04"":0.020384336187793617,""F05"":-0.02125458714276557}",1,False
6,forward_return,42,106,5,5,1,0.13479312273,0.0345269539923,-0.100266168738,0.996242996362,"{""F01"":-0.12259498649473333,""F02"":0.02197774011475584,""F03"":-0.047333525706443114,""F04"":-0.26052733380068527,""F05"":-0.14495458619611257}",1,False
6,forward_trough_return,42,106,5,5,3,-0.0809368645299,-0.0973873621278,-0.016450497598,0.973387916787,"{""F01"":-0.012650217674696929,""F02"":0.032309201379005226,""F03"":0.00868026880620354,""F04"":0.00396453572665878,""F05"":-0.06394276431151602}",1,False
