signal_date,ticker,guard_state,deterioration_flags,horizon_months,outcome_end,forward_return,forward_trough_return,fold_id
2018-11-30,TSLA,PASS,OPERATING_CASH_FLOW_DIRECTION|LEVERAGE_DIRECTION,6,2019-05-31,-0.4716959709433739,-0.4716959709433739,F01
2018-11-30,TSLA,PASS,OPERATING_CASH_FLOW_DIRECTION|LEVERAGE_DIRECTION,12,2019-11-30,-0.05860533796719303,-0.4893574894036308,F01
2019-02-28,MCD,PASS,REVENUE_DIRECTION|LEVERAGE_DIRECTION,6,2019-08-31,0.19889977978840756,-0.02360780898410164,F01
2019-02-28,FCX,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|OPERATING_CASH_FLOW_DIRECTION,6,2019-08-31,-0.2816949279568376,-0.3192124967944694,F01
2019-03-31,LIN,PASS,,6,2019-09-30,0.1115808781606078,-0.014664709617513316,F01
2019-04-30,NEE,PASS,MARGIN_DIRECTION|LEVERAGE_DIRECTION,6,2019-10-31,0.24044905877191924,-0.03373774280691022,F01
2019-04-30,BA,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|LEVERAGE_DIRECTION,6,2019-10-31,-0.08921059821797905,-0.14143404142584848,F01
2019-05-31,ABBV,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|LEVERAGE_DIRECTION,6,2019-11-30,0.1780277944107458,-0.16646649132863456,F01
2019-06-30,ORCL,VETO,REVENUE_DIRECTION|OPERATING_CASH_FLOW_DIRECTION|LEVERAGE_DIRECTION,6,2019-12-31,-0.062107790609312596,-0.09094611404919728,F01
2020-02-29,CVX,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|OPERATING_CASH_FLOW_DIRECTION|LEVERAGE_DIRECTION,12,2021-02-28,0.13479592186665235,-0.41911297853757257,F02
2020-02-29,FCX,PASS,MARGIN_DIRECTION|OPERATING_CASH_FLOW_DIRECTION,12,2021-02-28,2.4046172753154926,-0.4668675536931899,F02
2020-02-29,GE,PASS,REVENUE_DIRECTION|LEVERAGE_DIRECTION,12,2021-02-28,0.15842246864246867,-0.4949032556245516,F02
