ticker,event_candidate_cik,verified_cik,verified_removal_date,before_accession,before_filing_date,after_accession,after_filing_date,identity_basis
WHR,0001170279,0000106640,2024-03-18,0000106640-23-000131,2023-10-26,0000106640-24-000100,2024-04-25,SEC_PRIMARY_COVER_TAGGED_SYMBOL_CONTINUITY
ZION,0001642140,0000109380,2024-03-18,0000109380-23-000172,2023-11-03,0000109380-24-000108,2024-05-08,SEC_PRIMARY_COVER_TAGGED_SYMBOL_CONTINUITY
