ticker,sector_etf,universe_role,signal_date,HERD_STATE,distinct_sale_owners_30d,sale_events_30d,exposed,execution_date,outcome_end,minimum_return_63d,terminal_return_63d,adverse_path,fold_id
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2016-07-29,79.23280423280423,0,0,False,2016-08-01,2016-10-28,-0.09489528800425229,-0.09489528800425229,False,OOS_2016_2018
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2017-02-24,77.64550264550265,1,3,False,2017-02-27,2017-05-26,-0.008710584731023263,0.15481414582709796,False,OOS_2016_2018
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2017-04-21,75.51256613756614,1,1,False,2017-04-24,2017-07-24,0.0,0.13220004858564738,False,OOS_2016_2018
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2017-08-18,75.3885582010582,0,0,False,2017-08-21,2017-11-17,0.0,0.11648417687253398,False,OOS_2016_2018
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2017-10-06,81.36574074074075,2,3,True,2017-10-09,2018-01-09,-0.010967643781625624,0.08066252091661297,False,OOS_2016_2018
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2017-11-17,83.73842592592592,0,0,False,2017-11-20,2018-02-22,-0.06812473520463935,0.012527978196353873,False,OOS_2016_2018
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2018-01-19,75.43816137566138,1,1,False,2018-01-22,2018-04-23,-0.1318442989678209,-0.0715577973558903,True,OOS_2016_2018
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2020-01-10,87.63227513227513,2,2,True,2020-01-13,2020-04-14,-0.2754401920423367,-0.09637997803781129,True,OOS_2019_2021
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2020-07-31,80.70436507936508,0,0,False,2020-08-03,2020-10-30,-0.039862653232884404,0.032133125407286744,False,OOS_2019_2021
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2020-10-09,79.05092592592592,0,0,False,2020-10-12,2021-01-12,-0.03575825605660954,0.2062812951384474,False,OOS_2019_2021
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2020-11-06,80.91104497354497,2,2,True,2020-11-09,2021-02-10,-0.05822241220315305,0.11364547399676872,False,OOS_2019_2021
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2020-12-04,78.86078042328043,1,1,False,2020-12-07,2021-03-10,0.0,0.05058349992885036,False,OOS_2019_2021
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2021-02-12,78.24900793650794,0,0,False,2021-02-16,2021-05-17,-0.10128946727414756,0.01842896757255197,False,OOS_2019_2021
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2021-04-23,75.29761904761905,0,0,False,2021-04-26,2021-07-26,-0.06334640282791237,0.0954384573061755,False,OOS_2019_2021
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2021-06-11,80.61342592592592,0,0,False,2021-06-14,2021-09-13,-0.005540634185386639,0.1933389152623688,False,OOS_2019_2021
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2021-07-30,82.26686507936509,0,0,False,2021-08-02,2021-10-29,-0.032245640086467575,0.030156463711052295,False,OOS_2019_2021
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2024-03-08,76.65343915343915,0,0,False,2024-03-11,2024-06-10,-0.11316560503349948,-0.09534866695747668,False,OOS_2024_2026Q2
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2024-05-10,76.43022486772486,0,0,False,2024-05-13,2024-08-13,-0.14961581156889237,-0.06825232259238556,True,OOS_2024_2026Q2
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2025-10-24,81.93617724867724,0,0,False,2025-10-27,2026-01-28,-0.08514037616540782,-0.08514037616540782,False,OOS_2024_2026Q2
A,XLV,INDEPENDENT_CURRENT_CONSTITUENTS,2026-01-09,85.89616402116403,0,0,False,2026-01-12,2026-04-14,-0.25508479176200194,-0.18464283993321506,True,OOS_2024_2026Q2
AAPL,XLK,PRIMARY,2017-01-20,76.04166666666667,0,0,False,2017-01-23,2017-04-24,-0.0009157915516909698,0.20138895985327676,False,OOS_2016_2018
AAPL,XLK,PRIMARY,2017-04-28,77.59589947089947,0,0,False,2017-05-01,2017-07-31,-0.02539747646010604,0.01885592599392183,False,OOS_2016_2018
AAPL,XLK,PRIMARY,2017-09-01,78.00925925925925,0,0,False,2017-09-05,2017-12-04,-0.07113759913286966,0.05139705598567579,False,OOS_2016_2018
AAPL,XLK,PRIMARY,2017-11-03,75.49603174603175,0,0,False,2017-11-06,2018-02-07,-0.0986942020481586,-0.08112744339839895,False,OOS_2016_2018
AAPL,XLK,PRIMARY,2017-12-15,75.11574074074075,0,0,False,2017-12-18,2018-03-21,-0.1205645746165468,-0.025233454110616282,True,OOS_2016_2018
AAPL,XLK,PRIMARY,2018-08-03,81.10119047619047,0,0,False,2018-08-06,2018-11-02,-0.009374938417539003,-0.004124520684408828,False,OOS_2016_2018
AAPL,XLK,PRIMARY,2018-08-31,80.11739417989418,0,0,False,2018-09-04,2018-12-03,-0.24290092995092372,-0.18784001429749553,True,OOS_2016_2018
AAPL,XLK,PRIMARY,2019-11-08,83.44080687830687,0,0,False,2019-11-11,2020-02-12,-0.01048812799836718,0.25086382632878523,False,OOS_2019_2021
AAPL,XLK,PRIMARY,2020-07-03,77.86871693121692,0,0,False,2020-07-06,2020-10-02,-0.009068045117305523,0.2114350089133008,False,OOS_2019_2021
AAPL,XLK,PRIMARY,2020-07-31,87.58267195767196,0,0,False,2020-08-03,2020-10-30,-0.017485866611503087,0.0010903441186733698,False,OOS_2019_2021
