hypothesis_id,feature,target,role,quantile,treatment_events,control_events,tickers,test_folds,directional_folds,signal_dates,target_rate,control_rate,target_rate_gap,raw_p_value,thresholds,holm_p_value,passed,direction_authority
H_PULLBACK_HIGH_FAILURE,HIGH_52W_FAILURE,PULLBACK_13W,PROFIT_TAKE_DIRECTION,0.9,3454,11108,55,9,8,458,0.5477707006369427,0.42176809506661866,0.126002605570324,1.0286690075725203e-14,"{""F01"": 0.9115384615384616, ""F02"": 0.9816493749956875, ""F03"": 0.9384615384615383, ""F04"": 0.9327490693425898, ""F05"": 0.9674054191101785, ""F06"": 0.9846153846153848, ""F07"": 0.9616701688540201, ""F08"": 1.0, ""F09"": 1.0}",2.1602049159022925e-13,False,False
H_PULLBACK_TREND_DECEL,TREND_13W_DECELERATION,PULLBACK_13W,PROFIT_TAKE_DIRECTION,0.8,6381,12576,55,9,5,458,0.4657577182259834,0.4390108142493639,0.026746903976619496,5.6087532121335385e-05,"{""F01"": 0.4356252826609129, ""F02"": 0.47076094060881696, ""F03"": 0.4461553245798794, ""F04"": 0.4781040384411704, ""F05"": 0.46787406143325655, ""F06"": 0.505963069216149, ""F07"": 0.5105396491441936, ""F08"": 0.5302880446152464, ""F09"": 0.5441254888998067}",0.0008974005139413662,False,False
H_PULLBACK_TREND_DECEL,TREND_13W_DECELERATION,PULLBACK_13W,PROFIT_TAKE_DIRECTION,0.9,3603,12576,55,9,4,437,0.4746044962531224,0.4390108142493639,0.03559368200375851,6.204248992343098e-05,"{""F01"": 0.7174216937057727, ""F02"": 0.7540995334987592, ""F03"": 0.7220121542083993, ""F04"": 0.766384470659661, ""F05"": 0.758699305605859, ""F06"": 0.8158814499055759, ""F07"": 0.8210798099612723, ""F08"": 0.8524399675412863, ""F09"": 0.8760179009521741}",0.0009306373488514646,False,False
H_PULLBACK_VOLUME_WEAK,SIGNED_VOLUME_PARTICIPATION,PULLBACK_13W,PROFIT_TAKE_DIRECTION,0.8,5352,12889,55,9,4,468,0.4398355754857997,0.4426254946078051,-0.00278991912200538,0.4078472614960079,"{""F01"": 0.1564162762578365, ""F02"": 0.15770216680565116, ""F03"": 0.15119978994232902, ""F04"": 0.1553727826317387, ""F05"": 0.14945964433326311, ""F06"": 0.14909232431021252, ""F07"": 0.1506403829719667, ""F08"": 0.1583422497206329, ""F09"": 0.1588849448065933}",1.0,False,False
H_PULLBACK_VOLUME_WEAK,SIGNED_VOLUME_PARTICIPATION,PULLBACK_13W,PROFIT_TAKE_DIRECTION,0.9,2740,12889,55,9,3,437,0.4456204379562044,0.4426254946078051,0.0029949433483992816,0.685757835527905,"{""F01"": 0.258547364241294, ""F02"": 0.25966095684263363, ""F03"": 0.2545298569170159, ""F04"": 0.2568882591186423, ""F05"": 0.2529080430303792, ""F06"": 0.2530983426098602, ""F07"": 0.2547302222452202, ""F08"": 0.2646696343238487, ""F09"": 0.26412313546626626}",1.0,False,False
H_PULLBACK_WEEKLY_RSI,WEEKLY_RSI_EXTREME,PULLBACK_13W,PROFIT_TAKE_DIRECTION,1.0,251,25599,49,9,6,157,0.46215139442231074,0.44009531622328996,0.02205607819902078,0.7396833132868808,"{""F01"": 1.0, ""F02"": 1.0, ""F03"": 1.0, ""F04"": 1.0, ""F05"": 1.0, ""F06"": 1.0, ""F07"": 1.0, ""F08"": 1.0, ""F09"": 1.0}",1.0,False,False
H_BREAK_BUSINESS,PIT_BUSINESS_DETERIORATION,STRUCTURAL_BREAK_26W,BUSINESS_VETO,0.8,9814,11790,46,9,4,470,0.10984308131241084,0.11348600508905853,-0.003642923776647683,0.00012187970995741751,"{""F01"": 0.5, ""F02"": 0.5, ""F03"": 0.5, ""F04"": 0.5, ""F05"": 0.5, ""F06"": 0.5, ""F07"": 0.5, ""F08"": 0.5, ""F09"": 0.5}",0.0017063159394038452,False,False
H_BREAK_BUSINESS,PIT_BUSINESS_DETERIORATION,STRUCTURAL_BREAK_26W,BUSINESS_VETO,0.9,3969,11790,41,9,5,470,0.1017888636936256,0.11348600508905853,-0.01169714139543293,0.5793418944553093,"{""F01"": 0.75, ""F02"": 0.75, ""F03"": 0.75, ""F04"": 0.75, ""F05"": 0.75, ""F06"": 0.75, ""F07"": 0.75, ""F08"": 0.75, ""F09"": 0.75}",1.0,False,False
H_CONTEXT_MARKET_STRESS,MARKET_STRESS_REGIME,PULLBACK_13W,REGIME_CONTEXT,0.8,7480,8305,55,8,3,287,0.47754010695187166,0.48826008428657436,-0.010719977334702702,0.7660699577162906,"{""F02"": 0.2741962901900829, ""F03"": 0.2672965116279069, ""F04"": 0.2790224879156724, ""F05"": 0.2830840046029919, ""F06"": 0.2991224528761836, ""F07"": 0.2882330124097882, ""F08"": 0.3356619551079292, ""F09"": 0.3198094104072508}",1.0,False,False
H_CONTEXT_MARKET_STRESS,MARKET_STRESS_REGIME,PULLBACK_13W,REGIME_CONTEXT,0.9,4290,3465,55,5,2,141,0.5102564102564102,0.6262626262626263,-0.11600621600621608,0.9858960520479071,"{""F03"": 0.3048141203503696, ""F04"": 0.3827549414720303, ""F06"": 0.7226335646923856, ""F07"": 0.6847749253521704, ""F09"": 0.7510245929735602}",1.0,False,False
