policy_id,fold_id,ticker,signal_date,observed_session,action,ratio,business_gate,business_month_end,reason
GIVEBACK_BASELINE,F03,AVGO,2019-05-24,2019-05-24,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F03,AVGO,2019-05-24,2019-05-24,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F03,LLY,2019-04-19,2019-04-18,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F03,LLY,2019-06-14,2019-06-14,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F03,LLY,2019-04-19,2019-04-18,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F03,MRK,2019-04-19,2019-04-18,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,AAPL,2020-02-28,2020-02-28,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,AAPL,2020-04-24,2020-04-24,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,AAPL,2020-06-19,2020-06-19,REENTRY_BLOCKED,0.0,VETO,2020-05-31,BUSINESS_SAFETY_VETO
GIVEBACK_BASELINE,F04,AAPL,2020-06-26,2020-06-26,REENTRY_BLOCKED,0.0,VETO,2020-05-31,BUSINESS_SAFETY_VETO
GIVEBACK_BASELINE,F04,AAPL,2020-07-02,2020-07-02,REENTRY_BLOCKED,0.0,VETO,2020-06-30,BUSINESS_SAFETY_VETO
GIVEBACK_BASELINE,F04,AAPL,2020-07-10,2020-07-10,REENTRY_BLOCKED,0.0,VETO,2020-06-30,BUSINESS_SAFETY_VETO
HERD_GIVEBACK_S1,F04,AAPL,2020-02-28,2020-02-28,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F04,AAPL,2020-05-29,2020-05-29,REENTRY_BLOCKED,0.0,VETO,2020-04-30,BUSINESS_SAFETY_VETO
