feature,treatment_events,control_events,missing_fraction,treatment_median,control_median,rank_biserial,raw_p_value,first_half_effect,second_half_effect,same_direction_halves,holm_p_value,retained_for_preregistration
SECTOR_RS_DELTA_4W,45,79,0.16778523489932887,0.020948395546391593,0.0334135245040139,-0.13755274261603379,0.20481214458568853,0.13919413919413914,-0.3361486486486487,1,1.0,False
SECTOR_RS_DAMAGE_DELTA_4W,45,79,0.16778523489932887,-0.0065806657110716,-0.018339002138205503,0.24838255977496493,0.021919820001055197,0.03296703296703307,0.347972972972973,2,0.17535856000844158,False
SPY_RS_DELTA_4W,52,95,0.013422818791946308,0.048416221790723246,0.0445354373443985,0.02348178137651824,0.815799640100422,0.3202614379084967,-0.1314496314496314,1,1.0,False
HIGH_FAILURE_DELTA_4W,45,81,0.15436241610738255,-0.14797100117529083,-0.10877976864016409,-0.011248285322359441,0.9188914710753098,-0.1216216216216216,-0.02211302211302213,2,1.0,False
PARTICIPATION_WEAKENING_DELTA_4W,52,95,0.013422818791946308,-0.1297741263638864,-0.1636973324242243,0.14453441295546554,0.14865608899824329,0.23660130718954253,0.12653562653562656,2,1.0,False
MARKET_STRESS_DELTA_4W,47,91,0.0738255033557047,-0.008997639578719407,0.006302757621252403,-0.0825344867898059,0.4290367147394547,0.22127659574468095,-0.12899262899262898,1,1.0,False
TREND_QUALITY_DELTA_4W,52,95,0.013422818791946308,0.10653263515158434,0.07402947952795658,0.11943319838056676,0.23281628230526452,0.13725490196078427,0.09029484029484025,2,1.0,False
DECELERATION_DELTA_4W,52,95,0.013422818791946308,-0.03526267213242103,0.011975664233671107,0.002024291497975783,0.9854546287944769,-0.04052287581699343,-0.0073710073710073765,0,1.0,False
