ticker,asset_type,cik,cik_mapping_status,fold_id,as_of,available_fact_rows,available_accessions,available_concepts,status
XLK,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
XLK,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
XLK,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
XLP,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
XLP,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
XLP,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
XLP,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
XLU,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
XLU,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
XLU,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
XLU,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
XLV,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
XLV,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
XLV,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
XLV,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
XLY,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
XLY,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
XLY,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
XLY,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
XOM,EQUITY,0000034088,VERIFIED_PERIOD_CIK,F01,2018-02-01,7157,24,334,PIT_FACTS_READY
XOM,EQUITY,0000034088,VERIFIED_PERIOD_CIK,F02,2020-02-03,9513,32,354,PIT_FACTS_READY
XOM,EQUITY,0000034088,VERIFIED_PERIOD_CIK,F03,2022-02-03,12047,40,386,PIT_FACTS_READY
XOM,EQUITY,0000034088,VERIFIED_PERIOD_CIK,F04,2024-02-05,14495,48,397,PIT_FACTS_READY
