signal_date,ticker,guard_state,deterioration_flags,horizon_months,outcome_end,forward_return,forward_trough_return,fold_id
2022-12-31,WMT,VETO,EARNINGS|OPERATING_CASH_FLOW,3,2023-03-31,0.0441802906011,-0.0339938775879,F03
2023-04-30,LLY,VETO,REVENUE|EARNINGS,3,2023-07-31,0.151246206337,0.0210681687838,F03
2023-08-31,LLY,PASS,,6,2024-02-29,0.364843075052,-0.052345832548,F04
2023-08-31,XOM,VETO,REVENUE|EARNINGS,6,2024-02-29,-0.0425755715315,-0.121457208016,F04
2023-08-31,NVDA,PASS,OPERATING_CASH_FLOW,6,2024-02-29,0.603190778535,-0.182872541872,F04
2023-08-31,CVX,VETO,REVENUE|EARNINGS,6,2024-02-29,-0.0361295098484,-0.118932234383,F04
2023-08-31,FCX,PASS,OPERATING_CASH_FLOW,6,2024-02-29,-0.04531024202,-0.163749481203,F04
2023-08-31,XOM,VETO,REVENUE|EARNINGS,3,2023-11-30,-0.0675466134607,-0.0742870929151,F04
2024-04-30,XOM,PASS,,3,2024-07-31,0.0108501092391,-0.0763493795749,F04
2023-08-31,LLY,PASS,,3,2023-11-30,0.0684446605024,-0.052345832548,F04
2024-02-29,LLY,VETO,EARNINGS|OPERATING_CASH_FLOW,3,2024-05-31,0.090301421812,-0.038225757711,F04
2023-08-31,NVDA,PASS,OPERATING_CASH_FLOW,3,2023-11-30,-0.0522974553675,-0.182872541872,F04
2023-08-31,FCX,PASS,OPERATING_CASH_FLOW,3,2023-11-30,-0.0611053269925,-0.163749481203,F04
2023-08-31,CVX,VETO,REVENUE|EARNINGS,3,2023-11-30,-0.0992843270916,-0.118932234383,F04
2023-10-31,AMT,VETO,REVENUE|EARNINGS,3,2024-01-31,0.106685630017,0.0010662892893,F04
2024-04-30,AMT,PASS,REVENUE,3,2024-07-31,0.295345845505,0.030776429889,F04
2023-10-31,NEM,PASS,,6,2024-04-30,0.104042444401,-0.195160594887,F04
2023-10-31,NEM,PASS,,3,2024-01-31,-0.0698257696437,-0.0939420114287,F04
2023-10-31,AMT,VETO,REVENUE|EARNINGS,6,2024-04-30,-0.0208611105417,-0.0240571528294,F04
2024-01-31,BA,PASS,EARNINGS,3,2024-04-30,-0.204700522989,-0.221332415575,F04
2024-01-31,BA,PASS,EARNINGS,6,2024-07-31,-0.0968536194509,-0.221332415575,F04
2024-04-30,BAC,VETO,EARNINGS|OPERATING_CASH_FLOW,3,2024-07-31,0.0957897494016,-0.00351228719641,F04
2024-10-31,BA,PASS,EARNINGS,6,2025-04-30,0.227245385074,-0.0851918927363,F05
2024-10-31,PLD,PASS,,6,2025-04-30,-0.0790818394569,-0.191177864374,F05
2024-10-31,BA,PASS,EARNINGS,3,2025-01-31,0.182238343965,-0.0748107854768,F05
2025-02-28,BA,VETO,EARNINGS|OPERATING_CASH_FLOW,3,2025-05-31,0.187195793866,-0.217832030766,F05
2024-10-31,PLD,PASS,,3,2025-01-31,0.0650710912793,-0.0943546071848,F05
2024-11-30,MRK,VETO,EARNINGS|OPERATING_CASH_FLOW,6,2025-05-31,-0.231363507909,-0.26507380406,F05
2024-11-30,MRK,VETO,EARNINGS|OPERATING_CASH_FLOW,3,2025-02-28,-0.0851197622046,-0.176756468657,F05
2025-04-30,AMT,PASS,EARNINGS,3,2025-07-31,-0.0682308608076,-0.0951599111294,F05
