ticker,cik,gics_sector,cik_link_status,eligible_filings
FFIV,0001048695,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,54
LMT,0000936468,Industrials,UNIQUE_CIK_NAME_CANDIDATE,46
NUE,0000073309,Materials,UNIQUE_CIK_NAME_CANDIDATE,44
PWR,0001050915,Industrials,UNIQUE_CIK_NAME_CANDIDATE,52
ROK,0001024478,Industrials,UNIQUE_CIK_NAME_CANDIDATE,42
SRE,0001032208,Utilities,UNIQUE_CIK_NAME_CANDIDATE,49
TYL,0000860731,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,50
VRSN,0001014473,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,50
YUM,0001041061,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,49
