hypothesis_id,fold_id,ticker,event_date,control_date,event_target_hit,control_target_hit,pair_difference,trailing_return_gap
WRSI_EXTREME_ENTRY_PULLBACK,F02,JPM,2018-01-12,2017-12-08,True,False,1,0.0028871884571992634
WRSI_EXTREME_ENTRY_PULLBACK,F02,LIN,2017-10-27,2017-10-06,False,False,0,0.009245701114470206
WRSI_EXTREME_ENTRY_PULLBACK,F02,MA,2017-09-08,2018-07-20,False,False,0,0.003807095145102135
WRSI_EXTREME_ENTRY_PULLBACK,F02,MCD,2017-10-13,2017-08-04,False,False,0,0.025142201663101105
WRSI_EXTREME_ENTRY_PULLBACK,F02,MCD,2017-12-01,2017-09-22,True,False,1,0.10581414567800884
WRSI_EXTREME_ENTRY_PULLBACK,F02,META,2017-10-27,2017-10-20,False,False,0,0.033951347144507205
WRSI_EXTREME_ENTRY_PULLBACK,F02,MSFT,2017-10-13,2018-07-20,False,False,0,0.014836601609336642
WRSI_EXTREME_ENTRY_PULLBACK,F02,NEE,2017-08-18,2017-08-04,False,False,0,0.00039352702334416456
WRSI_EXTREME_ENTRY_PULLBACK,F02,NEE,2017-10-27,2017-08-11,False,False,0,0.007607675610609599
WRSI_EXTREME_ENTRY_PULLBACK,F02,NFLX,2018-01-26,2018-01-12,True,False,1,0.1189909865913954
WRSI_EXTREME_ENTRY_PULLBACK,F02,PLD,2017-09-01,2017-08-25,False,False,0,0.02239718831704196
WRSI_EXTREME_ENTRY_PULLBACK,F02,UNH,2017-12-01,2017-11-10,False,False,0,0.04025008546787556
WRSI_EXTREME_ENTRY_PULLBACK,F02,UNH,2018-01-19,2017-11-03,True,False,1,0.045763447948726776
WRSI_EXTREME_ENTRY_PULLBACK,F02,UNP,2017-12-08,2017-12-01,False,False,0,0.05635707402411394
WRSI_EXTREME_ENTRY_PULLBACK,F02,WMT,2017-10-27,2017-10-20,False,False,0,0.006062996708796398
WRSI_EXTREME_ENTRY_PULLBACK,F03,AAPL,2018-08-17,2018-08-03,True,False,1,0.03503468270523191
WRSI_EXTREME_ENTRY_PULLBACK,F03,AMT,2019-03-08,2018-12-14,False,True,-1,0.03716878365424381
WRSI_EXTREME_ENTRY_PULLBACK,F03,APD,2019-03-29,2019-03-15,False,False,0,0.046947381920387166
WRSI_EXTREME_ENTRY_PULLBACK,F03,COST,2018-08-03,2019-07-05,False,False,0,0.13867274303116628
WRSI_EXTREME_ENTRY_PULLBACK,F03,COST,2019-07-12,2019-06-21,False,False,0,0.04091376027771165
WRSI_EXTREME_ENTRY_PULLBACK,F03,DIS,2019-04-26,2019-04-19,True,False,1,0.12313787424498646
WRSI_EXTREME_ENTRY_PULLBACK,F03,LLY,2018-08-10,2018-08-03,False,False,0,0.10383253079097843
WRSI_EXTREME_ENTRY_PULLBACK,F03,MA,2018-08-31,2019-04-26,True,False,1,0.018046171784938725
WRSI_EXTREME_ENTRY_PULLBACK,F03,MA,2019-06-07,2019-05-24,False,False,0,0.024623000056878785
WRSI_EXTREME_ENTRY_PULLBACK,F03,MCD,2019-07-05,2018-11-30,False,True,-1,0.0002556662041357516
WRSI_EXTREME_ENTRY_PULLBACK,F03,MRK,2018-09-14,2018-08-24,False,False,0,0.003650223939217989
WRSI_EXTREME_ENTRY_PULLBACK,F03,MRK,2018-11-16,2018-09-07,False,False,0,0.020473500592470995
WRSI_EXTREME_ENTRY_PULLBACK,F03,MRK,2018-11-30,2018-08-31,True,False,1,0.04659449497261403
WRSI_EXTREME_ENTRY_PULLBACK,F03,MSFT,2018-08-31,2019-05-03,True,False,1,0.007560100002618642
WRSI_EXTREME_ENTRY_PULLBACK,F03,NEE,2019-05-24,2019-03-29,False,False,0,0.006701533538709503
WRSI_EXTREME_ENTRY_PULLBACK,F03,PG,2019-05-17,2019-05-10,False,False,0,0.0019201097236603015
WRSI_EXTREME_ENTRY_PULLBACK,F03,SHW,2018-09-07,2018-08-24,True,True,0,0.025433289284982896
WRSI_EXTREME_ENTRY_PULLBACK,F03,SO,2019-05-17,2019-05-10,False,False,0,0.006359807319638033
WRSI_EXTREME_ENTRY_PULLBACK,F03,UNP,2018-09-21,2018-09-14,True,True,0,0.10392960842648535
WRSI_EXTREME_ENTRY_PULLBACK,F03,V,2018-08-31,2019-06-07,True,False,1,0.024256409099591147
WRSI_EXTREME_ENTRY_PULLBACK,F03,V,2019-07-05,2019-06-28,False,False,0,0.003617721436262933
WRSI_EXTREME_ENTRY_PULLBACK,F04,AAPL,2019-10-25,2020-06-26,False,False,0,0.010260787301589636
WRSI_EXTREME_ENTRY_PULLBACK,F04,AAPL,2020-07-10,2020-07-03,False,False,0,0.012235704354202737
WRSI_EXTREME_ENTRY_PULLBACK,F04,ABBV,2019-11-15,2019-11-08,True,False,1,0.015667417550438767
WRSI_EXTREME_ENTRY_PULLBACK,F04,AMT,2019-08-23,2019-08-09,True,True,0,0.006128838539714465
WRSI_EXTREME_ENTRY_PULLBACK,F04,AMZN,2020-02-14,2020-02-07,True,True,0,0.04064339879653267
WRSI_EXTREME_ENTRY_PULLBACK,F04,CRM,2020-02-14,2020-02-07,True,True,0,0.024716091106419258
WRSI_EXTREME_ENTRY_PULLBACK,F04,DUK,2020-02-21,2020-02-14,True,True,0,0.0006253489695737802
WRSI_EXTREME_ENTRY_PULLBACK,F04,GOOGL,2020-01-17,2020-01-10,True,True,0,0.05988643394202153
WRSI_EXTREME_ENTRY_PULLBACK,F04,GS,2020-01-17,2020-01-10,True,True,0,0.03708697789425641
WRSI_EXTREME_ENTRY_PULLBACK,F04,JPM,2019-12-13,2019-11-29,True,True,0,0.002312693607745331
WRSI_EXTREME_ENTRY_PULLBACK,F04,KO,2020-02-14,2020-02-07,True,True,0,0.006284594445289837
WRSI_EXTREME_ENTRY_PULLBACK,F04,LLY,2020-01-10,2019-12-27,True,True,0,0.08823881682234469
