ticker,signal_date,fold_id,business_state,business_month_end,common_return_63d,residual_return_63d,systematic_fraction,group,FORWARD_TOTAL_RETURN,FORWARD_TROUGH_RETURN,outcome_end,confirmation_date,confirmation_wait_sessions,confirmed,immediate_entry_date,immediate_entry_price,fixed_wait_entry_date,fixed_wait_entry_price,confirmed_entry_date,confirmed_entry_price,strategy_terminal_base,uplift_vs_immediate_base,uplift_vs_fixed_wait_base,strategy_terminal_stress,uplift_vs_immediate_stress,uplift_vs_fixed_wait_stress,confirmed_entry_trough,immediate_entry_trough,entry_drawdown_improvement
AAPL,2018-11-30,F01,PASS,2018-10-31,-0.118215915671789,-0.1209858634111553,0.4942100185249755,EXCLUDED_UNKNOWN_OR_MIDDLE,0.0305121656944022,-0.2037742611072986,2019-06-05,2019-02-04,42.0,True,2018-12-03,43.76627212819843,2019-01-04,34.2922066637957,2019-02-05,41.01397314387749,0.05315076235715574,0.0033424548662263423,-0.01041831505058291,0.053070916444751405,0.0033374336521058215,-0.010402664101583546,-0.015638927533975,-0.22915546059808478,0.21351653306410978
AAPL,2020-02-28,F02,PASS,2020-01-31,0.0234666189629963,0.0126465263069022,,EXCLUDED_UNKNOWN_OR_MIDDLE,0.8374948696994442,-0.1792141696754248,2020-08-27,2020-04-24,39.0,True,2020-03-02,68.14338895177796,2020-03-31,61.7027392006283,2020-04-27,68.02751680004795,0.08898937502218562,0.00015131901309203832,-0.009121766926693309,0.08885569043276823,0.0001510916935931611,-0.009108063721495474,-0.011426753858041816,-0.2051508974945575,0.1937241436365157
AAPL,2020-09-30,F02,PASS,2020-08-31,0.1200297603008959,0.1225609873965768,,EXCLUDED_UNKNOWN_OR_MIDDLE,0.0655066567935138,-0.0607891491087306,2021-04-01,2020-10-16,12.0,True,2020-10-01,114.10770982136417,2020-10-30,107.72527836112087,2020-10-19,116.3580262606219,0.05135513400949865,-0.0010127738299434488,-0.004115430769767198,0.05127798558584892,-0.0010112523870341728,-0.004109248349982872,-0.0932809769075219,-0.07539958461030571,-0.017881392297216192
AAPL,2021-05-28,F02,PASS,2021-04-30,-0.0070485364680572,-0.016453569644303,0.2999108434945859,HEALTHY_FIRM_SPECIFIC,0.262130924566867,-0.0085868477220587,2021-11-26,2021-06-22,16.0,True,2021-06-01,121.9219705515792,2021-06-30,132.73195198602727,2021-06-23,130.39255013793897,0.058697114448838385,-0.004078006426398877,0.0010345371703229245,0.05860893651025726,-0.004071880227460863,0.0010329830333620019,-0.004933664057175324,-0.012312057004886912,0.007378392947711587
AAPL,2022-04-29,F03,PASS,2022-03-31,-0.104418429432692,0.0283312389017923,1.0,HEALTHY_SYSTEMATIC,-0.0092897957321982,-0.1737957019416341,2022-10-28,2022-07-05,44.0,True,2022-05-02,153.4007100602187,2022-06-01,146.9500774683954,2022-07-06,138.568341296973,0.05508397157593919,0.005326088640904891,0.003141878690897257,0.055001221493451546,0.005318087506241534,0.003137158793014086,-0.020926695591732103,-0.16884000048012415,0.14791330488839205
AAPL,2024-04-30,F04,PASS,2024-03-31,-0.0204769661893776,-0.07716468087001,0.209715493399278,HEALTHY_FIRM_SPECIFIC,0.3753170387894906,-0.0060472001366875,2024-10-29,2024-05-15,11.0,True,2024-05-01,167.89590092981888,2024-05-31,189.79591187539916,2024-05-16,188.83425023580023,0.06131924390353397,-0.00764714171650651,0.000310693544705809,0.061227126862116545,-0.007635653772015007,0.00031022680427810617,-0.01884825094682674,-0.0016511304223844059,-0.017197120524442333
AAPL,2025-03-31,F04,PASS,2025-02-28,-0.0756482576710552,-0.076895184162904,0.4959128806953036,EXCLUDED_UNKNOWN_OR_MIDDLE,0.149116587247208,-0.2237878910000843,2025-09-30,,,False,2025-04-01,218.65466734224302,2025-05-01,207.98108658091093,,,0.05,-0.007975162954746838,-0.010950445919758883,0.05,-0.007888069570237959,-0.010858882906359148,,-0.21559523295451577,
ABBV,2018-03-29,F01,PASS,2018-02-28,-0.0270117786686661,-0.001540298526826,0.946053013366425,HEALTHY_SYSTEMATIC,0.0151771022352984,-0.0514527875271951,2018-09-27,2018-04-26,19.0,True,2018-04-02,65.6948367270856,2018-05-01,72.09491324096089,2018-04-27,68.80439759535847,0.04872678847512238,-0.0023064052249387665,0.0022239607848817677,0.04865358849243566,-0.0023029404198937967,0.0022206198322755333,-0.07822218758472987,-0.04489347342984773,-0.033328714154882144
ABBV,2019-01-31,F01,PASS,2018-12-31,0.0550894666017318,-0.0561377033308604,0.0,HEALTHY_FIRM_SPECIFIC,-0.1569421639155171,-0.1708666071520495,2019-08-01,2019-04-02,42.0,True,2019-02-01,58.566907704130436,2019-03-05,57.931970346596515,2019-04-03,61.02635127770198,0.04041352123730674,-0.0016971149577269112,-0.002158649683885551,0.04035280988842746,-0.0016945654610452943,-0.002155406845101543,-0.20388527688772728,-0.1704534411234826,-0.03343183576424469
ABBV,2020-02-28,F02,PASS,2020-01-31,-0.0560918157629887,0.0463317562968562,1.0,HEALTHY_SYSTEMATIC,0.1302586537488936,-0.2474625701390589,2020-08-27,2020-04-23,38.0,True,2020-03-02,66.39170354903872,2020-03-31,58.20853864816042,2020-04-24,64.92948431876098,0.057504384888867985,0.0012664838061835354,-0.006639641805740476,0.05741799873229984,0.0012645812266048953,-0.006629667381395345,-0.012187666005108455,-0.24999994550191118,0.23781227949680273
