PRICE_EXTENSION,TREND_POSITION,RELATIVE_POSITION,PARTICIPATION,DOWNSIDE_RISK_CONTEXT,last_observed_session,HERD_STATE,HERD_STAGE,ticker_x,sector_etf,universe_role,signal_date,HERD_DELTA_4W,HERD_DELTA_13W,PRICE_EXTENSION_DELTA_4W,TREND_POSITION_DELTA_4W,RELATIVE_POSITION_DELTA_4W,PARTICIPATION_DELTA_4W,FAMILY_UP_VOTES,FAMILY_DOWN_VOTES,RECENT_13W_MAX_HERD,RECENT_13W_MIN_HERD,RAW_HERD_TRANSITION,HERD_TRANSITION,OPPOSITE_DIRECTION_SUPPRESSED,TRANSITION_EVENT,event_id,ticker_y,report_period,context_available_date,reporting_manager_breadth,breadth_change_fraction_1q,top5_reported_share_concentration,top5_concentration_change_1q,reported_share_hhi,crowding_unwind_concentration_score,context_measurement_available,ticker,context_age_days,context_eligible,first_boundary,path_label,outcome_end,maximum_favorable_excursion,maximum_adverse_excursion,terminal_return,target
66.78797754843383,77.01660502085464,41.10824742268042,38.228332630987495,14.967462039045554,2014-01-17,55.7852906557391,CALM,BKNG,XLY,INDEPENDENT_CURRENT_CONSTITUENTS,2014-01-17,-16.36869355469674,-20.017038294762703,-0.8887901283338522,-10.550962546712938,-23.621482307049305,-30.413539236690823,0,3,91.3412071005903,54.74679458907059,BREAKING,BREAKING,False,True,13FC-00001,BKNG,2013-09-30,2013-11-15,623.0,0.1327272727,0.2706615666,-0.1038919433,0.0245289006,0.0,True,BKNG,63.0,True,NO_BOUNDARY,UNRESOLVED,2014-07-21,0.16331356228017713,-0.05945464783795418,0.03215512743842197,
55.67264168024624,77.70028330841268,53.865979381443296,42.493678887484194,32.90870488322717,2014-01-17,57.4331458143966,CALM,BKR,XLE,INDEPENDENT_CURRENT_CONSTITUENTS,2014-01-17,-15.475601852415586,-38.48121922840267,-17.39133138372683,-13.110527502398142,-7.620507105043181,-23.78004141849418,0,4,94.73516651443828,52.45754646618192,BREAKING,BREAKING,False,True,13FC-00002,BKR,2013-09-30,2013-11-15,534.0,0.1242105263,0.3368477019,-0.0525633972,0.0328555385,0.0,True,BKR,63.0,True,UPSIDE_CONTINUATION,CONTINUATION,2014-07-21,0.3985141012969293,0.030846208167845113,0.3795824196833566,0.0
62.12052628402438,92.5552844888644,83.37628865979381,41.28353701362551,6.382978723404255,2014-01-17,69.83390911157703,DRIFT,BR,XLI,INDEPENDENT_CURRENT_CONSTITUENTS,2014-01-17,-23.470562096119977,-17.10498477216882,-34.1757700122719,-7.1744452408653245,-15.002089718584545,-37.529943412758136,0,4,96.03951822446383,69.83390911157703,BREAKING,BREAKING,False,True,13FC-00003,BR,2013-09-30,2013-11-15,296.0,0.2131147541,0.2656152364,-0.0241179619,0.0283332427,0.0,True,BR,63.0,True,DOWNSIDE_PULLBACK,TRADABLE_PULLBACK,2014-07-21,0.10232601800116159,-0.08196741224267101,0.0685237141155981,0.0
28.42235500030177,50.87353427244825,21.77835051546392,30.69883410591376,69.18238993710692,2014-01-17,32.94326847353193,SCATTER,CASY,XLP,INDEPENDENT_CURRENT_CONSTITUENTS,2014-01-17,-16.535329311517472,-39.416275268047016,-19.052392474445703,-22.36970897079499,-21.05948732237392,-3.659728478455282,0,3,80.78643655838327,32.66114611294088,BREAKING,BREAKING,False,True,13FC-00004,CASY,2013-09-30,2013-11-15,210.0,0.0880829016,0.2793116804,-0.0005483827,0.0287514407,0.0,True,CASY,63.0,True,NO_BOUNDARY,UNRESOLVED,2014-07-21,0.1031081806027403,-0.043055339660591274,-0.007467185079638283,
39.28239483372563,65.63114818603918,54.381443298969074,44.71274055344852,5.9196617336152215,2014-01-17,51.0019317180456,CALM,FIX,XLI,INDEPENDENT_CURRENT_CONSTITUENTS,2014-01-17,-16.44708621484331,-39.30324911961057,-19.640164088833288,-21.936419381528395,-17.645583728057957,-6.566177660953564,0,4,96.83896693249568,50.90227828001552,BREAKING,BREAKING,False,True,13FC-00005,FIX,2013-09-30,2013-11-15,116.0,0.1485148515,0.3524269864,-0.0304488609,0.0437577159,0.0,True,FIX,63.0,True,DOWNSIDE_PULLBACK,LARGE_PULLBACK,2014-07-21,0.026150702082514465,-0.23333999924775717,-0.1705541942591723,1.0
74.15323797453075,87.1153694813882,45.36082474226804,32.25488130355387,38.853503184713375,2014-01-17,59.72107837543521,CALM,GRMN,XLY,INDEPENDENT_CURRENT_CONSTITUENTS,2014-01-17,-17.48800544655184,-21.11782598507492,-5.981442160149385,-8.019765653746944,-19.90944552800223,-36.04136844430877,0,4,93.90640805257416,59.72107837543521,BREAKING,BREAKING,False,True,13FC-00006,GRMN,2013-09-30,2013-11-15,271.0,0.2152466368,0.3482390683,-0.0399594041,0.0381932746,0.0,True,GRMN,63.0,True,UPSIDE_CONTINUATION,CONTINUATION,2014-07-21,0.3439475433922101,-0.06493717060067117,0.2276122563150571,0.0
52.19325245941216,80.03462658377272,46.52061855670103,48.35405253546847,44.08352668213457,2014-01-17,56.7756375338386,CALM,IBKR,XLF,INDEPENDENT_CURRENT_CONSTITUENTS,2014-01-17,-22.06013110031713,-27.00821997968017,-35.348835082675386,-15.641049091902955,-10.64154360546113,-26.60909662122907,0,4,87.38702924992532,56.7756375338386,BREAKING,BREAKING,False,True,13FC-00007,IBKR,2013-09-30,2013-11-15,133.0,0.1666666667,0.4702146711,-0.0285465065,0.0693051513,0.0,True,IBKR,63.0,True,DOWNSIDE_PULLBACK,TRADABLE_PULLBACK,2014-07-21,0.07486881444460458,-0.08919133529794987,-0.012893779200262023,0.0
69.6650371175086,66.80864877626504,55.41237113402062,56.217165332209575,33.264033264033266,2014-01-17,62.02580559000096,DRIFT,ROL,XLI,INDEPENDENT_CURRENT_CONSTITUENTS,2014-01-17,-21.95279387246947,-12.91124133657651,-29.66156220909073,-32.92108095346468,-19.452493730844253,-5.776038596478223,0,4,85.52772938443671,62.02580559000096,BREAKING,BREAKING,False,True,13FC-00008,ROL,2013-09-30,2013-11-15,158.0,0.0604026846,0.4694373643,-0.0148565302,0.0590247349,0.0,True,ROL,63.0,True,DOWNSIDE_PULLBACK,TRADABLE_PULLBACK,2014-07-21,0.07591816702471044,-0.07179513925718861,0.002215250398371005,0.0
17.904735068625033,42.54833512352309,32.01530612244898,24.88072650277732,76.017130620985,2014-01-24,29.337275704343604,SCATTER,ADM,XLP,INDEPENDENT_CURRENT_CONSTITUENTS,2014-01-24,-37.36036551438432,-38.3567413790316,-59.50390280512912,-41.14150444866942,-20.792180508567057,-28.00387429517168,0,4,76.35452820937566,29.337275704343604,BREAKING,BREAKING,False,True,13FC-00009,ADM,2013-09-30,2013-11-15,525.0,0.0847107438,0.367738808,-0.021166123,0.0391353613,0.0,True,ADM,70.0,True,UPSIDE_CONTINUATION,CONTINUATION,2014-07-25,0.23780301190087805,-0.03386404434561252,0.22987974469556294,0.0
25.93310086529769,22.073039742212675,47.44897959183674,51.26216795908265,42.1505376344086,2014-01-24,36.67932203960744,SCATTER,AME,XLI,INDEPENDENT_CURRENT_CONSTITUENTS,2014-01-24,-46.5628333182929,-17.701524004870528,-65.42902538054949,-71.24246827917769,-23.272945541853097,-26.30689407159137,0,4,84.02885447240286,36.67932203960744,BREAKING,BREAKING,False,True,13FC-00010,AME,2013-09-30,2013-11-15,373.0,0.1406727829,0.304468263,0.0340687682,0.0293142637,0.0,True,AME,70.0,True,NO_BOUNDARY,UNRESOLVED,2014-07-25,0.09331384245518115,-0.03969356265362378,0.04160079766158842,
