universe_role,fold_id,policy,rows,brier,log_loss,balanced_accuracy,action_rate
PRIMARY,F02,ALWAYS_TRIM,22,0.5897282727272727,4.08226468771682,0.5,1.0
PRIMARY,F03,ALWAYS_TRIM,11,0.2721828181818182,1.8846608945104613,0.5,1.0
PRIMARY,F04,ALWAYS_TRIM,13,0.23030869230769233,1.594866987714019,0.5,1.0
PRIMARY,F05,ALWAYS_TRIM,25,0.359281,2.4874322206470625,0.5,1.0
PRIMARY,F06,ALWAYS_TRIM,18,0.3326676666666667,2.303252093216434,0.5,1.0
PRIMARY,F07,ALWAYS_TRIM,13,0.1535394615384615,1.063578158587207,0.5,1.0
PRIMARY,F08,ALWAYS_TRIM,23,0.564087956521739,3.904818418700158,0.5,1.0
PRIMARY,F09,ALWAYS_TRIM,23,0.21695752173913044,1.502468930474573,0.5,1.0
PRIMARY,F01,FIRST_RUSH_PER_TICKER_YEAR,24,0.3326676666666667,2.3032520932164346,0.5625,0.8333333333333334
PRIMARY,F02,FIRST_RUSH_PER_TICKER_YEAR,22,0.5443646363636364,3.7683212886873405,0.5213675213675213,0.8636363636363636
PRIMARY,F03,FIRST_RUSH_PER_TICKER_YEAR,11,0.36291009090909093,2.5125476925694206,0.5416666666666666,0.7272727272727273
PRIMARY,F04,FIRST_RUSH_PER_TICKER_YEAR,13,0.23030869230769233,1.594866987714019,0.5,1.0
PRIMARY,F05,FIRST_RUSH_PER_TICKER_YEAR,25,0.359281,2.4874322206470625,0.5486111111111112,0.84
PRIMARY,F06,FIRST_RUSH_PER_TICKER_YEAR,18,0.38811211111111116,2.686960692030243,0.5,0.8333333333333334
PRIMARY,F07,FIRST_RUSH_PER_TICKER_YEAR,13,0.3838471538461539,2.657444645967642,0.36363636363636365,0.7692307692307693
PRIMARY,F08,FIRST_RUSH_PER_TICKER_YEAR,23,0.520696652173913,3.60452473267196,0.5384615384615384,0.9565217391304348
PRIMARY,F09,FIRST_RUSH_PER_TICKER_YEAR,23,0.30374013043478265,2.1030563025309688,0.5166666666666667,0.8260869565217391
PRIMARY,F01,EXPANDING_PRIOR_PREVALENCE,24,0.25,0.6931471805599453,0.5,1.0
PRIMARY,F02,EXPANDING_PRIOR_PREVALENCE,22,0.308080808080808,0.8150520784390409,0.5,1.0
PRIMARY,F03,EXPANDING_PRIOR_PREVALENCE,11,0.23212751331843962,0.6573164953876517,0.5,1.0
PRIMARY,F04,EXPANDING_PRIOR_PREVALENCE,13,0.21372256552311958,0.6200330289338857,0.5,1.0
PRIMARY,F05,EXPANDING_PRIOR_PREVALENCE,25,0.2310612244897959,0.6548258962439206,0.5,1.0
PRIMARY,F06,EXPANDING_PRIOR_PREVALENCE,18,0.2243028624192059,0.6410122828446911,0.5,1.0
PRIMARY,F07,EXPANDING_PRIOR_PREVALENCE,13,0.1776297161996903,0.5454787507107094,0.5,1.0
PRIMARY,F08,EXPANDING_PRIOR_PREVALENCE,23,0.2924074621797189,0.7814272237523509,0.5,1.0
PRIMARY,F09,EXPANDING_PRIOR_PREVALENCE,23,0.1974098307361792,0.5862310569865256,0.5,1.0
