review_id,ticker,cik,accession_number,accepted_at,document_name,source_url,source_sha256,metric,fiscal_period,accounting_basis,metric_subtype,unit,lower_bound,upper_bound,midpoint,numeric_role,sign,source_structure,range_offset,range_role,semantic_role,table_index,row_index,column_index,row_header,header_path,source_excerpt,candidate_status,block_path,source_kind,review_priority,review_decision,review_reason,reviewer,reviewed_at
SG4-0032,HON,0000773840,0000930413-19-000246,2019-02-01T11:37:24.000Z,c92841_ex99.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041319000246/c92841_ex99.htm,91811baf19e482fabae9870c843f692a1a5ab0e509e4a1e4a791e7f3f6e5d675,EPS,FY2019,UNSPECIFIED,NOT_APPLICABLE,USD_PER_SHARE,7.8,8.1,7.95,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,8,5,2,Earnings Per Share,$36.0B - $36.9B | 2% - 5% | 20.7% - 21.0% | Up 110 - 140 bps | Up 30 - 60 bps,- MORE - | Honeywell 2019 Outlook - 4 | TABLE 1: FULL-YEAR 2019 GUIDANCE | Earnings Per Share | | $7.80 - $8.10,V4_ATOMIC_BINDING_NOT_SOURCE_REVIEWED,,,77b52bc8ddb0b5ee199bdb930ea7ad26cffd76debdc89c8e45c06be2e93de706,PENDING,,,
SG4-0033,APD,0000002969,0001193125-12-427997,2012-10-19T12:59:24.000Z,d428104dex991.htm,https://www.sec.gov/Archives/edgar/data/2969/000119312512427997/d428104dex991.htm,ef2ec0c5fc87a15575eb960b5c3a4fa85e5644807ffea373b68a2c79b14bb5e0,EPS,FY2013,UNSPECIFIED,NOT_APPLICABLE,USD_PER_SHARE,5.65,5.85,5.75,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,86,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,The company today announced initial guidance for fiscal year 2013 EPS in the range of $5.65 to $5.85 per share.,V4_ATOMIC_BINDING_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/p[41],HTML_P,7970de18f084bcf9b870e7dea30c1fdbd8e946d91db2534c873900900c3df05c,PENDING,,,
SG4-0034,MRK,0000310158,0001104659-14-006521,2014-02-05T12:08:59.000Z,a14-4974_1ex99d1.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465914006521/a14-4974_1ex99d1.htm,98707f0e68ab61f4a40b530a90cd67ee7b8a50d8fee0af1adf7d9d84139f5f6a,EPS,FY2014,GAAP,NOT_APPLICABLE,USD_PER_SHARE,2.15,2.47,2.31,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,7,1,2,GAAP EPS,Full-Year 2014,The company expects its full-year 2014 non-GAAP tax rate to be in the range of 24 to 26 percent; the rate does not include a 2014 benefit of an R&D tax credit. | A reconciliation of anticipated 2014 EPS as reported in accordance with GAAP to non-GAAP EPS that excludes certain items is provided in the table below. | GAAP EPS | | $2.15 to $2.47 |,V4_ATOMIC_BINDING_NOT_SOURCE_REVIEWED,,,7cfbb09fdc83b1ea1be3bbf1d4222175dcea04690740567f211b9287548b0556,PENDING,,,
SG4-0035,MRK,0000310158,0001104659-14-006521,2014-02-05T12:08:59.000Z,a14-4974_1ex99d1.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465914006521/a14-4974_1ex99d1.htm,98707f0e68ab61f4a40b530a90cd67ee7b8a50d8fee0af1adf7d9d84139f5f6a,EPS,FY2014,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,3.35,3.53,3.44,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,7,3,2,Non-GAAP EPS that excludes items listed below,Full-Year 2014 | $2.15 to $2.47 | 1.20 to 1.06,The company expects its full-year 2014 non-GAAP tax rate to be in the range of 24 to 26 percent; the rate does not include a 2014 benefit of an R&D tax credit. | A reconciliation of anticipated 2014 EPS as reported in accordance with GAAP to non-GAAP EPS that excludes certain items is provided in the table below. | Non-GAAP EPS that excludes items listed below | | $3.35 to $3.53 |,V4_ATOMIC_BINDING_NOT_SOURCE_REVIEWED,,,7cfbb09fdc83b1ea1be3bbf1d4222175dcea04690740567f211b9287548b0556,PENDING,,,
SG4-0036,MRK,0000310158,0001104659-22-011130,2022-02-03T11:39:53.000Z,tm222755d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465922011130/tm222755d1_ex99-1.htm,ca171cd681b047c4ae564c0c7f566f9d5be689927603c4bac1dc324fd3dceb00,EPS,FY2022,GAAP,NOT_APPLICABLE,USD_PER_SHARE,5.76,5.91,5.835,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,49,1,3,GAAP EPS,Full-Year 2022,*The company does not have any non-GAAP adjustments to revenue. | **EPS guidance for 2022 assumes a share count (assuming dilution) of approximately 2.53 billion shares. | A reconciliation of anticipated 2022 GAAP EPS to non-GAAP EPS and the items excluded from non-GAAP EPS are provided in the table below. | GAAP EPS | | | $5.76 to $5.91 |,V4_ATOMIC_BINDING_NOT_SOURCE_REVIEWED,,,80a20c7468b44f39a1b5c6b48d20b6c4dcecbbb4e27e5c51bed83bdc9ac1a356,PENDING,,,
SG4-0037,MRK,0000310158,0001104659-22-011130,2022-02-03T11:39:53.000Z,tm222755d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465922011130/tm222755d1_ex99-1.htm,ca171cd681b047c4ae564c0c7f566f9d5be689927603c4bac1dc324fd3dceb00,EPS,FY2022,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,7.12,7.27,7.195,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,49,3,3,Non-GAAP EPS that excludes items listed below2,Full-Year 2022 | $5.76 to $5.91 | 1.36,*The company does not have any non-GAAP adjustments to revenue. | **EPS guidance for 2022 assumes a share count (assuming dilution) of approximately 2.53 billion shares. | A reconciliation of anticipated 2022 GAAP EPS to non-GAAP EPS and the items excluded from non-GAAP EPS are provided in the table below. | Non-GAAP EPS that excludes items listed below2 | | | $7.12 to $7.27 |,V4_ATOMIC_BINDING_NOT_SOURCE_REVIEWED,,,80a20c7468b44f39a1b5c6b48d20b6c4dcecbbb4e27e5c51bed83bdc9ac1a356,PENDING,,,
SG4-0038,LIN,0001707925,0001654954-23-009714,2023-07-27T10:18:41.000Z,lin_ex991.htm,https://www.sec.gov/Archives/edgar/data/1707925/000165495423009714/lin_ex991.htm,22e467c40cf1c3ce046238db68d1627a123911e5dfcd002575254998c4c45088,EPS,FY2023,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,13.8,14,13.9,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,50,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,"Increased full-year 2023 adjusted EPS guidance to $13.80 - $14.00, represents 12% to 14% growth year-over-year",V4_ATOMIC_BINDING_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/table[2]/tr[5]/td[3]/p,HTML_P,89afd3277fb4d5f2111cba9194e332b27cf7b509dd01d120a7106c8c5ee40c13,PENDING,,,
SG4-0039,MRK,0000310158,0001104659-20-051922,2020-04-28T10:53:01.000Z,tm2016917d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465920051922/tm2016917d1_ex99-1.htm,b3297489f3aac653e84196c89fed5808ea50778895886252ed8cfe0f578342dd,EPS,FY2020,GAAP,NOT_APPLICABLE,USD_PER_SHARE,4.12,4.32,4.22,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,29,1,3,GAAP EPS,Full-Year 2020,*The company does not have any non-GAAP adjustments to revenue. | **EPS guidance for 2020 assumes a share count (assuming dilution) of approximately 2.54 billion shares. | A reconciliation of anticipated 2020 GAAP EPS to non-GAAP EPS and the items excluded from non-GAAP EPS are provided in the table below. | GAAP EPS | | | $4.12 to $4.32 |,V4_ATOMIC_BINDING_NOT_SOURCE_REVIEWED,,,8a49f3816d92de4b643d8cf341a7d51b5f2f5961cb50e7e4a95162e2d3941b23,PENDING,,,
SG4-0040,MRK,0000310158,0001104659-20-051922,2020-04-28T10:53:01.000Z,tm2016917d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465920051922/tm2016917d1_ex99-1.htm,b3297489f3aac653e84196c89fed5808ea50778895886252ed8cfe0f578342dd,EPS,FY2020,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,5.17,5.37,5.27,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,29,3,3,Non-GAAP EPS that excludes items listed below2,Full-Year 2020 | $4.12 to $4.32 | 1.05,*The company does not have any non-GAAP adjustments to revenue. | **EPS guidance for 2020 assumes a share count (assuming dilution) of approximately 2.54 billion shares. | A reconciliation of anticipated 2020 GAAP EPS to non-GAAP EPS and the items excluded from non-GAAP EPS are provided in the table below. | Non-GAAP EPS that excludes items listed below2 | | | $5.17 to $5.37 |,V4_ATOMIC_BINDING_NOT_SOURCE_REVIEWED,,,8a49f3816d92de4b643d8cf341a7d51b5f2f5961cb50e7e4a95162e2d3941b23,PENDING,,,
SG4-0041,VRT,0001674101,0000950142-23-002855,2023-11-29T14:10:37.000Z,eh230424978_ex9901.htm,https://www.sec.gov/Archives/edgar/data/1674101/000095014223002855/eh230424978_ex9901.htm,ff763b8c42cc5c42b5fcf56e77372965ab0bb07d61c97bc2915e9f91ac69874f,EPS,FY2023,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,1.72,1.76,1.74,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,4,5,1,Adjusted diluted EPS(1),"Current Full Year 2023 Guidance(3) | $6,875M - $6,895M | 21.9% - 22.3% | $1,035M - $1,045M | 15.0% - 15.2%","Page 1 of 4 | on December 27, 2023 to shareholders of record of Class A common stock at the close of business on December 11, 2023. | The company has increased 2023 financial guidance as it continues to see strong market demand for its critical digital infrastructure products and services. | Adjusted diluted EPS(1) | $1.72 - $1.76 | | $1.69 - $1.73",V4_ATOMIC_BINDING_NOT_SOURCE_REVIEWED,,,8e1ff72ec2c3a015e1c3c3c5c705c8dd0e87b1c307c5388cca458267fd5f9b0c,PENDING,,,
