ticker,episode_id,signal_date,last_observed_session,signal_price,extension_votes,weekly_rsi_14,high_52w_proximity,return_26w,close_to_sma200,path_label,mae_126d,mfe_126d,terminal_return_126d,low_before_high,recovered_after_low,time_to_low_sessions,time_to_high_sessions,outcome_end
AAPL,AAPL-R001,2012-08-17,2012-08-17,19.48475456,2,72.56916832535673,,0.2962896268730568,,STRUCTURAL_BREAK,-0.3181882297212779,0.08330328950266241,-0.30457980888212943,False,False,108,22,2013-02-21
AAPL,AAPL-R002,2013-10-25,2013-10-25,16.18917465,2,63.973714490146676,0.9158742038735234,0.27741369635764346,1.1642187160637074,CONTINUATION,-0.044227472708128546,0.1429308454585112,0.13954515834443715,True,True,65,125,2014-04-29
AAPL,AAPL-R003,2014-05-02,2014-05-02,18.45606995,2,67.19816346960731,1.0,0.15302494194221872,1.1523220361602025,CONTINUATION,-0.006361008617655317,0.2814054050548287,0.27710747975356487,True,True,5,125,2014-10-30
AAPL,AAPL-R004,2015-01-30,2015-01-30,25.92523193,3,62.94241532466709,0.9851171605374087,0.23013977702466182,1.1779554966161,CONTINUATION,0.012546820829926641,0.14048201458076592,0.04376400809309944,True,True,1,78,2015-07-31
AAPL,AAPL-R005,2015-07-17,2015-07-17,28.91586113,2,59.61864317170192,0.9779688887743749,0.2329004047039318,1.0902816897358556,STRUCTURAL_BREAK,-0.24933413006745886,0.01890161484531938,-0.24404173295322507,False,False,120,1,2016-01-15
AAPL,AAPL-R006,2016-10-14,2016-10-14,26.9234848,2,65.08189355074663,0.9882116725161385,0.08317962447836802,1.1573346232059343,TEMPORARY_PULLBACK,-0.09672052185458546,0.24240595221908268,0.2117684899393113,True,True,21,117,2017-04-18
AAPL,AAPL-R007,2016-12-16,2016-12-16,26.67983055,2,60.698625815308986,0.9909501221030643,0.22938117571034033,1.10731839760638,CONTINUATION,-0.0012936165368560015,0.35745377363350617,0.26101423983744176,True,True,9,100,2017-06-20
AAPL,AAPL-R008,2017-07-14,2017-07-14,34.57863998,2,61.961478776737664,0.9547722585236881,0.2626346580115939,1.1406738782287904,CONTINUATION,-0.0020796321093482506,0.19715898699148338,0.19715898699148338,True,True,11,126,2018-01-12
AAPL,AAPL-R009,2017-11-03,2017-11-03,40.17873764,3,71.72686407494788,1.0,0.16737497155472814,1.1668612181592084,TEMPORARY_PULLBACK,-0.097346480495349,0.08684130201558005,0.08684130201558005,True,True,65,126,2018-05-08
AAPL,AAPL-R010,2018-08-03,2018-08-03,49.00570297,4,71.3537340842725,1.0,0.3061886651850869,1.180883370150069,STRUCTURAL_BREAK,-0.3115700860233982,0.11968776682156013,-0.15668664675008537,False,False,104,42,2019-02-05
