universe_role,event_kind,horizon_sessions,episodes,mean_return,median_return,positive_fraction,median_mfe,median_mae
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,21,3517,0.02364813339673133,0.0197935627287149,0.601933466022178,0.0639393991952588,-0.0484908750203902
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,63,3446,0.06419521251048126,0.057662525191393546,0.665118978525827,0.12451511726577445,-0.0772834107954126
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,126,3382,0.10649336503090281,0.08526217999133755,0.6797752808988764,0.1838877457617358,-0.1007475576416567
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_RUSH,21,5810,0.008069412827549836,0.0087866319568875,0.5614457831325301,0.04331230553143555,-0.0388678144126154
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_RUSH,63,5720,0.03072817838372545,0.0277930509315097,0.6020979020979021,0.0885568531987828,-0.06713024804700085
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_RUSH,126,5557,0.06945679917409248,0.0582633274957395,0.6384739967608422,0.1416568917134162,-0.0893755937822442
INDEPENDENT_CURRENT_CONSTITUENTS,TRANSITION_BREAKING,21,3865,0.019326129291258706,0.0167001763336152,0.6041397153945667,0.0562759881014311,-0.0407903294433525
INDEPENDENT_CURRENT_CONSTITUENTS,TRANSITION_BREAKING,63,3811,0.04925628741404796,0.0413835456465938,0.6397271057465233,0.1095842537523803,-0.0658711794635491
INDEPENDENT_CURRENT_CONSTITUENTS,TRANSITION_BREAKING,126,3693,0.09194285053432176,0.0715240833462609,0.6793934470620092,0.1638958410472952,-0.0917353764663723
INDEPENDENT_CURRENT_CONSTITUENTS,TRANSITION_COOLING,21,939,0.012280746742225825,0.0103099141637121,0.5601703940362087,0.0488680404345795,-0.0440647059041208
INDEPENDENT_CURRENT_CONSTITUENTS,TRANSITION_COOLING,63,922,0.0377085023898514,0.03591675980545775,0.6127982646420824,0.0978578246380049,-0.07394313289314405
INDEPENDENT_CURRENT_CONSTITUENTS,TRANSITION_COOLING,126,901,0.08144594297891425,0.0599503103602638,0.6392896781354052,0.1511527028447101,-0.0922991985046406
INDEPENDENT_CURRENT_CONSTITUENTS,TRANSITION_RECOVERING,21,6698,0.010109188540647386,0.0101409091383851,0.5680800238877277,0.04897334771171895,-0.039763654245017196
INDEPENDENT_CURRENT_CONSTITUENTS,TRANSITION_RECOVERING,63,6618,0.033121580960196365,0.03014277534992565,0.6012390450287096,0.0942447665374994,-0.0689396182957811
INDEPENDENT_CURRENT_CONSTITUENTS,TRANSITION_RECOVERING,126,6510,0.07255374250066943,0.0606908271080497,0.6400921658986175,0.1495019981878336,-0.09440720869889646
PRIMARY,STAGE_ENTRY_FLEE,21,500,0.025727626595035875,0.0198734445500171,0.604,0.059385561106799295,-0.041938387310941794
PRIMARY,STAGE_ENTRY_FLEE,63,489,0.06752814512226678,0.048947690488305,0.6768916155419223,0.1152674806493463,-0.0641662653884835
PRIMARY,STAGE_ENTRY_FLEE,126,477,0.11095938417936657,0.0943652684815961,0.7044025157232704,0.1784721057033695,-0.0843554397023428
PRIMARY,STAGE_ENTRY_RUSH,21,796,0.012944704059548132,0.0103508310190235,0.5778894472361809,0.04279634430734645,-0.0364891056699203
PRIMARY,STAGE_ENTRY_RUSH,63,790,0.04179863223025245,0.0347329147037439,0.6367088607594936,0.09451165117922505,-0.05844053829110695
PRIMARY,STAGE_ENTRY_RUSH,126,771,0.09073705226430573,0.0685089369025475,0.669260700389105,0.1426479912892366,-0.0826967246936433
PRIMARY,TRANSITION_BREAKING,21,536,0.019875626428369833,0.01288926689633225,0.5988805970149254,0.05384497655106655,-0.03852910813406195
PRIMARY,TRANSITION_BREAKING,63,526,0.05644526038879203,0.05326233813487555,0.6787072243346007,0.11065826863524494,-0.06154129304847475
PRIMARY,TRANSITION_BREAKING,126,517,0.11579210855363556,0.0960148859458327,0.7214700193423598,0.1679360778347589,-0.078437556539935
PRIMARY,TRANSITION_COOLING,21,129,0.012110139346533572,0.0097515374886012,0.5581395348837209,0.0487569041434337,-0.0380181785870263
PRIMARY,TRANSITION_COOLING,63,126,0.0515348539164246,0.04995435450986625,0.626984126984127,0.0956440621969304,-0.06982147325720675
PRIMARY,TRANSITION_COOLING,126,124,0.11081483731696802,0.08908455172187885,0.7419354838709677,0.1583822290752221,-0.08374170320338405
PRIMARY,TRANSITION_RECOVERING,21,890,0.014047941510653993,0.0121779511160381,0.5898876404494382,0.04808871141765805,-0.032568334493269444
PRIMARY,TRANSITION_RECOVERING,63,874,0.03907036488919157,0.03079932040232555,0.6178489702517163,0.08628872634429745,-0.0568422276546253
PRIMARY,TRANSITION_RECOVERING,126,858,0.07723432663536543,0.0590900086710084,0.6631701631701632,0.13904651317224753,-0.0848261659324373
