atomic_fact_id,ticker,cik,accession_number,accepted_at,source_url,source_sha256,source_path,source_kind,block_path,sentence_index,sentence_sha256,topic,topic_matches,cue_families,cue_matches,negated_cue_present,comparison_present
e1546e8fc9615bc5f677316b7664fe894b6178d5165da143b79c3766a6617c50,SHW,0000089800,0001193125-21-307190,2021-10-26T11:16:00.000Z,https://www.sec.gov/Archives/edgar/data/89800/000119312521307190/d224900dex99.htm,adbbb28a0d720d350c1165c4d9695b2eae7060267d252447afd8e84f43ba2598,raw/adbbb28a0d720d350c1165c4d9695b2eae7060267d252447afd8e84f43ba2598.gz,HTML_P,p:75,1,9ab17c3b8e31331d6657db822fdb4750c499964285be7f6d46fdd192fa6a00d1,LIQUIDITY_OR_FINANCING,"[""cash generation""]","[""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""increase"",""start"":43,""end"":51,""negated"":false}]",False,False
00566bc382a896487ad3b163615e0b3cf492da0810eeeee234b3b04b6cc87fd8,SHW,0000089800,0001193125-22-009295,2022-01-14T12:07:55.000Z,https://www.sec.gov/Archives/edgar/data/89800/000119312522009295/d293301dex99.htm,9c0141c2231ad1273ca0515c6614afd9db2b7126196479e171f7ea2055aa22ea,raw/9c0141c2231ad1273ca0515c6614afd9db2b7126196479e171f7ea2055aa22ea.gz,HTML_P,p:26,0,776049f45261ff8fafbd60de5d80517acfe3c4a25d9eb178ae6171044e880293,DEMAND,"[""demand""]","[""EXPECTATION""]","[{""family"":""EXPECTATION"",""value"":""guidance"",""start"":56,""end"":64,""negated"":false},{""family"":""EXPECTATION"",""value"":""expected"",""start"":131,""end"":139,""negated"":false}]",False,True
b305ba2cd7b6982fb1001442f0311adf1cbcbded7059d712c84b3573720ea646,SHW,0000089800,0001193125-22-009295,2022-01-14T12:07:55.000Z,https://www.sec.gov/Archives/edgar/data/89800/000119312522009295/d293301dex99.htm,9c0141c2231ad1273ca0515c6614afd9db2b7126196479e171f7ea2055aa22ea,raw/9c0141c2231ad1273ca0515c6614afd9db2b7126196479e171f7ea2055aa22ea.gz,HTML_P,p:26,2,083a297e1a44c98a86b8bee30575c18743a6a8d5832366ca9383a2cb64b91fd2,MANAGEMENT_UNCERTAINTY,"[""headwinds""]","[""EXPECTATION"",""UNCERTAINTY""]","[{""family"":""EXPECTATION"",""value"":""guidance"",""start"":141,""end"":149,""negated"":false},{""family"":""EXPECTATION"",""value"":""expected"",""start"":169,""end"":177,""negated"":false},{""family"":""UNCERTAINTY"",""value"":""headwinds"",""start"":243,""end"":252,""negated"":false}]",False,True
f712ed6516ef647b08de15106111e689db45f8a2489c28891c3f84ddd9a6accb,SHW,0000089800,0001193125-22-009295,2022-01-14T12:07:55.000Z,https://www.sec.gov/Archives/edgar/data/89800/000119312522009295/d293301dex99.htm,9c0141c2231ad1273ca0515c6614afd9db2b7126196479e171f7ea2055aa22ea,raw/9c0141c2231ad1273ca0515c6614afd9db2b7126196479e171f7ea2055aa22ea.gz,HTML_P,p:29,0,f716ecc0d06bdd68b65990a451b31e1547ceb8316e2cddb62d6e481010d726a4,DEMAND,"[""demand""]","[""EXPECTATION""]","[{""family"":""EXPECTATION"",""value"":""expect"",""start"":91,""end"":97,""negated"":false}]",False,False
5fc30bf514647fc71fc54ea3c4314a250e3a1530e92d6780de171345c7858f78,GS,0000886982,0001193125-22-010560,2022-01-18T12:34:07.000Z,https://www.sec.gov/Archives/edgar/data/886982/000119312522010560/d284129dex991.htm,e091120d1185c274b6a2435f2becc9ce2b273f1fa980c55097c3e3b119e40dde,raw/e091120d1185c274b6a2435f2becc9ce2b273f1fa980c55097c3e3b119e40dde.gz,HTML_P,p:519,2,4b1f308ef41033caff4fd3b8e47f91bef10de2fc5042b40b8844dd1895c53ffc,MANAGEMENT_UNCERTAINTY,"[""volatility""]","[""CONTRACTION"",""UNCERTAINTY""]","[{""family"":""CONTRACTION"",""value"":""decline"",""start"":90,""end"":97,""negated"":false},{""family"":""UNCERTAINTY"",""value"":""volatility"",""start"":170,""end"":180,""negated"":false}]",False,False
8e2fb24e1bd0f1bd726701815b8343efe9209279caa274450af8239a3653411a,PLD,0001045609,0001564590-22-001502,2022-01-19T13:06:01.000Z,https://www.sec.gov/Archives/edgar/data/1045609/000156459022001502/pld-ex992_6.htm,f8f94379b53327fbd2961e17dab28e27fe77598b4f0bc5068c1ba40a006fa703,raw/f8f94379b53327fbd2961e17dab28e27fe77598b4f0bc5068c1ba40a006fa703.gz,HTML_P,p:98,1,608bf0334566e2283863ee322be97f8447589fcd4965d24d83bbe811f5e6fb8b,LIQUIDITY_OR_FINANCING,"[""liquidity""]","[""STABILITY""]","[{""family"":""STABILITY"",""value"":""maintained"",""start"":12,""end"":22,""negated"":false}]",False,False
422c7f5f75cdb8fc289470cd9b624c96c661160d9f09aa2ce36742db24ab92d1,UNP,0000100885,0001437749-22-001269,2022-01-20T13:04:36.000Z,https://www.sec.gov/Archives/edgar/data/100885/000143774922001269/ex_318217.htm,d126e24424ff57471312a993760cc453c55abb0631903b066cee81105521d23e,raw/d126e24424ff57471312a993760cc453c55abb0631903b066cee81105521d23e.gz,HTML_P,p:8,4,6c35e844784dfed4b6f0aa0af93d2e5448fe307c602f9ba3ec53a06a9a13d4a2,MANAGEMENT_UNCERTAINTY,"[""uncertainty""]","[""UNCERTAINTY""]","[{""family"":""UNCERTAINTY"",""value"":""uncertainty"",""start"":9,""end"":20,""negated"":false}]",False,True
64a0fd39b5e6948289350cc183841343ab5c23b78d447f3d6d3e4c880709063f,UNP,0000100885,0001437749-22-001269,2022-01-20T13:04:36.000Z,https://www.sec.gov/Archives/edgar/data/100885/000143774922001269/ex_318217.htm,d126e24424ff57471312a993760cc453c55abb0631903b066cee81105521d23e,raw/d126e24424ff57471312a993760cc453c55abb0631903b066cee81105521d23e.gz,HTML_P,p:52,0,b531ae7bb9c158e2bb1b0f4e3de9d53a9d9464313395c9288b06d43dc8eae049,MARGIN,"[""margin""]","[""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""growth"",""start"":27,""end"":33,""negated"":false}]",False,False
eb4ed70ca31b297ec8b09ce019ca6699ef9ea8d95a8176813869c059c878ec7c,UNP,0000100885,0001437749-22-001269,2022-01-20T13:04:36.000Z,https://www.sec.gov/Archives/edgar/data/100885/000143774922001269/ex_318217.htm,d126e24424ff57471312a993760cc453c55abb0631903b066cee81105521d23e,raw/d126e24424ff57471312a993760cc453c55abb0631903b066cee81105521d23e.gz,HTML_P,p:8,4,6c35e844784dfed4b6f0aa0af93d2e5448fe307c602f9ba3ec53a06a9a13d4a2,DEMAND,"[""demand""]","[""EXPANSION"",""UNCERTAINTY""]","[{""family"":""EXPANSION"",""value"":""growth"",""start"":191,""end"":197,""negated"":false},{""family"":""UNCERTAINTY"",""value"":""uncertainty"",""start"":9,""end"":20,""negated"":false}]",False,True
3862f3d3e769f286fff6a706080de40c14e52706ef2e5410a9a0b3897e5bbc7a,ORCL,0001341439,0001564590-22-023099,2022-06-13T20:31:53.000Z,https://www.sec.gov/Archives/edgar/data/1341439/000156459022023099/orcl-ex991_6.htm,fde42dc82aafc76e58df528dfdfed6cfb385498924302314e2e3308e2fa80ecc,raw/fde42dc82aafc76e58df528dfdfed6cfb385498924302314e2e3308e2fa80ecc.gz,HTML_P,p:57,2,9b574a252c0131e548bfb4704828f0aec45c047e28d4319a233c44261895d6bb,DEMAND,"[""demand""]","[""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""increase"",""start"":41,""end"":49,""negated"":false},{""family"":""EXPANSION"",""value"":""grew"",""start"":103,""end"":107,""negated"":false}]",False,False
