ticker,cik,eligible_filings
ABNB,0001559720,22
AMTM,0002011286,9
APP,0001751008,27
CEG,0001868275,28
COIN,0001679788,28
CRWD,0001535527,32
DASH,0001792789,26
DDOG,0001561550,27
ECHO,0001415404,11
ERIE,0000922621,42
GEHC,0001932393,21
GEV,0001996810,10
KVUE,0001944048,17
MBC,0001941365,34
MRVL,0001835632,27
OGN,0001821825,26
PLTR,0001321655,27
RHI,0000315213,40
SOLV,0001964738,13
TKO,0001973266,22
VLTO,0001967680,15
VNT,0001786842,30
WSM,0000719955,40
