ticker,cik,metric,fiscal_period,accounting_basis,metric_subtype,unit,current_accession,accepted_at,fold_id,direction,midpoint_delta_ratio,sector_etf,price_snapshot,execution_session,outcome_session,stock_return_126d,sector_return_126d,sector_residual_return_126d,spy_return_126d,spy_residual_return_126d,forward_max_drawdown_126d
WST,0000105770,EPS,FY2018,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000105770-18-000035,2018-10-25T13:55:48+00:00,F02,NON_LOWER,0,XLV,yf-independent-current-sp500-20260721,2018-10-26,2019-04-30,0.207685949628,0.0273868266072,0.180299123021,0.117025777004,0.0906601726237,-0.167859554042
MRK,0000310158,EPS,FY2012,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-12-051605,2012-07-27T11:06:01+00:00,F01,NON_LOWER,0,XLV,yf-long14-actions-sector-20260721,2012-07-30,2013-01-30,-0.00682336690997,0.122287466911,-0.129110833821,0.096889145716,-0.103712512626,-0.144499386373
MRK,0000310158,EPS,FY2012,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-12-051605,2012-07-27T11:06:01+00:00,F01,NON_LOWER,0,XLV,yf-long14-actions-sector-20260721,2012-07-30,2013-01-30,-0.00682336690997,0.122287466911,-0.129110833821,0.096889145716,-0.103712512626,-0.144499386373
MRK,0000310158,EPS,FY2020,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-20-088675,2020-07-31T12:37:57+00:00,F03,NON_LOWER,0.10308056872,XLV,yf-long14-actions-sector-20260721,2020-08-03,2021-02-01,-0.0439683095016,0.0962157588221,-0.140184068324,0.155415624397,-0.199383933899,-0.128528798023
MRK,0000310158,EPS,FY2020,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-20-118364,2020-10-27T10:50:25+00:00,F03,LOWER,-0.0118152524168,XLV,yf-long14-actions-sector-20260721,2020-10-28,2021-04-29,-0.0287263459719,0.177413527466,-0.206139873438,0.274411905811,-0.303138251783,-0.150941327788
MRK,0000310158,EPS,FY2020,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-20-088675,2020-07-31T12:37:57+00:00,F03,NON_LOWER,0.0825426944972,XLV,yf-long14-actions-sector-20260721,2020-08-03,2021-02-01,-0.0439683095016,0.0962157588221,-0.140184068324,0.155415624397,-0.199383933899,-0.128528798023
MRK,0000310158,EPS,FY2020,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-20-118364,2020-10-27T10:50:25+00:00,F03,NON_LOWER,0.0446976336547,XLV,yf-long14-actions-sector-20260721,2020-10-28,2021-04-29,-0.0287263459719,0.177413527466,-0.206139873438,0.274411905811,-0.303138251783,-0.150941327788
MRK,0000310158,EPS,FY2021,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-21-056877,2021-04-29T10:38:30+00:00,F03,LOWER,-0.0836298932384,XLV,yf-long14-actions-sector-20260721,2021-04-30,2021-10-27,0.181854364392,0.0923835861242,0.0894707782682,0.0939925143005,0.0878618500918,-0.0825526544408
MRK,0000310158,EPS,FY2021,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-21-097239,2021-07-29T11:01:02+00:00,F03,LOWER,-0.166990291262,XLV,yf-long14-actions-sector-20260721,2021-07-30,2022-01-27,0.0642307205411,-0.0227319305807,0.0869626511218,-0.00860566575944,0.0728363863005,-0.201679013641
MRK,0000310158,EPS,FY2021,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-21-130675,2021-10-28T10:40:29+00:00,F03,NON_LOWER,0.10372960373,XLV,yf-long14-actions-sector-20260721,2021-10-29,2022-04-29,0.0443730549106,-0.00877400886801,0.0531470637786,-0.0902409647395,0.13461401965,-0.201679013641
MRK,0000310158,EPS,FY2021,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-21-056877,2021-04-29T10:38:30+00:00,F03,NON_LOWER,0,XLV,yf-long14-actions-sector-20260721,2021-04-30,2021-10-27,0.181854364392,0.0923835861242,0.0894707782682,0.0939925143005,0.0878618500918,-0.0825526544408
MRK,0000310158,EPS,FY2021,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-21-097239,2021-07-29T11:01:02+00:00,F03,LOWER,-0.161094224924,XLV,yf-long14-actions-sector-20260721,2021-07-30,2022-01-27,0.0642307205411,-0.0227319305807,0.0869626511218,-0.00860566575944,0.0728363863005,-0.201679013641
MRK,0000310158,EPS,FY2021,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-21-130675,2021-10-28T10:40:29+00:00,F03,NON_LOWER,0.0280797101449,XLV,yf-long14-actions-sector-20260721,2021-10-29,2022-04-29,0.0443730549106,-0.00877400886801,0.0531470637786,-0.0902409647395,0.13461401965,-0.201679013641
MRK,0000310158,EPS,FY2022,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-22-051588,2022-04-28T10:35:40+00:00,F03,NON_LOWER,0.0214224507284,XLV,yf-long14-actions-sector-20260721,2022-04-29,2022-10-27,0.143322069132,-0.00487019310502,0.148192262237,-0.0953772649595,0.238699334092,-0.102659513622
MRK,0000310158,EPS,FY2022,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-22-083410,2022-07-28T10:36:26+00:00,F03,LOWER,-0.00335570469799,XLV,yf-long14-actions-sector-20260721,2022-07-29,2023-01-27,0.187092892768,0.0133846151414,0.173708277627,0.00401634488867,0.183076547879,-0.0823757241983
