policy_id,fold_id,ticker,one_way_cost_bps,activated,executed_sell_count,executed_reentry_count,completed_cycle_count,positive_completed_cycle_count,completed_cycle_share_delta,completed_cycle_ticker,open_sale_count,open_sale_cash,unmatched_buy_cost,cagr,excess_cagr,max_drawdown,mdd_improvement,sortino,calmar,upside_capture,downside_capture,average_exposure,turnover,terminal_wealth_delta,terminal_share_delta,final_equity,buy_hold_final_equity,keep_cash_terminal_wealth_delta,keep_cash_final_equity
GIVEBACK_BASELINE,F01,AAPL,10,False,0,0,0,0,0.0,False,0,0.0,0.0,0.44055279689589644,0.0,-0.10145670257935879,0.0,3.267789984937751,4.342273952293086,1.0,1.0,1.0000000000000002,0.8137696283245347,0.0,0.0,14405.527968958959,14405.527968958959,0.0,14405.527968958959
GIVEBACK_BASELINE,F01,AAPL,25,False,0,0,0,0,0.0,False,0,0.0,0.0,0.4383954736539297,0.0,-0.10145670257935824,0.0,3.24718006590284,4.321010465632095,1.0,1.0,1.0,0.814379650534673,0.0,0.0,14383.954736539286,14383.954736539286,0.0,14383.954736539286
GIVEBACK_BASELINE,F01,AAPL,50,False,0,0,0,0,0.0,False,0,0.0,0.0,0.43481068882008644,0.0,-0.10145670257935824,0.0,3.2107010790034414,4.285677316192912,1.0,1.0,1.0000000000000002,0.8153963542182371,0.0,0.0,14348.106888200855,14348.106888200855,0.0,14348.106888200855
HERD_GIVEBACK_S1,F01,AAPL,10,False,0,0,0,0,0.0,False,0,0.0,0.0,0.44055279689589644,0.0,-0.10145670257935879,0.0,3.267789984937751,4.342273952293086,1.0,1.0,1.0000000000000002,0.8137696283245347,0.0,0.0,14405.527968958959,14405.527968958959,0.0,14405.527968958959
HERD_GIVEBACK_S1,F01,AAPL,25,False,0,0,0,0,0.0,False,0,0.0,0.0,0.4383954736539297,0.0,-0.10145670257935824,0.0,3.24718006590284,4.321010465632095,1.0,1.0,1.0,0.814379650534673,0.0,0.0,14383.954736539286,14383.954736539286,0.0,14383.954736539286
HERD_GIVEBACK_S1,F01,AAPL,50,False,0,0,0,0,0.0,False,0,0.0,0.0,0.43481068882008644,0.0,-0.10145670257935824,0.0,3.2107010790034414,4.285677316192912,1.0,1.0,1.0000000000000002,0.8153963542182371,0.0,0.0,14348.106888200855,14348.106888200855,0.0,14348.106888200855
GIVEBACK_BASELINE,F01,ABBV,10,False,0,0,0,0,0.0,False,0,0.0,0.0,0.09125414125719655,0.0,-0.1646490577030283,0.0,0.7479010784232389,0.5542342150647982,1.0,1.0,1.0000000000000002,1.018257515448026,0.0,0.0,10912.541412571965,10912.541412571965,0.0,10912.541412571965
GIVEBACK_BASELINE,F01,ABBV,25,False,0,0,0,0,0.0,False,0,0.0,0.0,0.08961991589114415,0.0,-0.1646490577030283,0.0,0.7376324897127596,0.544308708117774,1.0,1.0,1.0,1.0190208269288714,0.0,0.0,10896.199158911426,10896.199158911426,0.0,10896.199158911426
GIVEBACK_BASELINE,F01,ABBV,50,False,0,0,0,0,0.0,False,0,0.0,0.0,0.08690435329331292,0.0,-0.16464905770302896,0.0,0.7201626653004592,0.5278156735646728,1.0,1.0,1.0,1.0202930127302807,0.0,0.0,10869.043532933143,10869.043532933143,0.0,10869.043532933143
HERD_GIVEBACK_S1,F01,ABBV,10,False,0,0,0,0,0.0,False,0,0.0,0.0,0.09125414125719655,0.0,-0.1646490577030283,0.0,0.7479010784232389,0.5542342150647982,1.0,1.0,1.0000000000000002,1.018257515448026,0.0,0.0,10912.541412571965,10912.541412571965,0.0,10912.541412571965
HERD_GIVEBACK_S1,F01,ABBV,25,False,0,0,0,0,0.0,False,0,0.0,0.0,0.08961991589114415,0.0,-0.1646490577030283,0.0,0.7376324897127596,0.544308708117774,1.0,1.0,1.0,1.0190208269288714,0.0,0.0,10896.199158911426,10896.199158911426,0.0,10896.199158911426
HERD_GIVEBACK_S1,F01,ABBV,50,False,0,0,0,0,0.0,False,0,0.0,0.0,0.08690435329331292,0.0,-0.16464905770302896,0.0,0.7201626653004592,0.5278156735646728,1.0,1.0,1.0,1.0202930127302807,0.0,0.0,10869.043532933143,10869.043532933143,0.0,10869.043532933143
