accession_number,cik,filing_date,prior_extraction_status,extraction_method,candidate_symbols,source_sha256,review_role,development_regression_status
0001193125-16-617925,0001109357,2016-06-09,NO_CANDIDATE_FOUND,NONE,,c23b751c459083e75f9d99be11037bdec8b46725d9345313ff0cf0165eb8c873,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-16-127348,0001001250,2016-06-15,NO_CANDIDATE_FOUND,NONE,,8ac8c72e4757404f45bc6b7b3dc20575838b0dbb9add50f39682a7579a99feb9,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-16-130122,0001137789,2016-06-29,NO_CANDIDATE_FOUND,NONE,,14234b4d1902983cbd5f92dbafa98dc78a33cb32dcce4d0c61bbf9e373829374,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000723125-16-000198,0000723125,2016-06-30,NO_CANDIDATE_FOUND,NONE,,4907f6f34c1f9996273dbb33ee7bd0e1efa3026217dea18f7e63f28f948b4d96,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001274494-16-000082,0001274494,2016-07-05,NO_CANDIDATE_FOUND,NONE,,03f3f6840a2bef92a97b88bb81feaec79c49be73ab8ed3b9a0cac43f1e694b30,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-16-131996,0001137789,2016-07-11,NO_CANDIDATE_FOUND,NONE,,b7296e4837a4f542ca7449cb1f70d9a3e4110df4fb72cf40c05306fe03b5b4ba,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001299933-16-002755,0000040704,2016-07-21,NO_CANDIDATE_FOUND,NONE,,044b4f7b4358b594d139c51b5bc8f5a5da05a2c2db424b7f3dff1e77e2aec296,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001031296-16-000095,0001031296,2016-07-22,NO_CANDIDATE_FOUND,NONE,,0cd8de7a20e5aef04c0e0e2c08021d3f6712d95cf6f61bfec6a22fba629373a9,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001171843-16-011295,0000008670,2016-07-28,NO_CANDIDATE_FOUND,NONE,,3e4dae829314cdae49fe27786dcb416b043ed0f7bda9df2b12b8ecedb02dbd1d,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-16-684126,0000858877,2016-08-17,NO_CANDIDATE_FOUND,NONE,,b368b79c358abbf890390938320fcec92d4717b0299b37220513f9c72ca74fe3,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-16-142094,0000217346,2016-08-30,NO_CANDIDATE_FOUND,NONE,,3be44393c101d1fd2a2f0a7818f91db1cc50e40aaa08d7b4f23ca4376fc6474c,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001521332-16-000119,0001521332,2016-08-31,NO_CANDIDATE_FOUND,NONE,,ec72322ea6c556291acb1de31d7e7e017e52f3a276fdd7e623dbbd3e45a76b16,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-16-707902,0000035527,2016-09-13,NO_CANDIDATE_FOUND,NONE,,65624473d8e9343a92d38dbb6215d3977d6f638d23e96a0cde8aab71b4c74bd5,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-16-713972,0000877212,2016-09-20,NO_CANDIDATE_FOUND,NONE,,a9bab0824a88f8300ab198e4a0193f9633aa5b2657573f2731952bdbbae640cc,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-16-715958,0000898293,2016-09-21,NO_CANDIDATE_FOUND,NONE,,455b7ae8789a24bcd2cf6cc3b391d306501c68a0cfeb607042d8909c05fff595,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-16-718442,0001097864,2016-09-23,NO_CANDIDATE_FOUND,NONE,,e0b9aff2b855d463485af4370f530d50ffdc60213f9c2267b477fe8abdefef45,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000086521-16-000132,0001032208,2016-09-30,NO_CANDIDATE_FOUND,NONE,,85ee73ad51677bc5751f20bfd616b919b861b8385606e74b50ae256f4eadf13a,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-16-731087,0000788784,2016-10-05,NO_CANDIDATE_FOUND,NONE,,f1d2007588ea1cc082cad04d82d08cd37568e9564b2554b1d4cec4d1fcb306be,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-16-149114,0000077476,2016-10-06,NO_CANDIDATE_FOUND,NONE,,a50e49b6fc98858a9c2c0f1aa3a10321433763cf27ebcc48cc8876339f03b023,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-16-731756,0000707549,2016-10-06,NO_CANDIDATE_FOUND,NONE,,8cbd2f1279156bedaf5b2560f2ac2b2ab83d0aa9ca9dbb713cb7182e0920f69c,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-16-150081,0000047217,2016-10-13,NO_CANDIDATE_FOUND,NONE,,03aa62b88ccc401bd7c7c0c83eaf7e40900f33bd604028c63615bc7dfecc9d0d,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001326160-16-000401,0001326160,2016-10-13,NO_CANDIDATE_FOUND,NONE,,6544643d96d0eee623d9941a61dcf3aaacbc01ad815f7beea904ce51449f1533,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000875320-16-000098,0000875320,2016-10-17,NO_CANDIDATE_FOUND,NONE,,f2f91aa08d5066336581cd37909e4e7d4b9cb2b95eec6793bd4c85bd59a31610,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-16-151034,0000217346,2016-10-20,NO_CANDIDATE_FOUND,NONE,,ae51aab80d1182c9eff6a3dd24cfa5c863168f09ca2817fe101cf5e1e436e92f,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-16-755300,0000877212,2016-11-01,NO_CANDIDATE_FOUND,NONE,,835a16409dfd14ad10c0732ec77cf0ad74f7a3d72a64bf59f989a2c2a1846971,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-16-758809,0001002047,2016-11-03,NO_CANDIDATE_FOUND,NONE,,067dd6b1143e87bd87b03cd17791c6f696b1dfc0fd3d36103db4cf89214d9f71,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001274494-16-000103,0001274494,2016-11-16,NO_CANDIDATE_FOUND,NONE,,fbda44d65a80c8b1af9311ce337b42c054bf112634d1eb18d17ce0cf7c886276,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001299933-16-003269,0000040704,2016-12-05,NO_CANDIDATE_FOUND,NONE,,9163d23cc5728641228cbdbc7967bddd5be5431db11db532b4b39c044fd393a5,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-16-785958,0000087347,2016-12-06,NO_CANDIDATE_FOUND,NONE,,dc53cd49e38a3a8b8079155803170a980873dd8c1e497139c5b2b399b4239bc9,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
