ticker,episode_id,signal_date,target_label,RESIDUAL_RETURN_20D,RESIDUAL_VOLATILITY_RATIO_20_63
ADP,ADP-V61-004,2019-04-15,REENTRY_WORTHWHILE,0.012584539320149905,0.777911879532637
ADP,ADP-V61-005,2021-07-07,HOLD_WINNER,0.0050389774184146155,0.5151073596101748
ADP,ADP-V61-006,2021-11-16,REENTRY_WORTHWHILE,0.04138912690115745,1.0942998483989532
ADP,ADP-V61-007,2024-11-22,REENTRY_WORTHWHILE,0.005473210708226088,1.2852022381065888
ADSK,ADSK-V61-001,2016-10-13,HOLD_WINNER,0.023589587440282334,0.6139543753500725
ADSK,ADSK-V61-002,2016-12-13,REENTRY_WORTHWHILE,-0.054332108782249595,1.54552811585096
ADSK,ADSK-V61-003,2018-09-25,REENTRY_WORTHWHILE,0.005078957111953775,0.5108867037684768
ADSK,ADSK-V61-004,2019-05-03,REENTRY_WORTHWHILE,-0.005064721087594955,1.0533421183180496
ADSK,ADSK-V61-005,2020-02-03,REENTRY_WORTHWHILE,-0.004212627662283204,0.6726636494030832
ADSK,ADSK-V61-008,2021-08-24,REENTRY_WORTHWHILE,0.07377403456171625,1.1057627058255453
AEE,AEE-V61-001,2016-03-14,HOLD_WINNER,0.009721352139526402,0.9461282614317554
AEE,AEE-V61-002,2016-06-13,REENTRY_WORTHWHILE,0.041049003022630995,1.1330234153398735
AEE,AEE-V61-003,2017-03-08,HOLD_WINNER,-0.020095750413900382,0.9535272689550198
AEE,AEE-V61-004,2017-06-07,REENTRY_WORTHWHILE,-0.003189952033540099,1.3826142239138994
AEE,AEE-V61-005,2017-08-22,REENTRY_WORTHWHILE,0.027066487148599515,1.025738563215615
AEE,AEE-V61-006,2018-09-10,REENTRY_WORTHWHILE,0.007309659109562895,0.6894357038510397
AEE,AEE-V61-007,2018-12-10,REENTRY_WORTHWHILE,0.018876748692195647,2.4091671079955486
AEE,AEE-V61-008,2019-02-25,HOLD_WINNER,-0.030113067508852898,0.8982580165923268
AEE,AEE-V61-010,2019-09-24,REENTRY_WORTHWHILE,0.012030113265961121,1.7328231454569876
AEE,AEE-V61-011,2020-02-20,REENTRY_WORTHWHILE,0.03263708869567733,0.9626126206541472
