signal_date,ticker,state,horizon_months,outcome_end,forward_return,forward_trough_return,fold_id,group
2022-06-30,UNH,HEALTHY_RUSH,1,2022-07-31,0.0558963567874,-0.0241225972744,F02,CONTROL
2021-10-31,PLD,HEALTHY_RUSH,1,2021-11-30,0.0399418592809,-0.00158672834571,F02,CONTROL
2021-12-31,PLD,EXTENDING_RUSH,1,2022-01-31,-0.0685435418172,-0.117308061539,F02,CONTROL
2022-03-31,PLD,EXHAUSTED_RUSH,1,2022-04-30,-0.00736916424016,-0.00736916424016,F02,TREATMENT
2022-05-31,PLD,BREAKING_RUSH,1,2022-06-30,-0.0704742516975,-0.149435118719,F02,TREATMENT
2021-10-31,MSFT,EXTENDING_RUSH,6,2022-04-30,-0.159873781244,-0.181972775309,F02,CONTROL
2021-10-31,MSFT,EXTENDING_RUSH,1,2021-11-30,-0.00128199864886,-0.00678468641592,F02,CONTROL
2022-01-31,MSFT,BREAKING_RUSH,1,2022-02-28,-0.037211866258,-0.0968887678226,F02,TREATMENT
2021-11-30,SHW,EXTENDING_RUSH,6,2022-05-31,-0.187040308087,-0.293163539633,F02,CONTROL
2021-11-30,NEE,HEALTHY_RUSH,1,2021-12-31,0.0758239354766,0.0122146844831,F02,CONTROL
2022-01-31,NEE,BREAKING_RUSH,1,2022-02-28,0.00746926192848,-0.0742448941343,F02,TREATMENT
2021-11-30,NEE,HEALTHY_RUSH,6,2022-05-31,-0.117968229128,-0.206160078116,F02,CONTROL
2021-11-30,AAPL,HEALTHY_RUSH,6,2022-05-31,-0.0971046583517,-0.166805449837,F02,CONTROL
2021-11-30,AAPL,HEALTHY_RUSH,1,2021-12-31,0.0742286662706,-0.0209317651473,F02,CONTROL
2022-01-31,AAPL,HEALTHY_RUSH,1,2022-02-28,-0.0540658707792,-0.0829961598106,F02,CONTROL
2022-04-30,AAPL,BREAKING_RUSH,1,2022-05-31,-0.0544960825792,-0.127486127334,F02,TREATMENT
2021-11-30,SHW,EXTENDING_RUSH,1,2021-12-31,0.0631565948415,-0.00087528365752,F02,CONTROL
