ticker,cik,month_end,corpus_status,guard_state,deterioration_flags,flag_count,latest_fact_accepted_at,reason,revenue_yoy,net_margin,net_margin_yoy_change,operating_cash_flow_yoy,operating_cash_flow_value,liabilities_to_assets,liabilities_to_assets_yoy_change,entity_type,revenue_growth_acceleration,margin_change_acceleration,operating_cash_flow_growth_change,share_dilution_yoy
AAPL,320193,2013-01-31,PIT_FACTS_READY,PASS,MARGIN_DIRECTION,1,2013-01-24T22:01:37+00:00,,0.1765264498305743,0.2399104784267684,-0.0420483845866345,0.3551120466838977,50856000000.0,0.3505670923258945,-7.214448376219318e-05,GENERAL,,,,0.007173117968188647
AAPL,320193,2013-02-28,PIT_FACTS_READY,PASS,MARGIN_DIRECTION,1,2013-01-24T22:01:37+00:00,,0.1765264498305743,0.2399104784267684,-0.0420483845866345,0.3551120466838977,50856000000.0,0.3505670923258945,-7.214448376219318e-05,GENERAL,,,,0.007173117968188647
AAPL,320193,2013-03-31,PIT_FACTS_READY,PASS,MARGIN_DIRECTION,1,2013-01-24T22:01:37+00:00,,0.1765264498305743,0.2399104784267684,-0.0420483845866345,0.3551120466838977,50856000000.0,0.3505670923258945,-7.214448376219318e-05,GENERAL,,,,0.007173117968188647
AAPL,320193,2013-04-30,PIT_FACTS_READY,PASS,MARGIN_DIRECTION,1,2013-04-24T01:29:23+00:00,,0.1127188281529116,0.2189528243469486,-0.0776326908880843,0.3551120466838977,50856000000.0,0.3042625408872206,-0.0166459356654448,GENERAL,-0.06380762167766271,-0.035584306301449806,0.0,0.0038361092633429905
AAPL,320193,2013-05-31,PIT_FACTS_READY,PASS,MARGIN_DIRECTION,1,2013-04-24T01:29:23+00:00,,0.1127188281529116,0.2189528243469486,-0.0776326908880843,0.3551120466838977,50856000000.0,0.3042625408872206,-0.0166459356654448,GENERAL,-0.06380762167766271,-0.035584306301449806,0.0,0.0038361092633429905
AAPL,320193,2013-06-30,PIT_FACTS_READY,PASS,MARGIN_DIRECTION,1,2013-04-24T01:29:23+00:00,,0.1127188281529116,0.2189528243469486,-0.0776326908880843,0.3551120466838977,50856000000.0,0.3042625408872206,-0.0166459356654448,GENERAL,-0.06380762167766271,-0.035584306301449806,0.0,0.0038361092633429905
AAPL,320193,2013-07-31,PIT_FACTS_READY,PASS,MARGIN_DIRECTION|LEVERAGE_DIRECTION,2,2013-07-24T21:02:02+00:00,,0.0085657996173942,0.1953401466466608,-0.0566085727662963,0.3551120466838977,50856000000.0,0.3827856056360579,0.0687815785267366,GENERAL,-0.10415302853551739,0.021024118121788005,0.0,-0.030839358826378338
AAPL,320193,2013-08-31,PIT_FACTS_READY,PASS,MARGIN_DIRECTION|LEVERAGE_DIRECTION,2,2013-07-24T21:02:02+00:00,,0.0085657996173942,0.1953401466466608,-0.0566085727662963,0.3551120466838977,50856000000.0,0.3827856056360579,0.0687815785267366,GENERAL,-0.10415302853551739,0.021024118121788005,0.0,-0.030839358826378338
AAPL,320193,2013-09-30,PIT_FACTS_READY,PASS,MARGIN_DIRECTION|LEVERAGE_DIRECTION,2,2013-07-24T21:02:02+00:00,,0.0085657996173942,0.1953401466466608,-0.0566085727662963,0.3551120466838977,50856000000.0,0.3827856056360579,0.0687815785267366,GENERAL,-0.10415302853551739,0.021024118121788005,0.0,-0.030839358826378338
AAPL,320193,2013-10-31,PIT_FACTS_READY,PASS,MARGIN_DIRECTION|LEVERAGE_DIRECTION,2,2013-10-30T00:38:28+00:00,,0.0418728799421677,0.2004696840307429,-0.0281629134224072,0.0552540506528236,53666000000.0,0.4031449275362319,0.0745485080524078,GENERAL,0.0333070803247735,0.0284456593438891,-0.2998579960310741,-0.04353603517410587
