event_id,cik,canonical_symbol_at_filing,identity_status,accession_number,form,filing_date,accepted_at,matched_items,filing_index_url,primary_document_url
SEC8K-0001206774-09-000080,0000097476,,UNMAPPED,0001206774-09-000080,8-K,2009-01-26,2009-01-26T21:43:44.000Z,2.05,https://www.sec.gov/Archives/edgar/data/97476/000120677409000080/0001206774-09-000080-index.html,https://www.sec.gov/Archives/edgar/data/97476/000120677409000080/texas_8-k.htm
SEC8K-0000024741-09-000003,0000024741,,UNMAPPED,0000024741-09-000003,8-K,2009-01-27,2009-01-27T12:12:03.000Z,2.05,https://www.sec.gov/Archives/edgar/data/24741/000002474109000003/0000024741-09-000003-index.html,https://www.sec.gov/Archives/edgar/data/24741/000002474109000003/q4088k.htm
SEC8K-0001193125-09-013203,0000898293,,UNMAPPED,0001193125-09-013203,8-K,2009-01-28,2009-01-28T22:10:08.000Z,2.05|2.06,https://www.sec.gov/Archives/edgar/data/898293/000119312509013203/0001193125-09-013203-index.html,https://www.sec.gov/Archives/edgar/data/898293/000119312509013203/d8k.htm
SEC8K-0001104659-09-005356,0001385157,,UNMAPPED,0001104659-09-005356,8-K,2009-01-30,2009-01-30T21:14:27.000Z,2.06,https://www.sec.gov/Archives/edgar/data/1385157/000110465909005356/0001104659-09-005356-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000110465909005356/a09-4061_18k.htm
SEC8K-0001193125-09-016478,0001137789,,UNMAPPED,0001193125-09-016478,8-K/A,2009-02-02,2009-02-02T22:09:17.000Z,2.06,https://www.sec.gov/Archives/edgar/data/1137789/000119312509016478/0001193125-09-016478-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312509016478/d8ka.htm
SEC8K-0001193125-09-018820,0001097864,,UNMAPPED,0001193125-09-018820,8-K,2009-02-04,2009-02-04T21:24:46.000Z,2.05,https://www.sec.gov/Archives/edgar/data/1097864/000119312509018820/0001193125-09-018820-index.html,https://www.sec.gov/Archives/edgar/data/1097864/000119312509018820/d8k.htm
SEC8K-0001299933-09-000596,0000202058,,UNMAPPED,0001299933-09-000596,8-K/A,2009-02-04,2009-02-04T21:47:04.000Z,2.06,https://www.sec.gov/Archives/edgar/data/202058/000129993309000596/0001299933-09-000596-index.html,https://www.sec.gov/Archives/edgar/data/202058/000129993309000596/htm_31194.htm
SEC8K-0001362310-09-001156,0001069202,,UNMAPPED,0001362310-09-001156,8-K,2009-02-05,2009-02-05T14:21:30.000Z,2.05,https://www.sec.gov/Archives/edgar/data/1069202/000136231009001156/0001362310-09-001156-index.html,https://www.sec.gov/Archives/edgar/data/1069202/000136231009001156/c80220e8vk.htm
SEC8K-0001104659-09-006611,0001001250,,UNMAPPED,0001104659-09-006611,8-K,2009-02-05,2009-02-05T14:58:58.000Z,2.05,https://www.sec.gov/Archives/edgar/data/1001250/000110465909006611/0001104659-09-006611-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465909006611/a09-4626_28k.htm
SEC8K-0001104659-09-010155,0001090872,,UNMAPPED,0001104659-09-010155,8-K,2009-02-17,2009-02-17T21:10:49.000Z,2.05,https://www.sec.gov/Archives/edgar/data/1090872/000110465909010155/0001104659-09-010155-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000110465909010155/a09-5706_18k.htm
SEC8K-0000922224-09-000017,0000922224,,UNMAPPED,0000922224-09-000017,8-K,2009-02-24,2009-02-24T18:16:43.000Z,2.05,https://www.sec.gov/Archives/edgar/data/922224/000092222409000017/0000922224-09-000017-index.html,https://www.sec.gov/Archives/edgar/data/922224/000092222409000017/form8k.htm
SEC8K-0000723125-09-000010,0000723125,,UNMAPPED,0000723125-09-000010,8-K,2009-02-25,2009-02-24T22:48:18.000Z,2.05,https://www.sec.gov/Archives/edgar/data/723125/000072312509000010/0000723125-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/723125/000072312509000010/form8k-feb09.htm
SEC8K-0000950129-09-000661,0000823768,,UNMAPPED,0000950129-09-000661,8-K,2009-02-27,2009-02-27T18:38:26.000Z,2.06,https://www.sec.gov/Archives/edgar/data/823768/000095012909000661/0000950129-09-000661-index.html,https://www.sec.gov/Archives/edgar/data/823768/000095012909000661/h65967e8vk.htm
SEC8K-0001104659-09-013879,0000001800,,UNMAPPED,0001104659-09-013879,8-K,2009-03-03,2009-03-03T21:42:07.000Z,2.04,https://www.sec.gov/Archives/edgar/data/1800/000110465909013879/0001104659-09-013879-index.html,https://www.sec.gov/Archives/edgar/data/1800/000110465909013879/a09-5758_18k.htm
SEC8K-0001157523-09-001899,0000936395,,UNMAPPED,0001157523-09-001899,8-K,2009-03-05,2009-03-05T11:45:31.000Z,2.05,https://www.sec.gov/Archives/edgar/data/936395/000115752309001899/0001157523-09-001899-index.html,https://www.sec.gov/Archives/edgar/data/936395/000115752309001899/a5910397.htm
SEC8K-0001362310-09-003506,0000866374,,UNMAPPED,0001362310-09-003506,8-K,2009-03-10,2009-03-10T20:09:47.000Z,2.05|2.06,https://www.sec.gov/Archives/edgar/data/866374/000136231009003506/0001362310-09-003506-index.html,https://www.sec.gov/Archives/edgar/data/866374/000136231009003506/c82337e8vk.htm
SEC8K-0001299933-09-001141,0000040704,,UNMAPPED,0001299933-09-001141,8-K,2009-03-11,2009-03-11T14:00:12.000Z,2.05|2.06,https://www.sec.gov/Archives/edgar/data/40704/000129993309001141/0001299933-09-001141-index.html,https://www.sec.gov/Archives/edgar/data/40704/000129993309001141/htm_31756.htm
SEC8K-0001193125-09-052301,0000910606,,UNMAPPED,0001193125-09-052301,8-K,2009-03-12,2009-03-12T20:53:38.000Z,4.02,https://www.sec.gov/Archives/edgar/data/910606/000119312509052301/0001193125-09-052301-index.html,https://www.sec.gov/Archives/edgar/data/910606/000119312509052301/d8k.htm
SEC8K-0000320187-09-000035,0000320187,,UNMAPPED,0000320187-09-000035,8-K,2009-03-18,2009-03-18T20:20:30.000Z,2.05|2.06,https://www.sec.gov/Archives/edgar/data/320187/000032018709000035/0000320187-09-000035-index.html,https://www.sec.gov/Archives/edgar/data/320187/000032018709000035/f8k090317.htm
SEC8K-0001193125-09-061931,0000898293,,UNMAPPED,0001193125-09-061931,8-K/A,2009-03-24,2009-03-24T20:10:10.000Z,2.05,https://www.sec.gov/Archives/edgar/data/898293/000119312509061931/0001193125-09-061931-index.html,https://www.sec.gov/Archives/edgar/data/898293/000119312509061931/d8ka.htm
SEC8K-0000950134-09-006002,0001045609,,UNMAPPED,0000950134-09-006002,8-K,2009-03-25,2009-03-25T10:05:40.000Z,2.06,https://www.sec.gov/Archives/edgar/data/1045609/000095013409006002/0000950134-09-006002-index.html,https://www.sec.gov/Archives/edgar/data/1045609/000095013409006002/f51937e8vk.htm
SEC8K-0001104659-09-020139,0001090872,,UNMAPPED,0001104659-09-020139,8-K,2009-03-26,2009-03-26T12:34:00.000Z,2.05,https://www.sec.gov/Archives/edgar/data/1090872/000110465909020139/0001104659-09-020139-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000110465909020139/a09-8542_28k.htm
SEC8K-0001091667-09-000049,0001091667,,UNMAPPED,0001091667-09-000049,8-K,2009-03-27,2009-03-27T21:08:30.000Z,2.04,https://www.sec.gov/Archives/edgar/data/1091667/000109166709000049/0001091667-09-000049-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166709000049/body.htm
SEC8K-0001181431-09-017691,0000319201,,UNMAPPED,0001181431-09-017691,8-K,2009-03-30,2009-03-30T21:14:57.000Z,2.05,https://www.sec.gov/Archives/edgar/data/319201/000118143109017691/0001181431-09-017691-index.html,https://www.sec.gov/Archives/edgar/data/319201/000118143109017691/rrd238529.htm
SEC8K-0000040779-09-000017,0001031296,,UNMAPPED,0000040779-09-000017,8-K,2009-03-31,2009-03-31T13:09:54.000Z,2.06,https://www.sec.gov/Archives/edgar/data/1031296/000004077909000017/0000040779-09-000017-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000004077909000017/main8_k.htm
SEC8K-0000723125-09-000026,0000723125,,UNMAPPED,0000723125-09-000026,8-K,2009-04-02,2009-04-02T20:02:38.000Z,2.05,https://www.sec.gov/Archives/edgar/data/723125/000072312509000026/0000723125-09-000026-index.html,https://www.sec.gov/Archives/edgar/data/723125/000072312509000026/q209_8-k.htm
SEC8K-0001193125-09-071618,0001059556,,UNMAPPED,0001193125-09-071618,8-K,2009-04-02,2009-04-02T20:12:53.000Z,2.05,https://www.sec.gov/Archives/edgar/data/1059556/000119312509071618/0001193125-09-071618-index.html,https://www.sec.gov/Archives/edgar/data/1059556/000119312509071618/d8k.htm
SEC8K-0001193125-09-071640,0000002488,,UNMAPPED,0001193125-09-071640,8-K/A,2009-04-02,2009-04-02T20:27:57.000Z,2.05,https://www.sec.gov/Archives/edgar/data/2488/000119312509071640/0001193125-09-071640-index.html,https://www.sec.gov/Archives/edgar/data/2488/000119312509071640/d8ka.htm
SEC8K-0000950137-09-002635,0000068505,,UNMAPPED,0000950137-09-002635,8-K,2009-04-06,2009-04-06T20:40:25.000Z,2.05,https://www.sec.gov/Archives/edgar/data/68505/000095013709002635/0000950137-09-002635-index.html,https://www.sec.gov/Archives/edgar/data/68505/000095013709002635/c50448e8vk.htm
SEC8K-0001144204-09-019473,0000016918,,UNMAPPED,0001144204-09-019473,8-K,2009-04-08,2009-04-08T13:11:39.000Z,2.05,https://www.sec.gov/Archives/edgar/data/16918/000114420409019473/0001144204-09-019473-index.html,https://www.sec.gov/Archives/edgar/data/16918/000114420409019473/v145540_8-k.htm
SEC8K-0001193125-09-079270,0000080661,,UNMAPPED,0001193125-09-079270,8-K,2009-04-15,2009-04-15T13:53:09.000Z,2.06,https://www.sec.gov/Archives/edgar/data/80661/000119312509079270/0001193125-09-079270-index.html,https://www.sec.gov/Archives/edgar/data/80661/000119312509079270/d8k.htm
SEC8K-0001104659-09-024624,0001385157,,UNMAPPED,0001104659-09-024624,8-K,2009-04-16,2009-04-16T21:24:19.000Z,2.06,https://www.sec.gov/Archives/edgar/data/1385157/000110465909024624/0001104659-09-024624-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000110465909024624/a09-10268_18k.htm
SEC8K-0001299933-09-001707,0000040704,,UNMAPPED,0001299933-09-001707,8-K,2009-04-17,2009-04-17T17:09:21.000Z,2.05,https://www.sec.gov/Archives/edgar/data/40704/000129993309001707/0001299933-09-001707-index.html,https://www.sec.gov/Archives/edgar/data/40704/000129993309001707/htm_32313.htm
SEC8K-0000950133-09-001165,0000936395,,UNMAPPED,0000950133-09-001165,8-K,2009-04-17,2009-04-17T18:06:05.000Z,2.06,https://www.sec.gov/Archives/edgar/data/936395/000095013309001165/0000950133-09-001165-index.html,https://www.sec.gov/Archives/edgar/data/936395/000095013309001165/w73624e8vk.htm
SEC8K-0001104659-09-025501,0001001250,,UNMAPPED,0001104659-09-025501,8-K/A,2009-04-22,2009-04-22T20:52:47.000Z,2.05,https://www.sec.gov/Archives/edgar/data/1001250/000110465909025501/0001104659-09-025501-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465909025501/a09-10706_18ka.htm
SEC8K-0001140361-09-010217,0000037996,,UNMAPPED,0001140361-09-010217,8-K,2009-04-24,2009-04-24T12:36:14.000Z,2.06,https://www.sec.gov/Archives/edgar/data/37996/000114036109010217/0001140361-09-010217-index.html,https://www.sec.gov/Archives/edgar/data/37996/000114036109010217/form8k.htm
SEC8K-0001104659-09-031903,0001001250,,UNMAPPED,0001104659-09-031903,8-K/A,2009-05-12,2009-05-12T21:02:31.000Z,2.05,https://www.sec.gov/Archives/edgar/data/1001250/000110465909031903/0001104659-09-031903-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465909031903/a09-13261_28ka.htm
SEC8K-0001193125-09-109216,0001137789,,UNMAPPED,0001193125-09-109216,8-K,2009-05-13,2009-05-13T12:16:54.000Z,2.05,https://www.sec.gov/Archives/edgar/data/1137789/000119312509109216/0001193125-09-109216-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312509109216/d8k.htm
SEC8K-0000004962-09-000018,0000004962,,UNMAPPED,0000004962-09-000018,8-K,2009-05-19,2009-05-19T21:29:50.000Z,2.05,https://www.sec.gov/Archives/edgar/data/4962/000000496209000018/0000004962-09-000018-index.html,https://www.sec.gov/Archives/edgar/data/4962/000000496209000018/wrapmay19.txt
SEC8K-0001362310-09-007969,0000866374,,UNMAPPED,0001362310-09-007969,8-K/A,2009-05-20,2009-05-20T19:49:18.000Z,2.05|2.06,https://www.sec.gov/Archives/edgar/data/866374/000136231009007969/0001362310-09-007969-index.html,https://www.sec.gov/Archives/edgar/data/866374/000136231009007969/c85933e8vkza.htm
SEC8K-0000891618-09-000187,0000789570,,UNMAPPED,0000891618-09-000187,8-K,2009-05-22,2009-05-22T21:27:03.000Z,2.04,https://www.sec.gov/Archives/edgar/data/789570/000089161809000187/0000891618-09-000187-index.html,https://www.sec.gov/Archives/edgar/data/789570/000089161809000187/p14988e8vk.htm
SEC8K-0001104659-09-035857,0001001250,,UNMAPPED,0001104659-09-035857,8-K/A,2009-05-29,2009-05-29T20:51:49.000Z,2.05,https://www.sec.gov/Archives/edgar/data/1001250/000110465909035857/0001104659-09-035857-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465909035857/a09-14580_18ka.htm
SEC8K-0000950123-09-010497,0000202058,,UNMAPPED,0000950123-09-010497,8-K,2009-06-02,2009-06-02T20:00:36.000Z,2.06,https://www.sec.gov/Archives/edgar/data/202058/000095012309010497/0000950123-09-010497-index.html,https://www.sec.gov/Archives/edgar/data/202058/000095012309010497/g19338e8vk.htm
SEC8K-0000950123-09-012982,0000813672,,UNMAPPED,0000950123-09-012982,8-K,2009-06-10,2009-06-10T20:22:37.000Z,2.05,https://www.sec.gov/Archives/edgar/data/813672/000095012309012982/0000950123-09-012982-index.html,https://www.sec.gov/Archives/edgar/data/813672/000095012309012982/f52725e8vk.htm
SEC8K-0001193125-09-133009,0001109357,,UNMAPPED,0001193125-09-133009,8-K,2009-06-18,2009-06-18T15:36:09.000Z,2.05,https://www.sec.gov/Archives/edgar/data/1109357/000119312509133009/0001193125-09-133009-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312509133009/d8k.htm
SEC8K-0000950123-09-015489,0000789570,,UNMAPPED,0000950123-09-015489,8-K/A,2009-06-19,2009-06-19T20:38:44.000Z,2.04,https://www.sec.gov/Archives/edgar/data/789570/000095012309015489/0000950123-09-015489-index.html,https://www.sec.gov/Archives/edgar/data/789570/000095012309015489/p15152e8vkza.htm
SEC8K-0001193125-09-135730,0000898293,,UNMAPPED,0001193125-09-135730,8-K/A,2009-06-23,2009-06-23T20:31:01.000Z,2.05|2.06,https://www.sec.gov/Archives/edgar/data/898293/000119312509135730/0001193125-09-135730-index.html,https://www.sec.gov/Archives/edgar/data/898293/000119312509135730/d8ka.htm
SEC8K-0000723125-09-000041,0000723125,,UNMAPPED,0000723125-09-000041,8-K,2009-06-25,2009-06-25T20:01:51.000Z,2.05,https://www.sec.gov/Archives/edgar/data/723125/000072312509000041/0000723125-09-000041-index.html,https://www.sec.gov/Archives/edgar/data/723125/000072312509000041/q3-09_8k.htm
