ticker,hypothesis_id,threshold,signal_date,fold_id,label,signal_price,signal_volatility,pullback_threshold,continuation_threshold,structural_threshold,mfe,mae,time_to_high_days,time_to_low_days,low_before_high,recovery_after_low,terminal_return,gross_oracle_opportunity,outcome_end,trend_quality,sector_alignment,return_concentration,intraday_return_share,overnight_return_share,capital_gain_overhang_proxy,business_state,business_entity_type,business_deterioration_count,business_unknown,price_business_divergence,market_volatility_percentile,market_drawdown_63d,market_rebound_after_stress,sector_relative_return_63d
AAPL,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2016-09-30,F01,CONTINUATION,25.87520599,0.2229427094554307,0.0965370249884681,0.167207032091573,0.2786783868192884,0.2869348952379102,-0.0601260794059479,123,31,True,True,0.2831843589122282,0.0639724947022095,2017-04-03,0.2797506419277431,0.5758951005012999,0.2999853885837973,0.1317893509995768,0.100285195176556,0.1114300946526463,VETO,GENERAL,3.0,0.0,0.08357257098948473,0.11317418213969938,-0.007747388043037651,0.0,0.06809757378671155
AAPL,PROFIT_DOWNSIDE_EXPANSION_V2,0.9,2016-09-30,F01,CONTINUATION,25.87520599,0.2229427094554307,0.0965370249884681,0.167207032091573,0.2786783868192884,0.2869348952379102,-0.0601260794059479,123,31,True,True,0.2831843589122282,0.0639724947022095,2017-04-03,0.2797506419277431,0.5758951005012999,0.2999853885837973,0.1317893509995768,0.100285195176556,0.1114300946526463,VETO,GENERAL,3.0,0.0,0.08357257098948473,0.11317418213969938,-0.007747388043037651,0.0,0.06809757378671155
ABBV,PROFIT_RELATIVE_EXTENSION_V2,0.8,2017-01-31,F01,CONTINUATION,41.32441711,0.2718829936200233,0.1177287896659513,0.2039122452150175,0.3398537420250291,0.2444769421213501,-0.0112910168522882,119,8,True,True,0.173607036752708,0.0114199598109663,2017-08-01,0.0,0.7678748200245065,0.3480823986372279,0.0169966673084487,0.0578177394601551,-0.0049011306116014,PASS,GENERAL,0.0,0.0,0.0,0.04118616144975288,-0.008885738897860262,0.0,-0.031848786048128463
ABBV,PROFIT_RELATIVE_BREAK_V2,0.8,2017-01-31,F01,CONTINUATION,41.32441711,0.2718829936200233,0.1177287896659513,0.2039122452150175,0.3398537420250291,0.2444769421213501,-0.0112910168522882,119,8,True,True,0.173607036752708,0.0114199598109663,2017-08-01,0.0,0.7678748200245065,0.3480823986372279,0.0169966673084487,0.0578177394601551,-0.0049011306116014,PASS,GENERAL,0.0,0.0,0.0,0.04118616144975288,-0.008885738897860262,0.0,-0.031848786048128463
ABBV,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2016-10-31,F01,CONTINUATION,37.34332657,0.1909894653283605,0.0827008644147837,0.1432420989962704,0.2387368316604507,0.2205821255521851,0.0019718409355409,126,3,True,True,0.2205821255521851,-0.0019679604306043,2017-05-03,0.0716263007543853,0.7589470897440158,0.2467512142531619,-0.1555921679011416,-0.0917092516574243,-0.1002534501777331,UNKNOWN,GENERAL,,1.0,,0.0876736111111111,-0.02494993284584579,0.0,-0.09411648276691498
ABBV,PROFIT_DOWNSIDE_EXPANSION_V2,0.9,2016-10-31,F01,CONTINUATION,37.34332657,0.1909894653283605,0.0827008644147837,0.1432420989962704,0.2387368316604507,0.2205821255521851,0.0019718409355409,126,3,True,True,0.2205821255521851,-0.0019679604306043,2017-05-03,0.0716263007543853,0.7589470897440158,0.2467512142531619,-0.1555921679011416,-0.0917092516574243,-0.1002534501777331,UNKNOWN,GENERAL,,1.0,,0.0876736111111111,-0.02494993284584579,0.0,-0.09411648276691498
AMT,PROFIT_RELATIVE_EXTENSION_V2,0.8,2016-09-30,F01,TRADABLE_PULLBACK,88.28012085,0.1690687767370115,0.0732089278205057,0.1268015825527586,0.2113359709212644,0.0783099929342698,-0.1101209293371737,125,46,True,True,0.0748504111274106,0.1237481956454489,2017-04-03,0.5748152897954766,0.5447234862871613,0.1848375295386705,-0.0512380480394332,0.0557589752153073,0.0315599281458172,UNKNOWN,REIT,,1.0,,0.11317418213969938,-0.007747388043037651,0.0,-0.09413865948950251
AMT,PROFIT_RELATIVE_EXTENSION_V2,0.9,2016-09-30,F01,TRADABLE_PULLBACK,88.28012085,0.1690687767370115,0.0732089278205057,0.1268015825527586,0.2113359709212644,0.0783099929342698,-0.1101209293371737,125,46,True,True,0.0748504111274106,0.1237481956454489,2017-04-03,0.5748152897954766,0.5447234862871613,0.1848375295386705,-0.0512380480394332,0.0557589752153073,0.0315599281458172,UNKNOWN,REIT,,1.0,,0.11317418213969938,-0.007747388043037651,0.0,-0.09413865948950251
AMT,PROFIT_TREND_DECELERATION_V2,0.8,2016-08-31,F01,TRADABLE_PULLBACK,87.88759613,0.1374989368933106,0.0595387861714801,0.1031242026699829,0.1718736711166382,0.0386780690300352,-0.1061465399076447,42,67,False,True,0.030814516828906,0.1187516127047014,2017-03-03,0.8637594938239377,0.1968951160559538,0.2210340916730536,0.1044088942005227,0.0318892983512974,0.0509794501146891,UNKNOWN,REIT,,1.0,,0.5018018018018018,-0.007804621380534504,0.0,-0.029288926521321645
AMT,PROFIT_TREND_DECELERATION_V2,0.8,2016-11-30,F01,CONTINUATION,79.6647644,0.2578918746492168,0.1116704574379069,0.1934189059869126,0.3223648433115211,0.3092266485131287,-0.0138848399079681,126,4,True,True,0.3092266485131287,0.0140803432194189,2017-06-02,0.0,0.7377304730857275,0.1845707816606985,-0.1415508481526545,0.0306203564847732,-0.0791248272181606,UNKNOWN,REIT,,1.0,,0.28218243819266836,-0.00514615630371007,0.0,-0.0611992731795874
