cik,acceptance_records,fact_rows,missing_acceptances,status
0001001039,2369,13414,0,PIT_READY
0001318605,1746,23365,0,PIT_READY
0001441634,695,6547,0,PIT_READY
0001649338,434,3735,0,PIT_READY
