fold_id,episodes,feature_positive_episodes,feature_positive_adverse_rate,feature_negative_adverse_rate,adverse_risk_difference,relative_risk,direction_matches_hypothesis
OOS_2016_2018,876,12,0.3333333333333333,0.3576388888888889,-0.02430555555555558,0.9320388349514562,True
OOS_2019_2021,884,23,0.34782608695652173,0.47038327526132406,-0.12255718830480233,0.739452495974235,True
OOS_2022_2023,307,7,0.42857142857142855,0.5933333333333334,-0.16476190476190483,0.7223113964686998,True
OOS_2024_2026Q2,559,9,0.2222222222222222,0.45636363636363636,-0.23414141414141415,0.4869411243913236,True
