review_id,ticker,cik,accession_number,accepted_at,document_name,source_url,source_sha256,source_kind,block_path,block_text,metric,fiscal_period,accounting_basis,metric_subtype,unit,lower_bound,upper_bound,midpoint,range_offset,range_role,semantic_role,candidate_status,review_priority,review_decision,review_reason,reviewer,reviewed_at
SG3-0011,ABBV,0001551152,0001551152-22-000038,2022-10-28T11:48:37.000Z,abbv-20220930xexhibit991.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000038/abbv-20220930xexhibit991.htm,3d290fa254fee8343c9df6bc9020c0620645684c7048c0363436637145fdb5b5,HTML_DIV,/html/body/document/type/sequence/filename/description/text/div[106],"AbbVie is confirming the midpoint of its full-year 2022 adjusted diluted EPS guidance range and narrowing the range from $13.76 - $13.96 to $13.84 - $13.88, which includes an unfavorable impact of $0.25 per share related to acquired IPR&D and milestones expense incurred year-to-date through the third quarter 2022. The company's 2022 adjusted diluted EPS guidance excludes any impact from acquired IPR&D and milestones that may be incurred beyond the third quarter of 2022, as both cannot be reliably forecasted.",EPS,FY2022,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,13.84,13.88,13.86,140,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,1e741b0b4841333d6a332b1da592bcc7e57654125aad0cf4c5af2ba7c61a6afc,PENDING,,,
SG3-0012,WMT,0000104169,0000104169-26-000032,2026-02-19T11:59:55.000Z,earningspresentationfy26.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416926000032/earningspresentationfy26.htm,7673b9b082503695e2546e400d12c1388ad4b528d9e4ca0f220e13a981561595,HTML_DIV,/html/body/document/type/sequence/filename/description/text/div/div/div[2]/div[1],"First quarter The Company’s first quarter fiscal 2027 guidance is based on the following Q1 FY26 figures: Net sales: $164.0 billion, operating income: $7.1 billion, and adjusted EPS1: $0.61. Consolidated metric Q1 FY27 Net sales (cc) Increase 3.5% to 4.5% Operating income (cc) Increase 4.0% to 6.0% Adjusted EPS $0.63 to $0.65 Fiscal year 2027 The Company’s fiscal year guidance is based on the following FY26 figures: Net sales: $706.4 billion, adjusted operating income2: $31.0 billion, and adjusted EPS2: $2.64. Consolidated metric FY27 Net sales (cc) Increase 3.5% to 4.5% Adj. operating income (cc) Increase 6.0% to 8.0% Interest, net Increase approximately $200M to $300M Effective tax rate Approximately 23.5% to 24.5% Adjusted EPS $2.75 to $2.85 Capital expenditures Approximately 3.5% of net sales 1 For relevant non-GAAP reconciliations, see Q1 FY26 earnings release furnished on Form 8-K on May 15, 2025. 2See additional information at the end of this presentation regarding non-GAAP financial measures. cc = constant currency Guidance 2 The following forward-looking statements reflect the Company’s expectations as of February 19, 2026, and are subject to substantial uncertainty. The Company’s results may be materially affected by many factors, such as fluctuations in foreign currency exchange rates, changes in global economic and geopolitical conditions, tariff and trade policies, customer demand and spending, inflation, interest rates, world events, and the various other factors detailed in this presentation. Additionally, guidance is provided on a non-GAAP basis as the Company cannot predict certain elements that are included in reported GAAP results, such as the changes in fair value of the Company’s equity and other investments. Growth rates reflect an adjusted basis for prior year results.",EPS,Q1-2027,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0.63,0.65,0.64,313,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,23cee80bfaec695e91d8b8ea5a1ed82528258a5df7013876a0b9c2146940956c,PENDING,,,
SG3-0013,BA,0000012927,0000950123-15-010348,2015-10-21T11:40:53.000Z,a201509sep308kpressrelease.htm,https://www.sec.gov/Archives/edgar/data/12927/000095012315010348/a201509sep308kpressrelease.htm,527f76987c1f4e32cd5d6540b064793f6fd9f3f9e1d69204d65df4f489ba4f49,HTML_DIV,/html/body/document/type/sequence/filename/description/text/div[8],"Core earnings per share (non-GAAP)* guidance for 2015 increased to between $7.95 and $8.15, from $7.70 and $7.90 on continued strong operating performance. GAAP earnings per share guidance for 2015 increased to between $7.65 and $7.85, from $7.60 and $7.80. Operating cash flow guidance increased to approximately $9.5 billion. Revenue guidance increased $0.5 billion to between $95.0 billion and $97.0 billion on",EPS,FY2015,GAAP,NOT_APPLICABLE,USD_PER_SHARE,7.65,7.85,7.75,219,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,244d710696b44e8ed0c2bf234aa14c0e4f30ba19c1fccdab876ce3f088d350e9,PENDING,,,
SG3-0014,LIN,0001707925,0001654954-23-009714,2023-07-27T10:18:41.000Z,lin_ex991.htm,https://www.sec.gov/Archives/edgar/data/1707925/000165495423009714/lin_ex991.htm,22e467c40cf1c3ce046238db68d1627a123911e5dfcd002575254998c4c45088,HTML_P,/html/body/document/type/sequence/filename/description/text/table[2]/tr[5]/td[3]/p,"Increased full-year 2023 adjusted EPS guidance to $13.80 - $14.00, represents 12% to 14% growth year-over-year",EPS,FY2023,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,13.8,14,13.9,50,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,24cc0daf137e7402229d232ffcf985dfaedda0e06e2139bf18ea09d6979a2655,PENDING,,,
SG3-0015,LIN,0001707925,0001654954-22-005503,2022-04-28T11:18:25.000Z,lin_ex991.htm,https://www.sec.gov/Archives/edgar/data/1707925/000165495422005503/lin_ex991.htm,3bd61cf3cf867a8853b0ad8cb6eb46be1fd80e38d1137f29ff1bf61e803d00ec,HTML_P,/html/body/document/type/sequence/filename/description/text/table[2]/tr[5]/td[3]/p,"Increased full-year 2022 adjusted EPS guidance to $11.65 - $11.90, represents 9% to 11% growth year-over-year",EPS,FY2022,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,11.65,11.9,11.775,50,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,2aef1fa39599d7ff8b0688d3971d16beec9094fd34f99e2610470b0b5eaf7c6e,PENDING,,,
SG3-0016,LLY,0000059478,0000059478-13-000053,2013-10-23T10:36:13.000Z,exhibit991-3rdquarter2013e.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947813000053/exhibit991-3rdquarter2013e.htm,38aecd2b132de147347585b108c57aada73676d3d22a280a72ef713862d40dc8,HTML_DIV,/html/body/document/type/sequence/filename/description/text/div[117],"The company has narrowed its 2013 earnings per share guidance and now expects full-year 2013 earnings per share to be in the range of $4.33 to $4.38 on a reported basis, or $4.10 to $4.15 on a non-GAAP basis. The company has also revised its capital expenditure estimate for 2013, as outlined below, but all other elements of its 2013 financial guidance remain unchanged.",EPS,FY2013,UNSPECIFIED,NOT_APPLICABLE,USD_PER_SHARE,4.33,4.38,4.355,134,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,33ebb26d7ec252b1e232f03cb30fd3d37964b94c17686ea66d176313d1e65ff8,PENDING,,,
SG3-0017,DUK,0001326160,0001104659-23-070360,2023-06-12T20:16:05.000Z,tm2317976d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1326160/000110465923070360/tm2317976d1_ex99-1.htm,bb688fe6af846d71dbcd3fe0e73d12a1772ce53cdf9d58e6b45710374d68da17,HTML_P,/html/body/document/type/sequence/filename/description/text/p[4],"// 1 // 1 Commercial Renewables: Transaction Summary Transaction Overview ▪ On June 10, 2023 Duke Energy entered into a purchase and sale agreement with Brookfield Renewable to sell the Company’s utility - scale solar and wind group for approximately $2.8 billion, including project debt and non - controlling tax equity interests ▪ The sale portfolio includes 3.4 gigawatts (1) of utility - scale renewables including, 1,813 megawatts wind, 1,613 megawatts solar and 18 megawatts battery storage, net of JV partners ownership ▪ The $1.1 billion in estimated net proceeds is subject to adjustment at closing based upon changes in working capital and capital expenditures compared to target amounts, as well as other customary transaction - related adjustments and expenses Timing and Use of Proceeds ▪ Closing of the transaction is expected to occur before the end of 2023. Proceeds will be received in two equal installments over eighteen months, the first occurring at closing ▪ Proceeds from the sale will be used to avoid holding company debt Closing Conditions ▪ Transaction is subject to certain customary regulatory and other approvals and conditions, including regulatory approval by the Federal Energy Regulatory Commission and the expiration of the waiting period under the Hart - Scott - Rodino Act Commercial Renewables Segment ▪ The sale of the remaining portion of the Commercial Renewables business segment, including Duke Energy’s distributed energy business, is also expected to close by year - end 2023 ▪ The carrying value of these assets was approximately $450 million as of March 31, 2023 Additional Information ▪ Duke Energy expects to recognize an estimated pre - tax impairment charge of approximately $800 million in the second quarter of 2023 based upon the purchase price ▪ Duke Energy is reaffirming the 2023 adjusted EPS guidance range of $5.55 to $5.75 and its long - term adjusted EPS growth rate of 5 - 7% through 2027 off the 2023 midpoint of $5.65 ▪ No planned equity issuances through 2027 (1) Megawatts represent Duke Energy’s ownership share and are presented in alternating current (AC)",EPS,Q2-2023,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,5.55,5.75,5.65,1868,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,97a0eee48d94172f2c11256fa01d719dc55c5561defd0b742e6381755ff28dfd,PENDING,,,
SG3-0018,PG,0000080424,0000080424-12-000057,2012-08-03T11:02:54.000Z,amjpressrelease.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042412000057/amjpressrelease.htm,b1846af652e08a98f3a12322a757c3e59ca51a412dc109f8fcd616843d78b3b3,HTML_SINGLE_CELL_ROW,/html/body/document/type/sequence/filename/description/text/div[3]/table/tr[1],"P&G ANNOUNCES FOURTH QUARTER 2012 CORE EPS OF $0.82

Delivers 3% Broad-based Organic Sales Growth;

Maintains Fiscal 2013 Core EPS Guidance at $3.80 to $4.00",EPS,FY2013,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,3.8,4,3.9,143,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,dfb4bda8f91e57894c57c63c2ca5879e1a3ac7fa70cd8e490fe5ca6dc8d92076,PENDING,,,
SG3-0019,JNJ,0000200406,0000200406-24-000004,2024-01-23T12:45:37.000Z,a2023q4exhibit991.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040624000004/a2023q4exhibit991.htm,c913506865545bda09a43ff344e7b2607256aa2813b1f8e6bcd4892282c4c4e6,HTML_DIV,/html/body/document/type/sequence/filename/description/text/div[15],"•Company re-confirms guidance for 2024 with operational sales5 growth of 5.0% - 6.0%* and adjusted operational EPS of $10.55 - $10.75, reflecting growth of 7.4%* at the mid-point",EPS,FY2024,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,10.55,10.75,10.65,118,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,efa323f5dca192f34d043586ebd41c086ae9bdd285065ddf23dc693536c1733b,PENDING,,,
SG3-0020,META,0001326801,0001326801-22-000079,2022-07-27T20:07:22.000Z,meta06302022-exhibit991.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000079/meta06302022-exhibit991.htm,3b0f68a1ec39c15606feceb3a45e92b3f841af40563a3eec03a0d33703b5f393,HTML_DIV,/html/body/document/type/sequence/filename/description/text/div[29],"We expect third quarter 2022 total revenue to be in the range of $26-28.5 billion. This outlook reflects a continuation of the weak advertising demand environment we experienced throughout the second quarter, which we believe is being driven by broader macroeconomic uncertainty. We also anticipate third quarter Reality Labs revenue to be lower than second quarter revenue. Our guidance assumes foreign currency will be an approximately 6% headwind to year-over-year total revenue growth in the third quarter, based on current exchange rates.",REVENUE,Q3-2022,UNSPECIFIED,NOT_APPLICABLE,USD,26000000000,28500000000,27250000000,65,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,247521f49a6e09ce6a837f048818682dfacc1fd14572d91f2fbf942090ca0116,PENDING,,,
