ticker,hypothesis_id,threshold,signal_date,fold_id,label,signal_price,signal_volatility,pullback_threshold,continuation_threshold,structural_threshold,mfe,mae,time_to_high_days,time_to_low_days,low_before_high,recovery_after_low,terminal_return,gross_oracle_opportunity,outcome_end
AAPL,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2016-09-30,F01,CONTINUATION,25.87520599,0.22294270945543074,0.0965370249884681,0.16720703209157306,0.2786783868192884,0.28693489523791027,-0.06012607940594794,123,31,True,True,0.28318435891222826,0.06397249470220956,2017-04-03
AAPL,PROFIT_DOWNSIDE_EXPANSION_V2,0.9,2016-09-30,F01,CONTINUATION,25.87520599,0.22294270945543074,0.0965370249884681,0.16720703209157306,0.2786783868192884,0.28693489523791027,-0.06012607940594794,123,31,True,True,0.28318435891222826,0.06397249470220956,2017-04-03
ABBV,PROFIT_RELATIVE_EXTENSION_V2,0.8,2017-01-31,F01,CONTINUATION,41.32441711,0.2718829936200233,0.11772878966595132,0.2039122452150175,0.33985374202502916,0.24447694212135018,-0.011291016852288283,119,8,True,True,0.17360703675270805,0.01141995981096633,2017-08-01
ABBV,PROFIT_RELATIVE_BREAK_V2,0.8,2017-01-31,F01,CONTINUATION,41.32441711,0.2718829936200233,0.11772878966595132,0.2039122452150175,0.33985374202502916,0.24447694212135018,-0.011291016852288283,119,8,True,True,0.17360703675270805,0.01141995981096633,2017-08-01
ABBV,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2016-10-31,F01,CONTINUATION,37.34332657,0.19098946532836059,0.08270086441478376,0.14324209899627044,0.23873683166045073,0.22058212555218515,0.001971840935540925,126,3,True,True,0.22058212555218515,-0.001967960430604321,2017-05-03
ABBV,PROFIT_DOWNSIDE_EXPANSION_V2,0.9,2016-10-31,F01,CONTINUATION,37.34332657,0.19098946532836059,0.08270086441478376,0.14324209899627044,0.23873683166045073,0.22058212555218515,0.001971840935540925,126,3,True,True,0.22058212555218515,-0.001967960430604321,2017-05-03
AMT,PROFIT_RELATIVE_EXTENSION_V2,0.8,2016-09-30,F01,TRADABLE_PULLBACK,88.28012085,0.16906877673701157,0.07320892782050577,0.12680158255275867,0.21133597092126447,0.07830999293426988,-0.11012092933717377,125,46,True,True,0.07485041112741064,0.12374819564544892,2017-04-03
AMT,PROFIT_RELATIVE_EXTENSION_V2,0.9,2016-09-30,F01,TRADABLE_PULLBACK,88.28012085,0.16906877673701157,0.07320892782050577,0.12680158255275867,0.21133597092126447,0.07830999293426988,-0.11012092933717377,125,46,True,True,0.07485041112741064,0.12374819564544892,2017-04-03
AMT,PROFIT_TREND_DECELERATION_V2,0.8,2016-08-31,F01,TRADABLE_PULLBACK,87.88759613,0.1374989368933106,0.05953878617148018,0.10312420266998296,0.17187367111663826,0.038678069030035234,-0.10614653990764478,42,67,False,True,0.030814516828906013,0.11875161270470147,2017-03-03
AMT,PROFIT_TREND_DECELERATION_V2,0.8,2016-11-30,F01,CONTINUATION,79.6647644,0.25789187464921687,0.11167045743790692,0.19341890598691264,0.3223648433115211,0.30922664851312875,-0.013884839907968183,126,4,True,True,0.30922664851312875,0.014080343219418978,2017-06-02
AMT,PROFIT_TREND_DECELERATION_V2,0.9,2016-11-30,F01,CONTINUATION,79.6647644,0.25789187464921687,0.11167045743790692,0.19341890598691264,0.3223648433115211,0.30922664851312875,-0.013884839907968183,126,4,True,True,0.30922664851312875,0.014080343219418978,2017-06-02
AMT,PROFIT_RELATIVE_BREAK_V2,0.8,2016-11-30,F01,CONTINUATION,79.6647644,0.25789187464921687,0.11167045743790692,0.19341890598691264,0.3223648433115211,0.30922664851312875,-0.013884839907968183,126,4,True,True,0.30922664851312875,0.014080343219418978,2017-06-02
AMT,PROFIT_RELATIVE_BREAK_V2,0.9,2016-11-30,F01,CONTINUATION,79.6647644,0.25789187464921687,0.11167045743790692,0.19341890598691264,0.3223648433115211,0.30922664851312875,-0.013884839907968183,126,4,True,True,0.30922664851312875,0.014080343219418978,2017-06-02
AMT,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2016-09-30,F01,TRADABLE_PULLBACK,88.28012085,0.16906877673701157,0.07320892782050577,0.12680158255275867,0.21133597092126447,0.07830999293426988,-0.11012092933717377,125,46,True,True,0.07485041112741064,0.12374819564544892,2017-04-03
AMT,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2016-11-30,F01,CONTINUATION,79.6647644,0.25789187464921687,0.11167045743790692,0.19341890598691264,0.3223648433115211,0.30922664851312875,-0.013884839907968183,126,4,True,True,0.30922664851312875,0.014080343219418978,2017-06-02
AMT,PROFIT_DOWNSIDE_EXPANSION_V2,0.9,2016-09-30,F01,TRADABLE_PULLBACK,88.28012085,0.16906877673701157,0.07320892782050577,0.12680158255275867,0.21133597092126447,0.07830999293426988,-0.11012092933717377,125,46,True,True,0.07485041112741064,0.12374819564544892,2017-04-03
AMZN,PROFIT_TREND_DECELERATION_V2,0.8,2016-10-31,F01,TRADABLE_PULLBACK,39.49100113,0.188011792661823,0.0814114943280957,0.14100884449636725,0.23501474082727875,0.20056462645569795,-0.08957742748417374,124,10,True,True,0.1914486101558095,0.09839104410234367,2017-05-03
AMZN,PROFIT_RELATIVE_BREAK_V2,0.8,2016-10-31,F01,TRADABLE_PULLBACK,39.49100113,0.188011792661823,0.0814114943280957,0.14100884449636725,0.23501474082727875,0.20056462645569795,-0.08957742748417374,124,10,True,True,0.1914486101558095,0.09839104410234367,2017-05-03
AMZN,PROFIT_RELATIVE_BREAK_V2,0.9,2016-11-30,F01,CONTINUATION,37.5284996,0.25430472440019636,0.11011717581648521,0.19072854330014727,0.31788090550024545,0.3412872562589737,-0.013629676524558043,126,2,True,True,0.3412872562589737,0.013818011552227505,2017-06-02
