ticker,hypothesis_id,threshold,signal_date,fold_id,label,signal_price,signal_volatility,pullback_threshold,continuation_threshold,structural_threshold,mfe,mae,time_to_high_days,time_to_low_days,low_before_high,recovery_after_low,terminal_return,gross_oracle_opportunity,outcome_end,trend_quality,sector_alignment,return_concentration,intraday_return_share,overnight_return_share,capital_gain_overhang_proxy
AAPL,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2016-09-30,F01,CONTINUATION,25.87520599,0.2229427094554307,0.0965370249884681,0.167207032091573,0.2786783868192884,0.2869348952379102,-0.0601260794059479,123,31,True,True,0.2831843589122282,0.0639724947022095,2017-04-03,0.2797506419277431,0.5758951005012999,0.29998538858379736,0.13178935099957684,0.10028519517655603,0.1114300946526463
AAPL,PROFIT_DOWNSIDE_EXPANSION_V2,0.9,2016-09-30,F01,CONTINUATION,25.87520599,0.2229427094554307,0.0965370249884681,0.167207032091573,0.2786783868192884,0.2869348952379102,-0.0601260794059479,123,31,True,True,0.2831843589122282,0.0639724947022095,2017-04-03,0.2797506419277431,0.5758951005012999,0.29998538858379736,0.13178935099957684,0.10028519517655603,0.1114300946526463
ABBV,PROFIT_RELATIVE_EXTENSION_V2,0.8,2017-01-31,F01,CONTINUATION,41.32441711,0.2718829936200233,0.1177287896659513,0.2039122452150175,0.3398537420250291,0.2444769421213501,-0.0112910168522882,119,8,True,True,0.173607036752708,0.0114199598109663,2017-08-01,0.0,0.7678748200245065,0.34808239863722795,0.016996667308448708,0.057817739460155136,-0.0049011306116014675
ABBV,PROFIT_RELATIVE_BREAK_V2,0.8,2017-01-31,F01,CONTINUATION,41.32441711,0.2718829936200233,0.1177287896659513,0.2039122452150175,0.3398537420250291,0.2444769421213501,-0.0112910168522882,119,8,True,True,0.173607036752708,0.0114199598109663,2017-08-01,0.0,0.7678748200245065,0.34808239863722795,0.016996667308448708,0.057817739460155136,-0.0049011306116014675
ABBV,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2016-10-31,F01,CONTINUATION,37.34332657,0.1909894653283605,0.0827008644147837,0.1432420989962704,0.2387368316604507,0.2205821255521851,0.0019718409355409,126,3,True,True,0.2205821255521851,-0.0019679604306043,2017-05-03,0.07162630075438536,0.7589470897440158,0.24675121425316193,-0.15559216790114166,-0.09170925165742434,-0.10025345017773313
ABBV,PROFIT_DOWNSIDE_EXPANSION_V2,0.9,2016-10-31,F01,CONTINUATION,37.34332657,0.1909894653283605,0.0827008644147837,0.1432420989962704,0.2387368316604507,0.2205821255521851,0.0019718409355409,126,3,True,True,0.2205821255521851,-0.0019679604306043,2017-05-03,0.07162630075438536,0.7589470897440158,0.24675121425316193,-0.15559216790114166,-0.09170925165742434,-0.10025345017773313
AMT,PROFIT_RELATIVE_EXTENSION_V2,0.8,2016-09-30,F01,TRADABLE_PULLBACK,88.28012085,0.1690687767370115,0.0732089278205057,0.1268015825527586,0.2113359709212644,0.0783099929342698,-0.1101209293371737,125,46,True,True,0.0748504111274106,0.1237481956454489,2017-04-03,0.5748152897954766,0.5447234862871613,0.1848375295386705,-0.051238048039433236,0.05575897521530739,0.031559928145817207
AMT,PROFIT_RELATIVE_EXTENSION_V2,0.9,2016-09-30,F01,TRADABLE_PULLBACK,88.28012085,0.1690687767370115,0.0732089278205057,0.1268015825527586,0.2113359709212644,0.0783099929342698,-0.1101209293371737,125,46,True,True,0.0748504111274106,0.1237481956454489,2017-04-03,0.5748152897954766,0.5447234862871613,0.1848375295386705,-0.051238048039433236,0.05575897521530739,0.031559928145817207
AMT,PROFIT_TREND_DECELERATION_V2,0.8,2016-08-31,F01,TRADABLE_PULLBACK,87.88759613,0.1374989368933106,0.0595387861714801,0.1031242026699829,0.1718736711166382,0.0386780690300352,-0.1061465399076447,42,67,False,True,0.030814516828906,0.1187516127047014,2017-03-03,0.8637594938239377,0.19689511605595386,0.22103409167305368,0.10440889420052273,0.031889298351297474,0.050979450114689184
AMT,PROFIT_TREND_DECELERATION_V2,0.8,2016-11-30,F01,CONTINUATION,79.6647644,0.2578918746492168,0.1116704574379069,0.1934189059869126,0.3223648433115211,0.3092266485131287,-0.0138848399079681,126,4,True,True,0.3092266485131287,0.0140803432194189,2017-06-02,0.0,0.7377304730857275,0.1845707816606985,-0.14155084815265453,0.030620356484773275,-0.07912482721816061
