ticker,signal_date,action,ratio,regime,signal_price,outcome_end,terminal_return_1m,mae_1m,mfe_1m,terminal_return_3m,mae_3m,mfe_3m,terminal_return_6m,mae_6m,mfe_6m,helpful_6m,forward_terminal_return_6m,forward_drawdown_6m,avoided_drawdown_opportunity_6m,foregone_terminal_upside_6m
AAPL,2016-05-02,BUY,0.05,NORMAL_FLEE,21.18811035,2016-10-28,0.057875324875302114,-0.029367416429374904,0.07882643390140753,0.13942422666304455,-0.029367416429374904,0.13942422666304455,0.22845124978311238,-0.029367416429374904,0.2773860817654277,True,0.22845124978311238,-0.029367416429374904,,
AAPL,2016-06-24,BUY,0.05,NORMAL_FLEE,21.26247406,2016-12-22,0.03501066611060222,-0.014560903360838595,0.07023572683902435,0.2132825186383791,-0.014560903360838595,0.24406924873163138,0.25824693234217166,-0.014560903360838595,0.272918531664043,True,0.25824693234217166,-0.014560903360838595,,
AAPL,2016-10-17,SELL,0.04,NORMAL_DRIFT,26.90518379,2017-04-19,-0.08413501567833004,-0.09610610766245942,0.005954743563563847,0.025997753647011956,-0.09610610766245942,0.026083461294207355,0.2081267172789678,-0.09610610766245942,0.24325104154956612,True,,,0.09610610766245942,0.2081267172789678
AAPL,2016-12-21,SELL,0.04,NORMAL_DRIFT,26.9305954,2017-06-23,0.024858867769407045,-0.010593093682585208,0.025798285172707214,0.20664408407398227,-0.010593093682585208,0.21367923302579483,0.26021326138225653,-0.010593093682585208,0.3448138120258566,False,,,0.010593093682585208,0.26021326138225653
AAPL,2017-01-24,SELL,0.06,NORMAL_DRIFT,27.60005951,2017-07-25,0.1429690167360076,0.011502877009557544,0.14782396858679814,0.2099409966091048,0.011502877009557544,0.21195020459577263,0.283949004789664,0.011502877009557544,0.3121941511350024,False,,,0.0,0.283949004789664
AAPL,2017-02-23,SELL,0.12,NORMAL_RUSH,31.54601288,2017-08-23,0.03010303532216163,0.0009516182001889639,0.03610888939699186,0.12775832639551,0.0009516182001889639,0.14805749930322087,0.18121352456634132,0.0009516182001889639,0.19317541183987497,False,,,0.0,0.18121352456634132
AAPL,2017-03-24,SELL,0.03,HEALTHY_RUSH,32.49564362,2017-09-22,0.02765908872310563,0.0002839688331119916,0.029365602391475232,0.04439517668491688,0.0002839688331119916,0.11450744239790489,0.08870759273793372,0.0002839688331119916,0.17586773682127177,False,,,0.0,0.08870759273793372
AAPL,2017-04-25,SELL,0.03,HEALTHY_RUSH,33.39444351,2017-10-23,0.06533527589242949,-0.0060888815212361,0.08451086029191912,0.061166625800736396,-0.01157359247158185,0.08451086029191912,0.08925763590303348,-0.01157359247158185,0.14421966362630978,False,,,0.01157359247158185,0.08925763590303348
AAPL,2017-05-24,SELL,0.03,HEALTHY_RUSH,35.57627869,2017-11-21,-0.04604149985086603,-0.07219217283458945,0.013760080818615794,0.04739951541008103,-0.07219217283458945,0.05800629790377876,0.1376341554063758,-0.07219217283458945,0.15385507005089183,True,,,0.07219217283458945,0.1376341554063758
AAPL,2017-06-26,SELL,0.01,HEALTHY_DRIFT,33.83158112,2017-12-22,0.05239297636468243,-0.021190369065435033,0.05239297636468243,0.036491404750520706,-0.021190369065435033,0.12943520979607115,0.20922213788629462,-0.021190369065435033,0.2189646651075583,False,,,0.021190369065435033,0.20922213788629462
AAPL,2017-07-26,SELL,0.02,HEALTHY_DRIFT,35.60411835,2018-01-25,0.04193592340420915,-0.03082197427871436,0.0571790190108723,0.027739819598706417,-0.03082197427871436,0.07320671570568482,0.12341646763456504,-0.03082197427871436,0.17692480089174856,False,,,0.03082197427871436,0.12341646763456504
AAPL,2017-08-24,SELL,0.02,HEALTHY_DRIFT,37.09720993,2018-02-26,-0.05474985568544066,-0.05474985568544066,0.030012202861100956,0.1024609116742814,-0.05474985568544066,0.10654870318976584,0.1323264792490555,-0.05474985568544066,0.1323264792490555,True,,,0.05474985568544066,0.1323264792490555
AAPL,2017-10-30,SELL,0.01,HEALTHY_DRIFT,38.8324585,2018-05-02,0.020209051404767475,0.0010197749905531683,0.05710199986436604,0.007869193757072956,0.0010197749905531683,0.07908104504895053,0.06722185024674654,-0.06605246381709273,0.09834949878334376,True,,,0.06605246381709273,0.06722185024674654
AAPL,2017-11-29,SELL,0.02,HEALTHY_DRIFT,39.61722565,2018-06-01,-0.0014746638372947762,-0.0027730227999951396,0.040948760883259716,0.04394892906893899,-0.08455278367025187,0.060300220946945426,0.13141512447124115,-0.08455278367025187,0.13141512447124115,True,,,0.08455278367025187,0.13141512447124115
AAPL,2017-12-29,SELL,0.02,HEALTHY_DRIFT,39.55880356,2018-07-02,-0.010636442008712832,-0.01335464074889725,0.05926787791860111,-0.0009069341529904795,-0.08320081306321503,0.07818254071584962,0.11486038279970678,-0.08320081306321503,0.15536190902938407,True,,,0.08320081306321503,0.11486038279970678
AAPL,2018-02-05,BUY,0.03,OPPORTUNITY_SCATTER,36.58071899,2018-08-06,0.12303408282462502,-0.008562982320977186,0.14831403727967007,0.18803084575457096,-0.008562982320977186,0.18803084575457096,0.3466156855327571,-0.008562982320977186,0.3466156855327571,True,0.3466156855327571,-0.008562982320977186,,
AAPL,2018-02-26,SELL,0.01,HEALTHY_DRIFT,42.00615311,2018-08-24,-0.059395308431755556,-0.0783929873648932,0.015365801726946238,0.057759224550900656,-0.09303219577775801,0.06185415606128086,0.2167101763915844,-0.09303219577775801,0.22470279449971753,True,,,0.09303219577775801,0.2167101763915844
AAPL,2018-04-02,BUY,0.03,OPPORTUNITY_SCATTER,39.12155533,2018-09-28,0.014519358067659027,-0.02615762260390686,0.06935481621609663,0.1148537058943151,-0.02615762260390686,0.16827499352899578,0.3643226484676678,-0.02615762260390686,0.380157400557009,True,0.3643226484676678,-0.02615762260390686,,
AAPL,2018-05-01,BUY,0.04,OPPORTUNITY_SCATTER,39.6895752,2018-10-29,0.10934669439344358,0.04417464790603254,0.12383183834126799,0.12964948211388272,0.04417464790603254,0.15654160768140457,0.2643736524547131,0.04417464790603254,0.38250625872155974,True,0.2643736524547131,0.04417464790603254,,
AAPL,2018-05-08,SELL,0.01,HEALTHY_DRIFT,43.66791153,2018-11-05,0.043837571638498884,0.00525889061221152,0.046643477982698966,0.11748781222283466,-0.01707899012957448,0.12806333653392388,0.09151885056958653,-0.01707899012957448,0.2565539362308038,False,,,0.01707899012957448,0.09151885056958653
AAPL,2018-06-07,SELL,0.02,HEALTHY_DRIFT,45.58220673,2018-12-06,-0.014886641711301829,-0.058358276635370854,-0.0060992869793867754,0.1572542437986526,-0.058358276635370854,0.1845390555535309,-0.09053793346261729,-0.10318658260361069,0.2037830121964348,True,,,0.10318658260361069,0.0
AAPL,2018-07-16,SELL,0.01,HEALTHY_DRIFT,44.98138046,2019-01-15,0.10253859558849143,-0.005237796785928062,0.10253859558849143,0.16750824036403977,-0.005237796785928062,0.21986220873755746,-0.19258914758526724,-0.24997873486784494,0.21986220873755746,True,,,0.24997873486784494,0.0
