ticker,active_report_periods,nonzero_report_periods,nonzero_fraction,evaluation_eligible
JCI,52,52,1.0,true
JKHY,52,52,1.0,true
JNJ,52,52,1.0,true
JPM,52,52,1.0,true
KDP,52,52,1.0,true
KEY,52,52,1.0,true
KIM,52,52,1.0,true
KKR,8,8,1.0,true
KLAC,52,52,1.0,true
KMB,52,52,1.0,true
KMI,52,52,1.0,true
KO,52,52,1.0,true
KR,52,52,1.0,true
L,52,52,1.0,true
LDOS,52,52,1.0,true
LEN,52,52,1.0,true
LH,52,52,1.0,true
LHX,52,52,1.0,true
LII,52,52,1.0,true
LIN,52,27,0.5192307692,false
LLY,52,52,1.0,true
LMT,52,52,1.0,true
LNT,52,52,1.0,true
LOW,52,52,1.0,true
LRCX,52,52,1.0,true
LULU,52,52,1.0,true
LUV,52,52,1.0,true
LVS,52,52,1.0,true
LYV,52,52,1.0,true
MA,52,52,1.0,true
MAA,1,1,1.0,true
MAR,52,52,1.0,true
MAS,52,52,1.0,true
MCD,52,52,1.0,true
MCHP,52,52,1.0,true
MCK,52,52,1.0,true
MCO,52,52,1.0,true
MDLZ,52,52,1.0,true
MDT,52,52,1.0,true
MET,52,52,1.0,true
META,52,52,1.0,true
MGM,52,52,1.0,true
MKC,52,52,1.0,true
MLM,52,52,1.0,true
MMM,52,52,1.0,true
MNST,52,52,1.0,true
MO,52,52,1.0,true
MOS,52,52,1.0,true
MPC,52,52,1.0,true
MPWR,52,52,1.0,true
MRK,52,52,1.0,true
MRSH,52,52,1.0,true
MRVL,52,52,1.0,true
MS,52,52,1.0,true
MSCI,52,52,1.0,true
MSFT,52,52,1.0,true
MSI,52,52,1.0,true
MTB,52,52,1.0,true
MTD,52,52,1.0,true
MU,52,52,1.0,true
NDAQ,52,52,1.0,true
NDSN,52,52,1.0,true
NEE,52,52,1.0,true
NEM,52,52,1.0,true
NFLX,52,52,1.0,true
NI,52,52,1.0,true
NKE,52,52,1.0,true
NOC,52,52,1.0,true
NRG,52,52,1.0,true
NSC,52,52,1.0,true
NTAP,52,52,1.0,true
NTRS,52,52,1.0,true
NUE,52,52,1.0,true
NVDA,52,52,1.0,true
NVR,52,52,1.0,true
NXPI,52,52,1.0,true
O,52,52,1.0,true
ODFL,52,52,1.0,true
OKE,52,52,1.0,true
OMC,52,52,1.0,true
ON,52,52,1.0,true
ORCL,52,52,1.0,true
ORLY,52,52,1.0,true
OXY,52,52,1.0,true
PAYX,52,52,1.0,true
PCAR,52,52,1.0,true
PCG,52,52,1.0,true
PEG,52,52,1.0,true
PEP,52,52,1.0,true
PFE,52,52,1.0,true
PFG,52,52,1.0,true
PG,52,52,1.0,true
PGR,52,52,1.0,true
PH,52,52,1.0,true
PHM,52,52,1.0,true
PKG,52,52,1.0,true
PLD,52,52,1.0,true
PM,52,52,1.0,true
PNC,52,52,1.0,true
PNR,52,52,1.0,true
PNW,52,52,1.0,true
PODD,52,52,1.0,true
PPG,52,52,1.0,true
PPL,52,52,1.0,true
PRU,52,52,1.0,true
PSA,52,52,1.0,true
PSKY,3,3,1.0,true
PTC,52,52,1.0,true
PWR,52,52,1.0,true
QCOM,52,52,1.0,true
RCL,52,52,1.0,true
REG,52,52,1.0,true
REGN,52,52,1.0,true
RF,52,52,1.0,true
RJF,52,52,1.0,true
RL,52,52,1.0,true
RMD,52,52,1.0,true
ROK,52,52,1.0,true
ROL,52,52,1.0,true
ROP,52,52,1.0,true
ROST,52,52,1.0,true
RSG,52,52,1.0,true
RTX,52,52,1.0,true
RVTY,52,52,1.0,true
SBAC,52,52,1.0,true
SBUX,52,52,1.0,true
SCHW,52,52,1.0,true
SHW,52,52,1.0,true
SJM,52,52,1.0,true
SLB,52,52,1.0,true
SMCI,52,52,1.0,true
SNA,52,52,1.0,true
SNPS,52,52,1.0,true
SO,52,52,1.0,true
SPG,52,52,1.0,true
