ticker,signal_date,fold_id,business_state,business_month_end,common_return_63d,residual_return_63d,systematic_fraction,group,FORWARD_TOTAL_RETURN,FORWARD_TROUGH_RETURN,outcome_end
GS,2021-01-29,F02,UNKNOWN,2020-12-31,0.22109303549326248,0.14127616864722,,EXCLUDED_UNKNOWN_OR_MIDDLE,0.3925708596439794,0.013128373028740592,2021-07-30
GS,2022-12-30,F03,UNKNOWN,2022-11-30,0.13241068187498295,0.03262027402576558,,EXCLUDED_UNKNOWN_OR_MIDDLE,-0.054120578697029686,-0.1096935826343659,2023-07-05
GS,2025-03-31,F04,UNKNOWN,2025-02-28,-0.005252338604410902,-0.05179781273083058,0.0920652878472977,EXCLUDED_UNKNOWN_OR_MIDDLE,0.47285086146463073,-0.15389253975299644,2025-09-30
HD,2018-02-28,F01,PASS,2018-01-31,0.0880250495093473,-0.037456710420925785,0.0,HEALTHY_FIRM_SPECIFIC,0.12063986090327083,-0.05206722177338485,2018-08-28
HD,2018-10-31,F01,PASS,2018-09-30,-0.047421050576924965,-0.054042372112799004,0.46737089406040394,EXCLUDED_UNKNOWN_OR_MIDDLE,0.1503267321399515,-0.09548590572300697,2019-05-06
HD,2020-02-28,F02,PASS,2020-01-31,-0.043016444198032425,0.03607644305409753,1.0,HEALTHY_SYSTEMATIC,0.34179262694879076,-0.29687867202867335,2020-08-27
HD,2021-02-26,F02,PASS,2021-01-31,0.03147374877736353,-0.08236626280943925,0.0,HEALTHY_FIRM_SPECIFIC,0.2587708808366247,-0.0286829188343265,2021-08-26
HD,2022-01-31,F03,PASS,2021-12-31,-0.037137340432132626,0.028377034639540846,1.0,HEALTHY_SYSTEMATIC,-0.17043088217118985,-0.25796432347857445,2022-08-02
HD,2023-02-28,F03,PASS,2023-01-31,-0.0013744034279118112,-0.08847428854072785,0.01529686629596707,HEALTHY_FIRM_SPECIFIC,0.1268419487170791,-0.04615380783810741,2023-08-29
HD,2024-05-31,F04,VETO,2024-04-30,0.004076951122439953,-0.12925757117987763,0.0,DAMAGED_FIRM_SPECIFIC,0.2960552305920514,-0.023411975955235698,2024-11-29
HD,2025-03-31,F04,PASS,2025-02-28,-0.0929830717328676,0.024040158981391595,1.0,HEALTHY_SYSTEMATIC,0.11877855161655848,-0.08526837122977327,2025-09-30
HON,2018-03-29,F01,PASS,2018-02-28,-0.012709864086810284,-0.04572151479662069,0.21751778461648355,HEALTHY_FIRM_SPECIFIC,0.15570860675095943,-0.01439335610076209,2018-09-27
HON,2018-10-31,F01,PASS,2018-09-30,-0.06417627074727035,0.037767404382597014,1.0,HEALTHY_SYSTEMATIC,0.2049471033387229,-0.13321580233272334,2019-05-06
HON,2020-02-28,F02,PASS,2020-01-31,-0.09651834994720428,0.0058611867047072,1.0,HEALTHY_SYSTEMATIC,0.03693186871147924,-0.3595608713379056,2020-08-27
HON,2023-02-28,F03,PASS,2023-01-31,0.0031492892602213896,-0.13693795702086192,0.0,HEALTHY_FIRM_SPECIFIC,0.000401942776480535,-0.03572171921546141,2023-08-29
HON,2025-04-30,F04,PASS,2025-03-31,-0.043928034332147314,0.000362390130595594,1.0,HEALTHY_SYSTEMATIC,0.02181305127540001,-0.03568762054760466,2025-10-29
JNJ,2018-02-28,F01,PASS,2018-01-31,0.02600141310717352,-0.08098591700622591,0.0,HEALTHY_FIRM_SPECIFIC,0.04879905427076747,-0.07387162329387198,2018-08-28
JNJ,2018-12-31,F01,PASS,2018-11-30,-0.050470907304925844,-0.011466216785935639,0.8148732774690225,HEALTHY_SYSTEMATIC,0.09975384361359207,-0.025803986427177517,2019-07-02
JNJ,2020-03-31,F02,PASS,2020-02-29,-0.09732937962535254,0.0010745740842520203,1.0,HEALTHY_SYSTEMATIC,0.136772444361428,-0.01769251329353272,2020-09-29
JNJ,2020-10-30,F02,PASS,2020-09-30,-0.050247756915305496,-0.015145773012955149,0.7683903433631634,HEALTHY_SYSTEMATIC,0.23980171024657282,0.010137954288808926,2021-05-04
JNJ,2022-08-31,F03,PASS,2022-07-31,-0.026246265612123055,-0.06369643293757743,0.2918109644844591,HEALTHY_FIRM_SPECIFIC,-0.03229767712638232,-0.04216193635633192,2023-03-03
JNJ,2023-03-31,F03,PASS,2023-02-28,-0.05883380984110632,-0.06988294903767198,0.457079640239499,EXCLUDED_UNKNOWN_OR_MIDDLE,0.01584232598255264,0.0033196881476114104,2023-10-02
JNJ,2024-12-31,F04,PASS,2024-11-30,-0.1087424292947802,0.0033090771757621536,1.0,HEALTHY_SYSTEMATIC,0.09151335455783793,-0.017701530276435395,2025-07-07
JPM,2018-06-29,F01,UNKNOWN,2018-05-31,-0.026059696281450728,-0.003310971931322495,0.8872694380891695,EXCLUDED_UNKNOWN_OR_MIDDLE,-0.0514606345805253,-0.10470785614366263,2018-12-31
JPM,2018-12-31,F01,UNKNOWN,2018-11-30,-0.14052944715186738,0.002619340433157269,1.0,EXCLUDED_UNKNOWN_OR_MIDDLE,0.1842044297949852,0.002854349185921423,2019-07-02
JPM,2020-02-28,F02,UNKNOWN,2020-01-31,-0.14592825792664066,0.026566995013517766,1.0,EXCLUDED_UNKNOWN_OR_MIDDLE,-0.10066955632170838,-0.3193523143331777,2020-08-27
JPM,2022-01-31,F03,UNKNOWN,2021-12-31,-0.026004466625152257,-0.10191222633550452,0.2032922054446047,EXCLUDED_UNKNOWN_OR_MIDDLE,-0.23105464158967015,-0.2613530150599661,2022-08-02
JPM,2025-03-31,F04,UNKNOWN,2025-02-28,0.03836824605586481,-0.024372258662473337,0.0,EXCLUDED_UNKNOWN_OR_MIDDLE,0.3000482745996236,-0.13748381984446845,2025-09-30
KO,2018-02-28,F01,UNKNOWN,2018-01-31,-0.013787624535858519,-0.03820869826177404,0.26516537697327863,EXCLUDED_UNKNOWN_OR_MIDDLE,0.06844350238051145,-0.030153136721924878,2018-08-28
KO,2019-02-28,F01,VETO,2019-01-31,-0.004749181361721813,-0.062348408366023456,0.07078020806696723,DAMAGED_FIRM_SPECIFIC,0.23566527469834497,-0.011027968439156655,2019-08-28
KO,2020-02-28,F02,PASS,2020-01-31,-0.057059527849894126,0.0568660747906992,1.0,HEALTHY_SYSTEMATIC,-0.08216530641283293,-0.29165433769476534,2020-08-27
KO,2021-01-29,F02,VETO,2020-12-31,0.06451560895127127,-0.052751549901444594,0.0,DAMAGED_FIRM_SPECIFIC,0.20328098656988058,0.006853383388031764,2021-07-30
KO,2022-09-30,F03,PASS,2022-08-31,-0.08707091724328714,-0.044758988506898564,0.660479249740831,EXCLUDED_UNKNOWN_OR_MIDDLE,0.13039256100873642,-0.0290967512993886,2023-04-03
KO,2024-11-29,F04,VETO,2024-10-31,0.001886000204028185,-0.11053809669564396,0.0,DAMAGED_FIRM_SPECIFIC,0.1219831361424557,-0.05102995358139284,2025-06-04
LIN,2018-03-29,F01,UNKNOWN,2018-02-28,-0.06196027454302153,0.001085076691908918,1.0,EXCLUDED_UNKNOWN_OR_MIDDLE,0.13651657082652457,-0.015245856654154788,2018-09-27
LIN,2020-02-28,F02,PASS,2020-01-31,-0.12716243486261886,0.06004770538525046,1.0,HEALTHY_SYSTEMATIC,0.32610790971132975,-0.21100417084478384,2020-08-27
LIN,2020-10-30,F02,VETO,2020-09-30,0.03524373101115647,-0.1347549530253951,0.0,DAMAGED_FIRM_SPECIFIC,0.2947177985895546,0.03739678763553855,2021-05-04
LIN,2022-02-28,F03,PASS,2022-01-31,-0.03380336356855443,-0.051970289557560195,0.3940996137689589,EXCLUDED_UNKNOWN_OR_MIDDLE,-0.011989580844537495,-0.07587665449143177,2022-08-29
LIN,2024-12-31,F04,PASS,2024-11-30,-0.09162324235810687,-0.03162220427426848,0.7434209121851513,HEALTHY_SYSTEMATIC,0.12895395892287875,-0.013757818494812835,2025-07-07
LLY,2018-02-28,F01,PASS,2018-01-31,0.02692263478464586,-0.11585564999805321,0.0,HEALTHY_FIRM_SPECIFIC,0.38263402827728377,-0.029343452213839383,2018-08-28
LLY,2019-04-30,F01,PASS,2019-03-31,-0.04129913773449428,0.05813342012248306,1.0,HEALTHY_SYSTEMATIC,-0.023745418445956568,-0.0824583709433816,2019-10-28
LLY,2020-02-28,F02,PASS,2020-01-31,-0.05227838552916945,0.13181839032123815,1.0,HEALTHY_SYSTEMATIC,0.19242778469711497,-0.0561323941069749,2020-08-27
LLY,2020-08-31,F02,PASS,2020-07-31,0.02400197750879575,-0.055338450746208155,0.0,HEALTHY_FIRM_SPECIFIC,0.3739862974022583,-0.12083015280944698,2021-03-03
LLY,2021-03-31,F02,PASS,2021-02-28,0.020985555270228332,0.09785169341365148,,EXCLUDED_UNKNOWN_OR_MIDDLE,0.24250657366041728,-0.03356165020483581,2021-09-29
LLY,2023-02-28,F03,PASS,2023-01-31,-0.10240418584955342,-0.054447669463471945,0.6528720087192333,EXCLUDED_UNKNOWN_OR_MIDDLE,0.7882245068003602,-0.0018957288700347519,2023-08-29
LLY,2024-07-31,F04,PASS,2024-06-30,0.09011474952662804,-0.05917990762838424,0.0,HEALTHY_FIRM_SPECIFIC,0.011548936094177398,-0.09490894488710644,2025-01-31
LLY,2025-01-31,F04,PASS,2024-12-31,0.0004176368837543864,-0.10676080161317814,0.0,HEALTHY_FIRM_SPECIFIC,-0.0483006588861562,-0.11672638944639702,2025-08-04
MA,2018-10-31,F01,PASS,2018-09-30,-0.040606441754474386,0.020045424624601925,1.0,HEALTHY_SYSTEMATIC,0.2617881533580313,-0.1164567119663632,2019-05-06
MA,2020-02-28,F02,PASS,2020-01-31,-0.03447574855497426,0.03881105465200929,1.0,HEALTHY_SYSTEMATIC,0.23006574261814006,-0.29956915386512006,2020-08-27
MA,2020-10-30,F02,VETO,2020-09-30,-0.0036029872512340893,-0.07494535501934985,0.045869679067477846,DAMAGED_FIRM_SPECIFIC,0.30554767049479215,0.004607820756150849,2021-05-04
MA,2022-06-30,F03,PASS,2022-05-31,-0.23924877264812353,0.10242398315877695,1.0,HEALTHY_SYSTEMATIC,0.10722179139801136,-0.09892133912495293,2022-12-29
MCD,2018-02-28,F01,VETO,2018-01-31,0.03399177228634247,-0.0904554132005308,0.0,DAMAGED_FIRM_SPECIFIC,0.031233217681395198,-0.060035779406489076,2018-08-28
MCD,2020-05-29,F02,PASS,2020-04-30,0.07354958213229579,-0.10817261042088311,0.0,HEALTHY_FIRM_SPECIFIC,0.1841090159798393,-0.0353156174177186,2020-11-25
MCD,2022-09-30,F03,VETO,2022-08-31,-0.04630713531582541,-0.04017371279268768,0.5354611608077764,EXCLUDED_UNKNOWN_OR_MIDDLE,0.2367479053733481,0.010617912961046194,2023-04-03
MCD,2024-05-31,F04,PASS,2024-04-30,0.016224850754290955,-0.13221663070823875,0.0,HEALTHY_FIRM_SPECIFIC,0.15750122314377601,-0.04432004569753545,2024-11-29
META,2018-03-29,F01,PASS,2018-02-28,,,,EXCLUDED_UNKNOWN_OR_MIDDLE,0.05663685869899826,-0.029350909023182492,2018-09-27
META,2018-09-28,F01,PASS,2018-08-31,,,,EXCLUDED_UNKNOWN_OR_MIDDLE,0.05922431866985445,-0.24565246905509397,2019-04-02
META,2020-03-31,F02,PASS,2020-02-29,-0.19613755057299834,-0.007194603510739098,0.9646164988358104,HEALTHY_SYSTEMATIC,0.5694839737989899,-0.07565977426548642,2020-09-29
META,2020-09-30,F02,PASS,2020-08-31,0.07802307269681358,0.019561481709742985,,EXCLUDED_UNKNOWN_OR_MIDDLE,0.1403587981242027,-0.06208487531801843,2021-04-01
META,2024-04-30,F04,PASS,2024-03-31,-0.010158940743785379,0.08378531144785362,1.0,HEALTHY_SYSTEMATIC,0.3818621210675339,0.02096843354275424,2024-10-29
META,2025-03-31,F04,PASS,2025-02-28,-0.027930920986912203,-0.016944767815640784,0.6224065130187642,EXCLUDED_UNKNOWN_OR_MIDDLE,0.27600987021531065,-0.15910196467175963,2025-09-30
MRK,2020-02-28,F02,PASS,2020-01-31,-0.04656896876826404,-0.07833130384425989,0.3728492163722828,EXCLUDED_UNKNOWN_OR_MIDDLE,0.13919535112632397,-0.1255415634911996,2020-08-27
MRK,2020-10-30,F02,PASS,2020-09-30,-0.04920814936600508,-0.03654403420974267,0.5738413567339412,EXCLUDED_UNKNOWN_OR_MIDDLE,0.027297515703693875,-0.03284234162398558,2021-05-04
MRK,2022-08-31,F03,PASS,2022-07-31,-0.027578985943543945,-0.029789480600169366,0.480734236159676,EXCLUDED_UNKNOWN_OR_MIDDLE,0.27056585569592273,-0.001740225589335509,2023-03-03
