ticker,cik,fold_id,as_of,source_status,strict_fact_rows,ready_groups,required_groups,missing_or_stale_groups,feature_status,evidence_json
CRM,0001108524,F01,2020-08-18,MISSING_ACCEPTANCE_LINKS,11489,5,5,,BUSINESS_GUARD_READY_WITH_DISCLOSED_EXCLUSIONS,"{""revenue"":{""concepts"":[""RevenueFromContractWithCustomerExcludingAssessedTax"",""RevenueFromContractWithCustomerIncludingAssessedTax"",""Revenues"",""SalesRevenueServicesNet""],""latest_accepted_at"":""2020-03-05T21:29:57+00:00"",""age_days"":165,""ready"":true},""earnings"":{""concepts"":[""NetIncomeLoss""],""latest_accepted_at"":""2020-03-05T21:29:57+00:00"",""age_days"":165,""ready"":true},""operating_cash_flow"":{""concepts"":[""NetCashProvidedByUsedInOperatingActivities""],""latest_accepted_at"":""2020-03-05T21:29:57+00:00"",""age_days"":165,""ready"":true},""assets"":{""concepts"":[""Assets""],""latest_accepted_at"":""2020-03-05T21:29:57+00:00"",""age_days"":165,""ready"":true},""liabilities_or_debt"":{""concepts"":[""Liabilities"",""LiabilitiesAndStockholdersEquity"",""LongTermDebt"",""LongTermDebtCurrent"",""LongTermDebtNoncurrent""],""latest_accepted_at"":""2020-03-05T21:29:57+00:00"",""age_days"":165,""ready"":true}}"
CRM,0001108524,F02,2021-08-18,MISSING_ACCEPTANCE_LINKS,12697,5,5,,BUSINESS_GUARD_READY_WITH_DISCLOSED_EXCLUSIONS,"{""revenue"":{""concepts"":[""RevenueFromContractWithCustomerExcludingAssessedTax"",""RevenueFromContractWithCustomerIncludingAssessedTax"",""Revenues"",""SalesRevenueServicesNet""],""latest_accepted_at"":""2021-06-02T12:08:29+00:00"",""age_days"":76,""ready"":true},""earnings"":{""concepts"":[""NetIncomeLoss""],""latest_accepted_at"":""2021-06-02T12:08:29+00:00"",""age_days"":76,""ready"":true},""operating_cash_flow"":{""concepts"":[""NetCashProvidedByUsedInOperatingActivities""],""latest_accepted_at"":""2021-06-02T12:08:29+00:00"",""age_days"":76,""ready"":true},""assets"":{""concepts"":[""Assets""],""latest_accepted_at"":""2021-06-02T12:08:29+00:00"",""age_days"":76,""ready"":true},""liabilities_or_debt"":{""concepts"":[""Liabilities"",""LiabilitiesAndStockholdersEquity"",""LongTermDebt"",""LongTermDebtCurrent"",""LongTermDebtNoncurrent""],""latest_accepted_at"":""2021-06-02T12:08:29+00:00"",""age_days"":76,""ready"":true}}"
CRM,0001108524,F03,2022-08-18,MISSING_ACCEPTANCE_LINKS,15260,5,5,,BUSINESS_GUARD_READY_WITH_DISCLOSED_EXCLUSIONS,"{""revenue"":{""concepts"":[""RevenueFromContractWithCustomerExcludingAssessedTax"",""RevenueFromContractWithCustomerIncludingAssessedTax"",""Revenues"",""SalesRevenueServicesNet""],""latest_accepted_at"":""2022-06-01T20:52:04+00:00"",""age_days"":77,""ready"":true},""earnings"":{""concepts"":[""NetIncomeLoss""],""latest_accepted_at"":""2022-06-01T20:52:04+00:00"",""age_days"":77,""ready"":true},""operating_cash_flow"":{""concepts"":[""NetCashProvidedByUsedInOperatingActivities""],""latest_accepted_at"":""2022-06-01T20:52:04+00:00"",""age_days"":77,""ready"":true},""assets"":{""concepts"":[""Assets""],""latest_accepted_at"":""2022-06-01T20:52:04+00:00"",""age_days"":77,""ready"":true},""liabilities_or_debt"":{""concepts"":[""Liabilities"",""LiabilitiesAndStockholdersEquity"",""LongTermDebt"",""LongTermDebtCurrent"",""LongTermDebtNoncurrent""],""latest_accepted_at"":""2022-06-01T20:52:04+00:00"",""age_days"":77,""ready"":true}}"
CRM,0001108524,F04,2023-08-18,MISSING_ACCEPTANCE_LINKS,16886,5,5,,BUSINESS_GUARD_READY_WITH_DISCLOSED_EXCLUSIONS,"{""revenue"":{""concepts"":[""RevenueFromContractWithCustomerExcludingAssessedTax"",""RevenueFromContractWithCustomerIncludingAssessedTax"",""Revenues"",""SalesRevenueServicesNet""],""latest_accepted_at"":""2023-05-31T22:24:31+00:00"",""age_days"":78,""ready"":true},""earnings"":{""concepts"":[""NetIncomeLoss""],""latest_accepted_at"":""2023-05-31T22:24:31+00:00"",""age_days"":78,""ready"":true},""operating_cash_flow"":{""concepts"":[""NetCashProvidedByUsedInOperatingActivities""],""latest_accepted_at"":""2023-05-31T22:24:31+00:00"",""age_days"":78,""ready"":true},""assets"":{""concepts"":[""Assets""],""latest_accepted_at"":""2023-05-31T22:24:31+00:00"",""age_days"":78,""ready"":true},""liabilities_or_debt"":{""concepts"":[""Liabilities"",""LiabilitiesAndStockholdersEquity"",""LongTermDebt"",""LongTermDebtCurrent"",""LongTermDebtNoncurrent""],""latest_accepted_at"":""2023-05-31T22:24:31+00:00"",""age_days"":78,""ready"":true}}"
CRM,0001108524,F05,2024-08-19,MISSING_ACCEPTANCE_LINKS,18499,5,5,,BUSINESS_GUARD_READY_WITH_DISCLOSED_EXCLUSIONS,"{""revenue"":{""concepts"":[""RevenueFromContractWithCustomerExcludingAssessedTax"",""RevenueFromContractWithCustomerIncludingAssessedTax"",""Revenues"",""SalesRevenueServicesNet""],""latest_accepted_at"":""2024-05-29T22:48:20+00:00"",""age_days"":81,""ready"":true},""earnings"":{""concepts"":[""NetIncomeLoss""],""latest_accepted_at"":""2024-05-29T22:48:20+00:00"",""age_days"":81,""ready"":true},""operating_cash_flow"":{""concepts"":[""NetCashProvidedByUsedInOperatingActivities""],""latest_accepted_at"":""2024-05-29T22:48:20+00:00"",""age_days"":81,""ready"":true},""assets"":{""concepts"":[""Assets""],""latest_accepted_at"":""2024-05-29T22:48:20+00:00"",""age_days"":81,""ready"":true},""liabilities_or_debt"":{""concepts"":[""Liabilities"",""LiabilitiesAndStockholdersEquity"",""LongTermDebt"",""LongTermDebtCurrent"",""LongTermDebtNoncurrent""],""latest_accepted_at"":""2024-05-29T22:48:20+00:00"",""age_days"":81,""ready"":true}}"
