ticker,episode_id,signal_date,last_observed_session,source_regime,SECTOR_RS_DAMAGE_DELTA_4W,TREND_QUALITY_DELTA_4W,PARTICIPATION_WEAKENING_DELTA_4W,MARKET_STRESS_DELTA_4W,path_label,mae_126d,mfe_126d,terminal_return_126d,low_before_high,recovered_after_low,time_to_low_sessions,time_to_high_sessions,outcome_end,sector_etf,issuerCik,purchaseSupport90d,purchaseSupportOwnerCount90d,purchaseSupportEventCount90d,latestPurchaseSupportFilingDate,adversePath,foldId
IDXX,IDXX-V61-008,2021-06-15,2021-06-15,HEALTHY_RUSH,-0.113500201224012,-0.023688070649259,-0.2868367880824503,-0.0952185107459426,CONTINUATION,-0.0096579740407116,0.1916388041095797,0.0220849236544216,False,True,120,36,2021-12-13,XLV,0000874716,0,0,0,,0,OOS_2019_2021
IEX,IEX-V61-001,2017-05-23,2017-05-23,HEALTHY_RUSH,0.002439859236121,0.1755515181666208,0.1535055912581384,-0.0013930979450041,CONTINUATION,-0.0085594031455412,0.1966682647776716,0.1951865115303968,True,True,3,109,2017-11-20,XLI,0000832101,0,0,0,,0,OOS_2016_2018
IEX,IEX-V61-002,2017-09-21,2017-09-21,HEALTHY_RUSH,-0.0018526298546717,-0.0384966139739334,-0.7744830326419072,-0.0109065630028981,CONTINUATION,-0.0136417999016628,0.2280375079364602,0.1660514654957559,True,True,6,123,2018-03-23,XLI,0000832101,0,0,0,,0,OOS_2016_2018
INCY,INCY-V61-001,2017-03-20,2017-03-20,HEALTHY_RUSH,-0.0505795398243942,-0.0061415301405042,-0.5346969051100934,0.0071645072466139,STRUCTURAL_BREAK,-0.2244142266026045,-0.046929713157839,-0.2028009825475073,False,False,38,11,2017-09-18,XLV,0000879169,0,0,0,,1,OOS_2016_2018
INCY,INCY-V61-002,2023-02-01,2023-02-01,HEALTHY_RUSH,-0.0314599217235012,0.5684025060294249,-0.5176802070595641,-0.4729049822042812,STRUCTURAL_BREAK,-0.2879672681143682,-0.0129672970775697,-0.2408877976467095,False,False,101,1,2023-08-03,XLV,0000879169,0,0,0,,1,OOS_2022_2023
INCY,INCY-V61-003,2025-08-26,2025-08-26,HEALTHY_RUSH,0.0208118585867025,0.4058282779968371,-0.5989718341292276,-0.0520329612651094,CONTINUATION,-0.0278570992857142,0.3163095202380952,0.1915475749999999,True,True,21,92,2026-02-26,XLV,0000879169,0,0,0,,0,OOS_2024_2026Q2
INTC,INTC-V61-001,2016-09-07,2016-09-07,NORMAL_RUSH,-0.0253795111592822,0.0182840145680424,-0.1437111420389574,-0.0419745528699731,TEMPORARY_PULLBACK,-0.0711880457379614,0.0495764095125261,-0.0030483426244636,True,True,42,98,2017-03-09,XLK,0000050863,0,0,0,,0,OOS_2016_2018
INTC,INTC-V61-002,2017-10-02,2017-10-02,HEALTHY_RUSH,-0.0690750087248348,0.0562784124672866,-0.6023746014066265,-0.011371717526393,CONTINUATION,0.0038422307689807,0.3614025595077748,0.2968083353708244,True,True,8,120,2018-04-04,XLK,0000050863,0,0,0,,0,OOS_2016_2018
INTC,INTC-V61-003,2019-04-25,2019-04-25,HEALTHY_RUSH,-0.0415976621108415,0.1139407412306671,-0.0161440096641333,-0.1881994938239999,LARGE_PULLBACK,-0.2409972303860299,-0.0679614783513224,-0.0906426243587893,True,False,26,97,2019-10-23,XLK,0000050863,0,0,0,,1,OOS_2019_2021
INTC,INTC-V61-004,2019-11-26,2019-11-26,HEALTHY_RUSH,0.0188881979542785,0.2617550398936772,0.0087732669737999,-0.167475008219091,LARGE_PULLBACK,-0.2388848896593306,0.1624786304297774,0.0797475108920946,False,True,74,39,2020-05-29,XLK,0000050863,0,0,0,,1,OOS_2019_2021
INTC,INTC-V61-005,2021-03-17,2021-03-17,HEALTHY_RUSH,-0.0376681052666931,0.2964878929090535,-0.0514142172943349,0.0312988495443,STRUCTURAL_BREAK,-0.1992949270217333,0.0377013783785227,-0.1514155812773412,False,False,109,16,2021-09-15,XLK,0000050863,1,1,1,2021-01-27,1,OOS_2019_2021
INTC,INTC-V61-006,2024-01-17,2024-01-17,HEALTHY_RUSH,0.0644685580026831,0.0609047383575822,0.1757925986920519,-0.0266485057685501,STRUCTURAL_BREAK,-0.347392650219848,0.0757706814694676,-0.2376409804368477,False,False,80,6,2024-07-18,XLK,0000050863,0,0,0,,1,OOS_2024_2026Q2
INTC,INTC-V61-007,2025-10-21,2025-10-21,HEALTHY_RUSH,-0.0376587076930956,0.202896587546736,-0.1802450473798355,0.0581015220657192,LARGE_PULLBACK,-0.1180482719389205,0.7969570284035681,0.7518363235693826,True,True,22,121,2026-04-23,XLK,0000050863,0,0,0,,1,OOS_2024_2026Q2
INTU,INTU-V61-001,2017-05-31,2017-05-31,HEALTHY_RUSH,-0.0560293326924989,0.0320090771446103,-0.1536730710076757,0.0044021479700524,TEMPORARY_PULLBACK,-0.0654250999121285,0.1278478324139196,0.1136230159737707,True,True,25,121,2017-11-28,XLK,0000896878,0,0,0,,0,OOS_2016_2018
INTU,INTU-V61-002,2017-10-30,2017-10-30,HEALTHY_RUSH,-0.0234439992923289,-0.0360239105851794,-0.6305509996797101,-0.0058192624110404,CONTINUATION,-0.0028398418531352,0.2421477272823031,0.2334571549339374,True,True,1,125,2018-05-02,XLK,0000896878,0,0,0,,0,OOS_2016_2018
INTU,INTU-V61-003,2018-05-02,2018-05-02,HEALTHY_RUSH,-0.0124226081421006,-0.0650760934396547,0.0613390356439653,-0.0115236905851842,CONTINUATION,0.0024202711869465,0.2464595207007827,0.0951487970451472,True,True,1,107,2018-10-30,XLK,0000896878,0,0,0,,0,OOS_2016_2018
INTU,INTU-V61-004,2019-03-18,2019-03-18,HEALTHY_RUSH,0.0077322604628233,0.212375087763342,0.0315503087713725,-0.0252422794288096,TEMPORARY_PULLBACK,-0.079008949013681,0.1382365274085604,0.0350864430833854,True,True,39,119,2019-09-16,XLK,0000896878,0,0,0,,0,OOS_2019_2021
INTU,INTU-V61-005,2019-07-31,2019-07-31,HEALTHY_RUSH,-0.0419439018630778,-0.0240540115337644,-0.3013123481823258,0.0049452278263209,TEMPORARY_PULLBACK,-0.089781972791215,0.0540908491600133,0.0377272434950941,False,True,93,25,2020-01-30,XLK,0000896878,0,0,0,,0,OOS_2019_2021
INTU,INTU-V61-006,2021-06-15,2021-06-15,HEALTHY_RUSH,0.0048974432772319,0.0148349889576817,-0.2007657086908624,-0.0952185107459426,CONTINUATION,-0.0029105505829485,0.4793744939117927,0.4241742735681932,True,True,1,116,2021-12-13,XLK,0000896878,0,0,0,,0,OOS_2019_2021
INTU,INTU-V61-007,2021-11-11,2021-11-11,HEALTHY_RUSH,-0.0009320051681318,-0.0215050210380004,-0.5372050220185639,-0.045828519128198,STRUCTURAL_BREAK,-0.4153801275861268,0.144660232027844,-0.3858591568536919,False,False,125,11,2022-05-13,XLK,0000896878,0,0,0,,1,OOS_2019_2021
INTU,INTU-V61-008,2025-07-28,2025-07-28,HEALTHY_RUSH,0.032799301799719,0.2384829606968297,-0.211925232572218,-0.1695238075572843,STRUCTURAL_BREAK,-0.3403930851939691,0.0108422740654652,-0.3146580808948127,False,False,122,2,2026-01-27,XLK,0000896878,0,0,0,,1,OOS_2024_2026Q2
IP,IP-V61-001,2016-12-21,2016-12-21,NORMAL_RUSH,-0.0385038415783776,0.0371818958702417,-0.2704796417045518,-0.0556197821307015,TEMPORARY_PULLBACK,-0.0717626736505291,0.0748842508373333,0.0726157761953394,False,True,77,22,2017-06-23,XLB,0000051434,0,0,0,,0,OOS_2016_2018
IP,IP-V61-002,2018-01-29,2018-01-29,HEALTHY_RUSH,-0.0424602481550175,0.3938729180384716,-0.2455330073240572,0.0010744864085198,STRUCTURAL_BREAK,-0.2231493462330454,-0.0135215046461022,-0.175787950002467,False,False,38,1,2018-07-30,XLB,0000051434,0,0,0,,1,OOS_2016_2018
IP,IP-V61-003,2021-01-14,2021-01-14,HEALTHY_RUSH,0.0256775271856717,-0.0008703893879246,0.1291289210459834,-0.0377556033968419,TEMPORARY_PULLBACK,-0.0646256840627831,0.317782271018362,0.2052665347850553,True,True,14,97,2021-07-16,XLB,0000051434,0,0,0,,0,OOS_2019_2021
