universe_role,event_kind,horizon_sessions,era_id,market_herd_stage,sector_herd_stage,episodes,tickers,signal_weeks,median_total_return,positive_return_fraction,median_maximum_favorable_excursion,median_maximum_adverse_excursion
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2019_2021,SCATTER,CALM,8,8,5,0.05264457125270955,0.875,0.05871559704328725,-0.01048650493736205
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2019_2021,SCATTER,FLEE,57,57,6,-0.0578960830810096,0.21052631578947367,0.082224185730068,-0.1540514564640552
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2019_2021,SCATTER,SCATTER,225,169,21,0.0121137976903291,0.6177777777777778,0.0557195788282685,-0.0231473421218524
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2022_2024,CALM,CALM,83,69,31,-0.0006191987099026,0.4939759036144578,0.0236142137286479,-0.0257894615789474
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2022_2024,CALM,FLEE,1,1,1,0.0283749530825145,1.0,0.0386929180281432,-0.0034393503037548
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2022_2024,CALM,SCATTER,131,102,40,-0.0065516676584028,0.4351145038167939,0.0170210917726112,-0.0264297756493289
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2022_2024,DRIFT,CALM,18,17,12,-0.00169282807891525,0.4444444444444444,0.0285226918746688,-0.033779743347997354
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2022_2024,DRIFT,DRIFT,1,1,1,0.0095846176372029,1.0,0.0140371536624821,-0.0091690893982808
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2022_2024,DRIFT,SCATTER,13,13,10,0.0087930129640645,0.7692307692307693,0.038376241919092,-0.0116012920127944
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2022_2024,SCATTER,CALM,10,9,7,-0.01005679015153045,0.4,0.03300092759930655,-0.02478230811217895
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2022_2024,SCATTER,FLEE,71,64,16,0.0054743384895756,0.5211267605633803,0.0449319296587695,-0.0268266214999673
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2022_2024,SCATTER,SCATTER,518,274,46,0.00296535827632855,0.527027027027027,0.03697550266885455,-0.0299448669995172
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2025_2026,CALM,CALM,108,89,38,0.00559788950917625,0.5462962962962963,0.0204736714541967,-0.0240090477017653
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2025_2026,CALM,DRIFT,1,1,1,0.0080291796119584,1.0,0.0467153015403225,-0.0262773927933277
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2025_2026,CALM,FLEE,11,11,1,0.0466559020114354,0.8181818181818182,0.0583002696004357,-0.0271139277129945
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2025_2026,CALM,SCATTER,212,165,46,0.00412044871980705,0.5330188679245284,0.029938430125851748,-0.028377173818903652
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2025_2026,DRIFT,CALM,5,5,2,-0.0566321072451879,0.4,0.0230428241571976,-0.0885313794492154
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2025_2026,DRIFT,SCATTER,9,9,2,-0.0201558053115907,0.3333333333333333,0.0334313731848776,-0.0419960968176015
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2025_2026,SCATTER,CALM,1,1,1,-0.0267840244477763,0.0,0.0401759921661952,-0.0341495945778157
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2025_2026,SCATTER,FLEE,12,12,1,0.1219457869476992,1.0,0.23475067383834536,-0.0273301996755637
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2025_2026,SCATTER,SCATTER,47,47,5,0.0439424465658118,0.7872340425531915,0.0756842459726239,-0.0324012061973401
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2013_2015,CALM,CALM,72,62,29,-0.003882899261269,0.4583333333333333,0.0257222560964478,-0.02808196232089505
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2013_2015,CALM,DRIFT,1,1,1,-0.00063079423402,0.0,0.0261659823683877,-0.0249058423903623
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2013_2015,CALM,FLEE,4,4,3,0.01293862815073,0.5,0.0391670887424008,-0.0450116008664051
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2013_2015,CALM,SCATTER,190,147,45,0.0144646556432328,0.6210526315789474,0.036078492046511,-0.020211875568120652
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2013_2015,DRIFT,CALM,1,1,1,-0.0311088090372275,0.0,0.0086026927747231,-0.0343239871238862
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2013_2015,SCATTER,CALM,40,39,19,0.0015808442440956002,0.55,0.030836193238543,-0.029222414442205302
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2013_2015,SCATTER,FLEE,56,50,11,0.0254481292355388,0.875,0.059342113357743045,-0.02239847976207635
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2013_2015,SCATTER,SCATTER,442,249,42,0.01179236877739475,0.6153846153846154,0.03696281636249895,-0.0250876959630223
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2016_2018,CALM,CALM,99,87,40,0.0106420335493322,0.5858585858585859,0.0288640993145943,-0.02341453450492
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2016_2018,CALM,DRIFT,1,1,1,-0.0438379025483143,0.0,0.0040935493242368,-0.0611110889973997
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2016_2018,CALM,FLEE,21,20,5,0.0288231925296569,0.8095238095238095,0.0439730975100816,-0.0148253387211017
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2016_2018,CALM,SCATTER,190,141,47,0.00821836639874215,0.5684210526315789,0.029869796520969952,-0.028231707507773353
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2016_2018,DRIFT,CALM,38,32,21,-0.0009902550993167,0.5,0.02314330920617065,-0.026009951216636948
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2016_2018,DRIFT,DRIFT,5,5,4,-0.0162798389228785,0.4,0.0214813902578518,-0.0318669333321199
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2016_2018,DRIFT,SCATTER,46,35,23,-0.00136747132672775,0.4782608695652174,0.0260507322150674,-0.0224493786957494
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2016_2018,SCATTER,CALM,8,7,4,0.01002735736113265,0.75,0.041652396621930154,-0.013949489789069399
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2016_2018,SCATTER,FLEE,106,96,11,0.0188615092212015,0.5377358490566038,0.052056106838309246,-0.049182195352771296
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2016_2018,SCATTER,SCATTER,291,214,31,-0.0087226297716053,0.436426116838488,0.0369650949857653,-0.0599795420292557
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2019_2021,CALM,CALM,78,71,31,0.0149351668069861,0.5769230769230769,0.03675558329809475,-0.03038023804939895
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2019_2021,CALM,SCATTER,184,142,48,0.02177538425258135,0.6793478260869565,0.04657984851176495,-0.02845779112157175
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2019_2021,DRIFT,CALM,22,20,12,0.011528180651736851,0.5909090909090909,0.038393075966069404,-0.02114732095341065
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2019_2021,DRIFT,DRIFT,1,1,1,0.0812743069742139,1.0,0.1039100080971064,-0.0297575459737983
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2019_2021,DRIFT,SCATTER,28,28,9,0.014235577428859648,0.6785714285714286,0.030352846951113698,-0.0322467271920545
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2019_2021,FLEE,FLEE,60,60,1,0.0740013289320037,0.7833333333333333,0.25951909990440575,-0.0775147863550167
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2019_2021,FLEE,SCATTER,7,7,1,0.0913320404998352,1.0,0.2683770575623438,-0.0724523271131443
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2019_2021,SCATTER,CALM,8,8,5,0.0608994828853225,0.875,0.08530548896987811,-0.01048650493736205
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2019_2021,SCATTER,FLEE,57,57,6,0.0633630492609942,0.7719298245614035,0.15845050837759,-0.177142819594029
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2019_2021,SCATTER,SCATTER,225,169,21,-0.006535138991533,0.4577777777777778,0.0687251394819601,-0.0760273200612914
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2022_2024,CALM,CALM,83,69,31,0.0037562069693555,0.5180722891566265,0.042063585546886,-0.0333800048
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2022_2024,CALM,FLEE,1,1,1,0.0042992526990213,1.0,0.0461449772928468,-0.0088850147153536
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2022_2024,CALM,SCATTER,131,102,40,-0.002205807193809,0.46564885496183206,0.0277776602775186,-0.0346815969738345
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2022_2024,DRIFT,CALM,18,17,12,-0.0027473645412990997,0.5,0.038549988673411806,-0.040262840910643
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2022_2024,DRIFT,DRIFT,1,1,1,-0.0893772107864961,0.0,0.0140371536624821,-0.1404238382361444
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2022_2024,DRIFT,SCATTER,13,13,10,0.0222647814536809,0.8461538461538461,0.0530144711500619,-0.0179248074369717
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2022_2024,SCATTER,CALM,10,9,7,0.02781914727390425,0.6,0.0467026504075237,-0.04107130183275895
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2022_2024,SCATTER,FLEE,71,64,16,0.0193901233631281,0.676056338028169,0.0626769809274374,-0.0326210444782458
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2022_2024,SCATTER,SCATTER,518,274,46,0.01937202208795425,0.6583011583011583,0.0559013918192551,-0.03907305657359485
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2025_2026,CALM,CALM,108,89,38,0.0050225246505668005,0.5092592592592593,0.038366623392643795,-0.0313440079490548
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2025_2026,CALM,DRIFT,1,1,1,0.0193397307469405,1.0,0.0467153015403225,-0.0262773927933277
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2025_2026,CALM,FLEE,11,11,1,0.0617744603617302,0.8181818181818182,0.1005933140764436,-0.0275754585035427
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2025_2026,CALM,SCATTER,207,162,45,0.0083620898611576,0.5603864734299517,0.0421574030096121,-0.0356097391459733
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2025_2026,DRIFT,CALM,5,5,2,-0.0731232663512719,0.2,0.0230428241571976,-0.1100787495604904
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2025_2026,DRIFT,SCATTER,9,9,2,0.0266019514761615,0.6666666666666666,0.0575863679504367,-0.0448101574683544
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2025_2026,SCATTER,CALM,1,1,1,0.0171226526014334,1.0,0.0401759921661952,-0.0348192106395524
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2025_2026,SCATTER,FLEE,12,12,1,0.0747090877582041,1.0,0.23475067383834536,-0.0273301996755637
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,10,ERA_2025_2026,SCATTER,SCATTER,47,47,5,0.0352968803881665,0.7872340425531915,0.0898186214153289,-0.0329828625082651
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2013_2015,CALM,CALM,72,62,29,0.0015586956050692,0.5138888888888888,0.0370670990367567,-0.0475414505478063
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2013_2015,CALM,DRIFT,1,1,1,0.0132407158142522,1.0,0.0261659823683877,-0.0286887015753671
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2013_2015,CALM,FLEE,4,4,3,0.049729870552595645,0.75,0.09008710643531001,-0.05436039502479845
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2013_2015,CALM,SCATTER,190,147,45,0.0063056345250113496,0.5421052631578948,0.040757742600075,-0.03041499315541635
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2013_2015,DRIFT,CALM,1,1,1,-0.0214633399493047,0.0,0.0086026927747231,-0.0604796575524558
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2013_2015,SCATTER,CALM,40,39,19,0.0090263133554575,0.65,0.044176981712001656,-0.0452143366686567
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2013_2015,SCATTER,FLEE,56,50,11,0.0488652924149446,0.7678571428571429,0.08852581077584695,-0.04081089654410145
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2013_2015,SCATTER,SCATTER,442,249,42,0.01338259872790235,0.5656108597285068,0.0506140948168518,-0.040058560008049096
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2016_2018,CALM,CALM,99,87,40,0.0072287990023827,0.5656565656565656,0.0441889932208072,-0.0349840664211795
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2016_2018,CALM,DRIFT,1,1,1,-0.0409033907618024,0.0,0.0040935493242368,-0.0770013934450544
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2016_2018,CALM,FLEE,21,20,5,0.0183980687673543,0.6190476190476191,0.0476190806561405,-0.030197144212853
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2016_2018,CALM,SCATTER,190,141,47,0.012894591868239,0.6210526315789474,0.048372291495111006,-0.035309479810178596
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2016_2018,DRIFT,CALM,38,32,21,0.006987047570886451,0.5263157894736842,0.03746703348284225,-0.04890650147720945
