fold_id,train_rows,test_rows,test_tickers,test_positive,test_negative,train_prevalence,candidate_coefficient,candidate_roc_auc,baseline_roc_auc,incremental_roc_auc,candidate_log_loss,baseline_log_loss,candidate_minus_baseline_log_loss,candidate_brier,baseline_brier
F1,461,376,265,202,174,0.3362255965292842,1.086017869682149,0.5272846250142256,0.5,0.027284625014225572,0.7761350198983642,0.7752180393865366,0.0009169805118276475,0.28901796624923964,0.28901802144809324
F2,872,401,275,212,189,0.3623853211009174,0.6770968336233573,0.4969052610562045,0.5,-0.0030947389437955275,0.7537098789845929,0.7487381598347018,0.00497171914989103,0.2790715742079174,0.27683091110704855
F3,1237,221,191,119,102,0.42522231204527083,0.6458353871384707,0.48471741637831606,0.5,-0.015282583621683943,0.7167358312739585,0.7160487517783792,0.0006870794955792237,0.26164801310885355,0.2613438324585263
F4,1518,425,274,211,214,0.45454545454545453,0.4948086884484078,0.5124020020374718,0.5,0.012402002037471771,0.6955975479604192,0.6966530941197849,-0.0010555461593657611,0.2512167170676579,0.25174526008750603
