queue_id,priority,event_id,cik,accession_number,filing_date,matched_items,prior_identity_status,primary_document_url,collection_status,source_sha256,extracted_symbols,adjudication_status
IDENTITY-0001193125-16-610539,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-16-610539,0001109357,0001193125-16-610539,2016-06-02,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1109357/000119312516610539/d366527d8k.htm,PENDING,,,PENDING
IDENTITY-0000950142-16-003884,P1_TEN_YEAR_WINDOW,SEC8K-0000950142-16-003884,0001037038,0000950142-16-003884,2016-06-07,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1037038/000095014216003884/eh1600696_8k.htm,PENDING,,,PENDING
IDENTITY-0000885725-16-000037,P1_TEN_YEAR_WINDOW,SEC8K-0000885725-16-000037,0000885725,0000885725-16-000037,2016-06-09,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/885725/000088572516000037/a2016restructuringprogramf.htm,PENDING,,,PENDING
IDENTITY-0001193125-16-617925,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-16-617925,0001109357,0001193125-16-617925,2016-06-09,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1109357/000119312516617925/d208875d8k.htm,PENDING,,,PENDING
IDENTITY-0001104659-16-127348,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-16-127348,0001001250,0001104659-16-127348,2016-06-15,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1001250/000110465916127348/a16-13387_18ka.htm,PENDING,,,PENDING
IDENTITY-0001104659-16-130122,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-16-130122,0001137789,0001104659-16-130122,2016-06-29,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1137789/000110465916130122/a16-13969_18k.htm,PENDING,,,PENDING
IDENTITY-0000723125-16-000198,P1_TEN_YEAR_WINDOW,SEC8K-0000723125-16-000198,0000723125,0000723125-16-000198,2016-06-30,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/723125/000072312516000198/a2016q38-kearningsrelease.htm,PENDING,,,PENDING
IDENTITY-0001274494-16-000082,P1_TEN_YEAR_WINDOW,SEC8K-0001274494-16-000082,0001274494,0001274494-16-000082,2016-07-05,2.05|2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1274494/000127449416000082/a8-ktetrasunoperations.htm,PENDING,,,PENDING
IDENTITY-0001104659-16-131996,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-16-131996,0001137789,0001104659-16-131996,2016-07-11,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1137789/000110465916131996/a16-14729_18k.htm,PENDING,,,PENDING
IDENTITY-0001299933-16-002755,P1_TEN_YEAR_WINDOW,SEC8K-0001299933-16-002755,0000040704,0001299933-16-002755,2016-07-21,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/40704/000129993316002755/htm_53820.htm,PENDING,,,PENDING
IDENTITY-0001031296-16-000095,P1_TEN_YEAR_WINDOW,SEC8K-0001031296-16-000095,0001031296,0001031296-16-000095,2016-07-22,2.05|2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1031296/000103129616000095/a8-kdated07192016.htm,PENDING,,,PENDING
IDENTITY-0001171843-16-011295,P1_TEN_YEAR_WINDOW,SEC8K-0001171843-16-011295,0000008670,0001171843-16-011295,2016-07-28,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/8670/000117184316011295/f8k_072816.htm,PENDING,,,PENDING
