family,measurement,direction,fold_id,ticker,signal_date,threshold,measurement_value,execution_date,terminal_return,trim_uplift,drawdown_relief
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F01,SO,2019-04-30,-0.0704407941928,-0.0987849109351,2019-05-01,0.0824833909186,-0.00419916954593,0.000229646121953
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F01,TSLA,2018-05-31,-0.0704407941928,-0.175044167456,2018-06-01,0.0388252841023,-0.00201626420511,0.000207705211203
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F01,TSLA,2019-02-28,-0.0704407941928,-0.0890009342009,2019-03-01,-0.371891843912,0.0185195921956,0.0185195921956
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F01,TSLA,2019-10-31,-0.0704407941928,-0.662882293484,2019-11-01,1.83125342745,-0.0916376713724,-7.5e-05
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F01,UNP,2019-04-30,-0.0704407941928,-0.0729512797956,2019-05-01,0.0315461764979,-0.0016523088249,0.00276162987126
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F01,V,2018-02-28,-0.0704407941928,-0.167685598419,2018-03-01,0.087459065424,-0.0044479532712,0.00134112093502
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F01,XOM,2019-05-31,-0.0704407941928,-0.307910763615,2019-06-03,-0.0354553479293,0.00169776739646,0.00260624724317
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F01,XOM,2019-11-30,-0.0704407941928,-0.0896175931257,2019-12-02,-0.222850642858,0.0110675321429,0.0129948331858
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,AAPL,2020-04-30,-0.0704518290557,-0.0839275653488,2020-05-01,0.474350830118,-0.0237925415059,-7.5e-05
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,AAPL,2020-10-31,-0.0704518290557,-0.0989262347868,2020-11-02,0.23353001513,-0.0117515007565,-7.5e-05
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,AAPL,2021-07-31,-0.0704518290557,-0.171864796541,2021-08-02,0.0309544530619,-0.00162272265309,0.00204550046437
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,AAPL,2022-01-31,-0.0704518290557,-0.252173584082,2022-02-01,-0.0854865791484,0.00419932895742,0.00673964350764
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,ABBV,2021-05-31,-0.0704518290557,-0.0826856907704,2021-06-01,0.0864818319802,-0.00439909159901,0.000285943243552
