ticker,signal_date,fold_id,business_state,business_month_end,outcome_end,immediate_entry_date,immediate_entry_price,scheduled_entry_date,scheduled_entry_price,immediate_terminal_base,scheduled_terminal_base,uplift_vs_cash_base,uplift_vs_scheduled_base,immediate_terminal_stress,scheduled_terminal_stress,uplift_vs_cash_stress,uplift_vs_scheduled_stress,immediate_sleeve_trough,immediate_total_position_trough
AAPL,2018-11-30,F01,PASS,2018-10-31,2019-06-05,2018-12-03,43.76627212819843,2019-01-04,34.2922066637957,0.0498083074909294,0.06356907740773865,-0.00019169250907060537,-0.013760769916809253,0.049733482792645584,0.06347358054633495,-0.0002665172073544192,-0.013740097753689368,-0.22915546059808478,-0.01145777302990424
AAPL,2020-02-28,F02,PASS,2020-01-31,2020-08-27,2020-03-02,68.14338895177796,2020-03-31,61.7027392006283,0.08883805600909359,0.09811114194887893,0.03883805600909358,-0.009273085939785347,0.08870459873917506,0.0979637541542637,0.03870459873917506,-0.009259155415088635,-0.2051508974945575,-0.010257544874727876
AAPL,2020-09-30,F02,PASS,2020-08-31,2021-04-01,2020-10-01,114.10770982136417,2020-10-30,107.72527836112087,0.0523679078394421,0.055470564779265846,0.0023679078394420947,-0.003102656939823749,0.052289237972883096,0.055387233935831795,0.002289237972883093,-0.003097995962948699,-0.07539958461030571,-0.003769979230515286
AAPL,2021-05-28,F02,PASS,2021-04-30,2021-11-26,2021-06-01,121.9219705515792,2021-06-30,132.73195198602727,0.06277512087523726,0.05766257727851546,0.012775120875237259,0.005112543596721801,0.06268081673771812,0.05757595347689526,0.01268081673771812,0.0051048632608228645,-0.012312057004886912,-0.0006156028502443457
AAPL,2022-04-29,F03,PASS,2022-03-31,2022-10-28,2022-05-02,153.4007100602187,2022-06-01,146.9500774683954,0.049757882935034296,0.05194209288504193,-0.00024211706496570645,-0.0021842099500076345,0.04968313398721001,0.05186406270043746,-0.00031686601278999027,-0.002180928713227448,-0.16884000048012415,-0.008442000024006208
AAPL,2024-04-30,F04,PASS,2024-03-31,2024-10-29,2024-05-01,167.89590092981888,2024-05-31,189.79591187539916,0.06896638562004048,0.06100855035882816,0.01896638562004048,0.007957835261212319,0.06886278063413155,0.06091690005783844,0.01886278063413155,0.007945880576293113,-0.0016511304223844059,-8.25565211192203e-05
AAPL,2025-03-31,F04,PASS,2025-02-28,2025-09-30,2025-04-01,218.65466734224302,2025-05-01,207.98108658091093,0.05797516295474684,0.060950445919758886,0.007975162954746838,-0.002975282965012045,0.05788806957023796,0.06085888290635915,0.007888069570237959,-0.002970813336121189,-0.21559523295451577,-0.010779761647725788
ABBV,2018-03-29,F01,PASS,2018-02-28,2018-09-27,2018-04-02,65.6948367270856,2018-05-01,72.09491324096089,0.051033193700061145,0.04650282769024061,0.0010331937000611427,0.004530366009820534,0.050956528912329456,0.046432968660160126,0.0009565289123294532,0.00452356025216933,-0.04489347342984773,-0.0022446736714923864
ABBV,2019-01-31,F01,PASS,2018-12-31,2019-08-01,2019-02-01,58.566907704130436,2019-03-05,57.931970346596515,0.04211063619503365,0.04257217092119229,-0.007889363804966354,-0.0004615347261586397,0.042047375349472754,0.042508216733529,-0.007952624650527249,-0.00046084138405624864,-0.1704534411234826,-0.00852267205617413
ABBV,2020-02-28,F02,PASS,2020-01-31,2020-08-27,2020-03-02,66.39170354903872,2020-03-31,58.20853864816042,0.05623790108268445,0.06414402669460846,0.006237901082684447,-0.007906125611924011,0.05615341750569494,0.06404766611369518,0.006153417505694939,-0.00789424860800024,-0.24999994550191118,-0.01249999727509556
ABBV,2020-09-30,F02,PASS,2020-08-31,2021-04-01,2020-10-01,69.92525515152342,2020-10-30,66.88224665401334,0.06301315737672364,0.06588013004802523,0.013013157376723636,-0.002866972671301593,0.06291849564806556,0.06578116139998114,0.012918495648065562,-0.002862665751915572,-0.07467276537223555,-0.003733638268611778
ABBV,2022-04-29,F03,PASS,2022-03-31,2022-10-28,2022-05-02,125.8853975944698,2022-06-01,126.86396788472221,0.05123798460821923,0.05084275836466066,0.0012379846082192295,0.0003952262435585746,0.05116101217265355,0.050766379659055255,0.0011610121726535472,0.00039463251359829477,-0.07626739143644379,-0.0038133695718221895
ABBV,2023-01-31,F03,PASS,2022-12-31,2023-08-02,2023-02-01,129.55832073122872,2023-03-03,136.3618035356146,0.051898259899908414,0.049308906359168854,0.001898259899908411,0.00258935354073956,0.05182029556355402,0.04923483188792323,0.0018202955635540155,0.0025854636756307905,-0.08798351249763536,-0.004399175624881769
AMZN,2018-10-31,F01,PASS,2018-09-30,2019-05-06,2018-11-01,81.17649841,2018-12-03,88.47299957,0.059981156494115166,0.055034420427015035,0.009981156494115163,0.004946736067100131,0.05989104959903137,0.05495174478290835,0.009891049599031365,0.004939304816123015,-0.17219885846022165,-0.008609942923011083
AMZN,2020-03-31,F02,PASS,2020-02-29,2020-09-29,2020-04-01,96.64849854,2020-05-01,116.8399963,0.08122637168029513,0.06718937960761046,0.03122637168029513,0.014036992072684676,0.08110434908888757,0.06708844413499011,0.031104349088887567,0.014015904953897457,-0.013647395147624586,-0.0006823697573812293
