ticker,episode_id,signal_date,target_label,feature_week,PEER_HIGH_EXIT_SHARE_DELTA_4W,PEER_ADVANCE_BREADTH_DELTA_4W
ADM,ADM-V61-001,2018-08-20,REENTRY_WORTHWHILE,2018-08-17,-0.15384615384615374,0.1923076923076923
ADM,ADM-V61-002,2020-09-09,HOLD_WINNER,2020-09-04,-0.07692307692307698,-0.2692307692307693
ADM,ADM-V61-003,2020-12-08,HOLD_WINNER,2020-12-04,-0.11538461538461531,0.3461538461538461
ADM,ADM-V61-004,2022-01-13,HOLD_WINNER,2022-01-07,-0.2692307692307693,0.23076923076923073
ADM,ADM-V61-005,2022-11-22,REENTRY_WORTHWHILE,2022-11-18,-0.15384615384615385,0.4615384615384615
ADP,ADP-V61-001,2016-12-22,REENTRY_WORTHWHILE,2016-12-16,0.032258064516129004,-0.14516129032258063
ADP,ADP-V61-002,2018-06-05,HOLD_WINNER,2018-06-01,-0.11290322580645151,0.4838709677419355
ADP,ADP-V61-003,2018-09-04,REENTRY_WORTHWHILE,2018-08-31,-0.048387096774193616,-0.09677419354838712
ADP,ADP-V61-004,2019-04-15,REENTRY_WORTHWHILE,2019-04-12,-0.16129032258064524,0.5
ADP,ADP-V61-005,2021-07-07,HOLD_WINNER,2021-07-02,0.11290322580645162,-0.12903225806451613
ADP,ADP-V61-006,2021-11-16,REENTRY_WORTHWHILE,2021-11-12,-0.24193548387096775,-0.016129032258064502
ADP,ADP-V61-007,2024-11-22,REENTRY_WORTHWHILE,2024-11-22,-0.12903225806451613,0.19354838709677424
ADSK,ADSK-V61-001,2016-10-13,HOLD_WINNER,2016-10-07,-0.23529411764705888,0.3725490196078432
ADSK,ADSK-V61-002,2016-12-13,REENTRY_WORTHWHILE,2016-12-09,-0.1568627450980392,0.11764705882352944
ADSK,ADSK-V61-003,2018-09-25,REENTRY_WORTHWHILE,2018-09-21,0.07843137254901966,-0.039215686274509776
ADSK,ADSK-V61-004,2019-05-03,REENTRY_WORTHWHILE,2019-05-03,-0.019607843137254832,-0.21568627450980393
ADSK,ADSK-V61-005,2020-02-03,REENTRY_WORTHWHILE,2020-01-31,0.3137254901960784,-0.4509803921568627
ADSK,ADSK-V61-008,2021-08-24,REENTRY_WORTHWHILE,2021-08-20,0.11764705882352944,0.039215686274509776
AEE,AEE-V61-001,2016-03-14,HOLD_WINNER,2016-03-11,-0.19999999999999996,0.040000000000000036
AEE,AEE-V61-002,2016-06-13,REENTRY_WORTHWHILE,2016-06-10,0.040000000000000036,0.07999999999999996
AEE,AEE-V61-003,2017-03-08,HOLD_WINNER,2017-03-03,-0.32000000000000006,0.43999999999999995
AEE,AEE-V61-004,2017-06-07,REENTRY_WORTHWHILE,2017-06-02,-0.12,0.28
AEE,AEE-V61-005,2017-08-22,REENTRY_WORTHWHILE,2017-08-18,0.0,0.44
AEE,AEE-V61-006,2018-09-10,REENTRY_WORTHWHILE,2018-09-07,-0.07999999999999996,0.08000000000000007
AEE,AEE-V61-007,2018-12-10,REENTRY_WORTHWHILE,2018-12-07,-0.07999999999999996,-0.08000000000000007
AEE,AEE-V61-008,2019-02-25,HOLD_WINNER,2019-02-22,-0.16000000000000003,0.12
AEE,AEE-V61-010,2019-09-24,REENTRY_WORTHWHILE,2019-09-20,-0.12,0.36
AEE,AEE-V61-011,2020-02-20,REENTRY_WORTHWHILE,2020-02-14,-0.07999999999999996,0.0
AEP,AEP-V61-001,2016-03-14,HOLD_WINNER,2016-03-11,-0.19999999999999996,0.040000000000000036
AEP,AEP-V61-002,2017-05-30,REENTRY_WORTHWHILE,2017-05-26,-0.08000000000000007,0.12
AEP,AEP-V61-003,2017-08-28,REENTRY_WORTHWHILE,2017-08-25,-0.040000000000000036,0.15999999999999992
AEP,AEP-V61-004,2017-12-12,REENTRY_WORTHWHILE,2017-12-08,0.07999999999999996,-0.24
AEP,AEP-V61-005,2018-12-13,REENTRY_WORTHWHILE,2018-12-07,-0.07999999999999996,-0.08000000000000007
AEP,AEP-V61-006,2019-03-04,HOLD_WINNER,2019-03-01,-0.07999999999999996,0.040000000000000036
AEP,AEP-V61-008,2022-04-04,REENTRY_WORTHWHILE,2022-04-01,-0.08000000000000007,0.24
AEP,AEP-V61-009,2022-06-03,REENTRY_WORTHWHILE,2022-06-03,-0.24,0.68
AEP,AEP-V61-010,2024-09-13,REENTRY_WORTHWHILE,2024-09-13,0.0,0.0
AEP,AEP-V61-011,2025-08-12,REENTRY_WORTHWHILE,2025-08-08,-0.19999999999999996,0.24
AEP,AEP-V61-012,2025-10-10,HOLD_WINNER,2025-10-10,-0.12,0.31999999999999995
AES,AES-V61-001,2016-07-06,REENTRY_WORTHWHILE,2016-07-01,-0.039999999999999925,0.040000000000000036
AES,AES-V61-002,2018-05-01,HOLD_WINNER,2018-04-27,-0.28,-0.039999999999999925
AES,AES-V61-003,2019-01-31,HOLD_WINNER,2019-01-25,-0.5599999999999999,0.76
AES,AES-V61-005,2020-10-08,HOLD_WINNER,2020-10-02,0.0,0.56
AES,AES-V61-006,2022-11-30,REENTRY_WORTHWHILE,2022-11-25,-0.16000000000000003,0.040000000000000036
AFL,AFL-V61-001,2016-05-02,HOLD_WINNER,2016-04-29,-0.031746031746031855,-0.11111111111111105
AFL,AFL-V61-002,2017-06-02,HOLD_WINNER,2017-06-02,0.06349206349206349,-0.25396825396825395
AFL,AFL-V61-003,2018-08-27,REENTRY_WORTHWHILE,2018-08-24,-0.04761904761904767,-0.3492063492063492
AFL,AFL-V61-004,2019-02-20,HOLD_WINNER,2019-02-15,-0.1428571428571428,-0.20634920634920628
AFL,AFL-V61-006,2021-04-22,HOLD_WINNER,2021-04-16,-0.06349206349206349,0.031746031746031744
AFL,AFL-V61-007,2022-01-12,REENTRY_WORTHWHILE,2022-01-07,-0.17460317460317465,0.4444444444444444
AFL,AFL-V61-008,2022-04-18,REENTRY_WORTHWHILE,2022-04-15,0.0,-0.047619047619047616
AFL,AFL-V61-009,2022-11-30,REENTRY_WORTHWHILE,2022-11-25,-0.04761904761904756,-0.06349206349206349
AFL,AFL-V61-010,2023-09-19,HOLD_WINNER,2023-09-15,-0.15873015873015872,0.49206349206349204
AFL,AFL-V61-011,2024-03-20,REENTRY_WORTHWHILE,2024-03-15,-0.17460317460317465,0.04761904761904756
AFL,AFL-V61-012,2024-05-20,HOLD_WINNER,2024-05-17,-0.3492063492063492,0.6507936507936508
AIG,AIG-V61-001,2021-05-24,REENTRY_WORTHWHILE,2021-05-21,0.0793650793650793,-0.1428571428571429
AIG,AIG-V61-003,2022-02-25,REENTRY_WORTHWHILE,2022-02-25,-0.12698412698412698,0.07936507936507942
AIG,AIG-V61-004,2023-01-17,REENTRY_WORTHWHILE,2023-01-13,-0.1428571428571428,0.7936507936507937
AIG,AIG-V61-005,2023-12-15,HOLD_WINNER,2023-12-15,-0.11111111111111105,-0.15873015873015872
AIG,AIG-V61-006,2025-03-28,REENTRY_WORTHWHILE,2025-03-28,0.2222222222222222,-0.14285714285714285
AIZ,AIZ-V61-002,2020-02-11,REENTRY_WORTHWHILE,2020-02-07,-0.031746031746031744,0.11111111111111105
AIZ,AIZ-V61-003,2021-04-21,HOLD_WINNER,2021-04-16,-0.06349206349206349,0.031746031746031744
AIZ,AIZ-V61-004,2024-11-15,REENTRY_WORTHWHILE,2024-11-15,0.031746031746031744,-0.25396825396825395
AJG,AJG-V61-002,2017-06-21,HOLD_WINNER,2017-06-16,-0.2857142857142857,0.39682539682539675
AJG,AJG-V61-003,2017-09-20,HOLD_WINNER,2017-09-15,-0.031746031746031744,0.3650793650793651
AJG,AJG-V61-004,2018-02-21,REENTRY_WORTHWHILE,2018-02-16,0.39682539682539686,-0.5396825396825397
AJG,AJG-V61-005,2018-09-24,REENTRY_WORTHWHILE,2018-09-21,-0.031746031746031744,0.2698412698412699
AJG,AJG-V61-006,2019-06-12,HOLD_WINNER,2019-06-07,-0.06349206349206349,-0.12698412698412698
AJG,AJG-V61-008,2020-12-09,HOLD_WINNER,2020-12-04,-0.25396825396825395,0.5238095238095238
AJG,AJG-V61-009,2021-04-22,HOLD_WINNER,2021-04-16,-0.06349206349206349,0.031746031746031744
AJG,AJG-V61-010,2021-09-22,HOLD_WINNER,2021-09-17,0.1269841269841271,-0.38095238095238093
AJG,AJG-V61-011,2022-04-20,REENTRY_WORTHWHILE,2022-04-15,0.0,-0.031746031746031744
AJG,AJG-V61-012,2022-11-30,REENTRY_WORTHWHILE,2022-11-25,-0.04761904761904756,-0.06349206349206349
AJG,AJG-V61-013,2023-05-16,REENTRY_WORTHWHILE,2023-05-12,-0.04761904761904756,-0.6031746031746033
AJG,AJG-V61-014,2023-09-20,REENTRY_WORTHWHILE,2023-09-15,-0.15873015873015872,0.49206349206349204
AJG,AJG-V61-015,2023-11-17,REENTRY_WORTHWHILE,2023-11-17,-0.2698412698412699,0.7777777777777777
AJG,AJG-V61-016,2024-08-16,HOLD_WINNER,2024-08-16,-0.015873015873015817,-0.11111111111111116
AJG,AJG-V61-017,2025-03-06,REENTRY_WORTHWHILE,2025-02-28,0.015873015873015928,-0.46031746031746035
AKAM,AKAM-V61-001,2018-02-20,HOLD_WINNER,2018-02-16,0.37254901960784315,-0.5490196078431373
AKAM,AKAM-V61-002,2018-05-21,REENTRY_WORTHWHILE,2018-05-18,0.0,0.0980392156862746
AKAM,AKAM-V61-003,2019-07-15,HOLD_WINNER,2019-07-12,-0.196078431372549,0.3921568627450981
AKAM,AKAM-V61-004,2020-02-06,REENTRY_WORTHWHILE,2020-01-31,0.3137254901960784,-0.4509803921568627
AKAM,AKAM-V61-005,2020-07-07,REENTRY_WORTHWHILE,2020-07-03,0.0980392156862746,-0.7058823529411764
