ticker,hypothesis_id,threshold,group,signal_date,horizon_days,outcome_end,forward_return,forward_excess_return,forward_trough_return,forward_upside_return,fold_id
AAPL,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,TREATMENT,2016-09-30,63,2016-12-30,0.029762510501273987,0.013156556564384969,-0.06012607940594794,0.04599736405808619,F01
AAPL,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,TREATMENT,2016-09-30,126,2017-04-03,0.28318435891222826,0.15926050385115964,-0.06012607940594794,0.28693489523791027,F01
AAPL,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,TREATMENT,2017-03-31,21,2017-05-02,0.026799072061133078,-0.003213793163834522,-0.020743764975713064,0.026799072061133078,F01
AAPL,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,TREATMENT,2017-03-31,63,2017-06-30,0.006643944088397413,-0.023940736080995784,-0.020743764975713064,0.09107852965222074,F01
AAPL,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,TREATMENT,2017-05-31,21,2017-06-29,-0.05943944969182591,-0.03220900072028987,-0.06866951538658095,0.017609077771034043,F01
AAPL,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,CONTROL,2016-10-31,21,2016-11-30,-0.0216010275764833,-0.023288139865074164,-0.06418230632122679,-0.01026938904144159,F01
AAPL,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,CONTROL,2016-10-31,63,2017-02-01,0.1397837379402911,0.07097933858559236,-0.06418230632122679,0.1397837379402911,F01
AAPL,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,CONTROL,2016-10-31,126,2017-05-03,0.307520568460975,0.1421064128843037,-0.06418230632122679,0.31152149006286134,F01
AAPL,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,CONTROL,2017-04-30,21,2017-05-30,0.07416861582571954,0.032976904391574635,0.020048731002468845,0.09115477242253123,F01
AAPL,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,CONTROL,2017-04-30,63,2017-07-28,0.04501996945947151,-0.015506694291510081,-0.005518311294012257,0.09115477242253123,F01
