ticker,episode_id,signal_date,path_label,sale_date,sale_reference_open,outcome_end,no_action_terminal_wealth_per_sale_date_share,base_sale_execution_price,base_net_proceeds_per_sold_share,base_days_below_net_discount,base_constrained_pre_reentry_max_advance,base_theoretical_available,base_theoretical_reentry_date,base_theoretical_reentry_equivalent_price,base_theoretical_time_to_reentry_sessions,base_theoretical_sleeve_share_delta_rate,base_theoretical_total_position_terminal_uplift,base_constrained_available,base_constrained_reentry_date,base_constrained_reentry_equivalent_price,base_constrained_time_to_reentry_sessions,base_constrained_sleeve_share_delta_rate,base_constrained_total_position_terminal_uplift,stress_sale_execution_price,stress_net_proceeds_per_sold_share,stress_days_below_net_discount,stress_constrained_pre_reentry_max_advance,stress_theoretical_available,stress_theoretical_reentry_date,stress_theoretical_reentry_equivalent_price,stress_theoretical_time_to_reentry_sessions,stress_theoretical_sleeve_share_delta_rate,stress_theoretical_total_position_terminal_uplift,stress_constrained_available,stress_constrained_reentry_date,stress_constrained_reentry_equivalent_price,stress_constrained_time_to_reentry_sessions,stress_constrained_sleeve_share_delta_rate,stress_constrained_total_position_terminal_uplift
AEP,AEP-V61-011,2025-08-12,CONTINUATION,2025-08-13,112.1500015,2026-02-11,122.25,112.09392649925,111.98183257275075,11,0.015336613258984277,True,2025-09-19,106.5500031,26.0,0.04940452678738061,0.0024702263393690306,True,2025-09-19,106.5500031,26.0,0.04940452678738061,0.0024702263393690306,111.98177649775,111.7578129447545,6,0.015336613258984277,True,2025-09-19,106.5500031,26.0,0.045215285591661214,0.002260764279583061,True,2025-09-19,106.5500031,26.0,0.045215285591661214,0.002260764279583061
AEP,AEP-V61-012,2025-10-10,CONTINUATION,2025-10-13,116.9599991,2026-04-14,135.4600067,116.90151910045002,116.78461758134956,0,,True,2026-01-08,113.8799973,60.0,0.02396950802626341,0.0011984754013131705,False,,,,0.0,0.0,116.78455910135001,116.55098998314732,0,,True,2026-01-08,113.8799973,60.0,0.01988180386958649,0.0009940901934793246,False,,,,0.0,0.0
AES,AES-V61-001,2016-07-06,TEMPORARY_PULLBACK,2016-07-07,12.21000004,2017-01-04,11.56000042,12.20389503998,12.191691144940021,38,0.08353804231437167,True,2016-12-02,11.09000015,104.0,0.0976938463653938,0.0048846923182696905,True,2016-12-02,11.09000015,104.0,0.0976938463653938,0.0048846923182696905,12.191685039940001,12.167301669860121,36,0.08353804231437167,True,2016-12-02,11.09000015,104.0,0.09331183336268678,0.004665591668134339,True,2016-12-02,11.09000015,104.0,0.09331183336268678,0.004665591668134339
AES,AES-V61-002,2018-05-01,CONTINUATION,2018-05-02,12.17000008,2018-10-29,14.52000046,12.16391507996,12.151751164880041,0,,True,2018-05-09,11.86999989,5.0,0.022202602643516034,0.0011101301321758017,False,,,,0.0,0.0,12.15174507988,12.12744158972024,0,,True,2018-05-09,11.86999989,5.0,0.01812195200398059,0.0009060976001990296,False,,,,0.0,0.0
AES,AES-V61-003,2019-01-31,CONTINUATION,2019-02-01,16.39999962,2019-08-01,17.29999924,16.39179962019,16.37540782056981,2,,True,2019-05-31,15.81999969,82.0,0.033557121083006125,0.0016778560541503063,False,,,,0.0,0.0,16.37539962057,16.34264882132886,0,,True,2019-05-31,15.81999969,82.0,0.02943114300758709,0.0014715571503793547,False,,,,0.0,0.0
AES,AES-V61-004,2019-11-26,STRUCTURAL_BREAK,2019-11-27,18.75,2020-05-29,12.48999977,18.740625,18.721884375000002,64,,True,2020-03-19,9.5,76.0,0.967772029122933,0.04838860145614665,False,,,,0.0,0.0,18.721875,18.68443125,64,,True,2020-03-19,9.5,76.0,0.9599166488212842,0.047995832441064215,False,,,,0.0,0.0
AES,AES-V61-005,2020-10-08,CONTINUATION,2020-10-09,19.5,2021-04-12,27.68000031,19.49025,19.47075975,0,,True,2020-10-13,19.30999947,2.0,0.0068145096502467695,0.0003407254825123385,False,,,,0.0,0.0,19.470750000000002,19.431808500000002,0,,True,2020-10-13,19.30999947,2.0,0.0027952885466491217,0.00013976442733245608,False,,,,0.0,0.0
AES,AES-V61-006,2022-11-30,STRUCTURAL_BREAK,2022-12-01,29.31999969,2023-06-02,20.19000053,29.305339690155,29.276034350464847,111,0.01568898379480177,True,2023-05-31,19.81999969,123.0,0.4748825395750229,0.023744126978751147,True,2023-05-31,19.81999969,123.0,0.4748825395750229,0.023744126978751147,29.276019690465002,29.21746765108407,108,0.01568898379480177,True,2023-05-31,19.81999969,123.0,0.4689947827225247,0.023449739136126236,True,2023-05-31,19.81999969,123.0,0.4689947827225247,0.023449739136126236
AFL,AFL-V61-001,2016-05-02,CONTINUATION,2016-05-03,34.38499832,2016-10-28,34.25500107,34.367805820840005,34.33343801501916,0,,True,2016-06-16,33.81999969,31.0,0.013660502408018305,0.0006830251204009152,False,,,,0.0,0.0,34.333420822520004,34.264753980874964,0,,True,2016-06-16,33.81999969,31.0,0.00961395198178594,0.00048069759908929703,False,,,,0.0,0.0
AFL,AFL-V61-002,2017-06-02,CONTINUATION,2017-06-05,37.95000076,2017-11-30,43.81999969,37.931025759620006,37.89309473386039,0,,True,2017-06-07,37.45500183,2.0,0.010180736485607467,0.0005090368242803734,False,,,,0.0,0.0,37.89307575886001,37.81728960734229,0,,True,2017-06-07,37.45500183,2.0,0.0061480773457014415,0.0003074038672850721,False,,,,0.0,0.0
AFL,AFL-V61-003,2018-08-27,LARGE_PULLBACK,2018-08-28,47.04000092,2019-02-28,49.13999939,47.01648091954,46.96946443862046,60,0.022533961081393716,True,2018-10-26,41.91999817,42.0,0.11877610682034234,0.0059388053410171174,True,2018-10-26,41.91999817,42.0,0.11877610682034234,0.0059388053410171174,46.96944091862,46.87550203678276,55,0.022533961081393716,True,2018-10-26,41.91999817,42.0,0.1143099330657591,0.0057154966532879554,True,2018-10-26,41.91999817,42.0,0.1143099330657591,0.0057154966532879554
AFL,AFL-V61-004,2019-02-20,CONTINUATION,2019-02-21,49.15000153,2019-08-20,51.86000061,49.125426529235,49.07630110270576,0,,True,2019-03-08,48.34999847,11.0,0.013501013305317722,0.0006750506652658862,False,,,,0.0,0.0,49.076276527705,48.97812397464959,0,,True,2019-03-08,48.34999847,11.0,0.009455099562368563,0.0004727549781184282,False,,,,0.0,0.0
AFL,AFL-V61-005,2019-05-21,TEMPORARY_PULLBACK,2019-05-22,51.88999939,2019-11-18,54.38999939,51.864054390305,51.81219033591469,8,,True,2019-08-26,48.68000031,66.0,0.06274778749475196,0.003137389374737598,False,,,,0.0,0.0,51.812164390915,51.708540062133174,8,,True,2019-08-26,48.68000031,66.0,0.058505279769287766,0.0029252639884643885,False,,,,0.0,0.0
AFL,AFL-V61-006,2021-04-22,CONTINUATION,2021-04-23,53.04000092,2021-10-20,56.43999863,53.01348091954,52.96046743862046,0,,True,2021-07-20,51.59999847,60.0,0.024827924168002058,0.001241396208400103,False,,,,0.0,0.0,52.96044091862,52.85452003678276,0,,True,2021-07-20,51.59999847,60.0,0.020736793199097603,0.0010368396599548801,False,,,,0.0,0.0
AFL,AFL-V61-007,2022-01-12,STRUCTURAL_BREAK,2022-01-13,63.61999893,2022-07-15,54.31000137,63.588188930535004,63.524600741604466,71,0.0531279648985683,True,2022-06-17,53.06999969,107.0,0.1952030386295578,0.00976015193147789,True,2022-06-17,53.06999969,107.0,0.1952030386295578,0.00976015193147789,63.524568931605,63.39751979374179,71,0.0531279648985683,True,2022-06-17,53.06999969,107.0,0.19043176722861932,0.009521588361430966,True,2022-06-17,53.06999969,107.0,0.19043176722861932,0.009521588361430966
AFL,AFL-V61-008,2022-04-18,LARGE_PULLBACK,2022-04-19,65.63999939,2022-10-17,59.63000107,65.607179390305,65.54157221091471,119,0.020719083221185874,True,2022-06-17,53.06999969,42.0,0.2331519655146641,0.011657598275733205,True,2022-06-17,53.06999969,42.0,0.2331519655146641,0.011657598275733205,65.541539390915,65.41045631213318,117,0.020719083221185874,True,2022-06-17,53.06999969,42.0,0.22822920133493318,0.01141146006674666,True,2022-06-17,53.06999969,42.0,0.22822920133493318,0.01141146006674666
